,Putting_from_15-25_RANK THIS WEEK,Putting_from_15-25_RANK LAST WEEK,Putting_from_15-25_PLAYER NAME,Putting_from_15-25_ROUNDS,Putting_from_15-25_% MADE,Putting_from_15-25_ATTEMPTS,Putting_from_15-25_PUTTS MADE
0,T1,T1,José María Olazábal,62,23.08,130,30
1,T1,T1,Chris Riley,86,23.08,195,45
2,3,3,Brent Geiberger,99,22.56,266,60
3,4,4,Shane Bertsch,104,22.3,296,66
4,5,5,Ben Crane,85,22.06,204,45
5,6,6,Tom Pernice Jr.,108,21.88,329,72
6,7,7,Dean Wilson,115,21.07,337,71
7,8,8,Tiger Woods,55,21.01,119,25
8,9,9,"Wes Short, Jr.",96,20.98,286,60
9,10,10,Todd Hamilton,72,20.73,164,34
10,11,11,Shigeki Maruyama,94,20.66,271,56
11,12,12,Stephen Ames,63,20.65,155,32
12,13,13,Brian Gay,107,20.58,345,71
13,14,14,John Daly,51,20.45,132,27
14,15,15,Davis Love III,85,20.44,181,37
15,16,16,Jonathan Byrd,66,19.89,181,36
16,17,17,Arjun Atwal,97,19.86,277,55
17,18,18,Stewart Cink,93,19.85,262,52
18,19,19,Vaughn Taylor,88,19.84,247,49
19,20,20,Steve Stricker,64,19.67,183,36
20,21,21,J.P. Hayes,55,19.62,158,31
21,22,22,Jeff Sluman,101,19.54,307,60
22,23,23,Michael Allen,84,19.51,246,48
23,24,24,Daniel Chopra,110,19.5,282,55
24,25,25,Len Mattiace,59,19.34,181,35
25,26,26,Chris Smith,67,19.2,224,43
26,27,27,Stephen Leaney,84,19.19,271,52
27,28,28,D.A. Points,82,19.05,252,48
28,29,29,Michael Connell,51,18.99,158,30
29,30,30,Luke Donald,66,18.98,137,26
30,31,31,J.B. Holmes,81,18.97,195,37
31,32,32,David Duval,71,18.92,185,35
32,33,33,Kent Jones,103,18.86,297,56
33,34,34,Geoff Ogilvy,76,18.82,170,32
34,35,35,Arron Oberholser,82,18.81,218,41
35,T36,T36,Doug Barron,74,18.78,213,40
36,T36,T36,Mark Calcavecchia,94,18.78,245,46
37,38,38,Frank Lickliter II,99,18.77,293,55
38,39,39,Nathan Green,108,18.58,323,60
39,40,40,Brad Faxon,78,18.44,244,45
40,41,41,Ben Curtis,86,18.41,239,44
41,42,42,Mark O'Meara,52,18.33,120,22
42,43,43,Jerry Kelly,100,18.24,296,54
43,44,44,Rory Sabbatini,84,18.1,232,42
44,45,45,Brett Quigley,109,18.08,354,64
45,T46,T46,J.J. Henry,96,18.01,272,49
46,T46,T46,Tim Petrovic,95,18.01,272,49
47,48,48,Freddie Jacobson,56,17.99,189,34
48,49,49,Bob May,65,17.95,195,35
49,50,50,Sean O'Hair,100,17.84,241,43
50,51,51,D.J. Trahan,92,17.74,265,47
51,52,52,John Cook,67,17.73,203,36
52,53,53,Billy Mayfair,94,17.62,244,43
53,54,54,David Toms,76,17.6,233,41
54,55,55,Paul Stankowski,70,17.41,224,39
55,T56,T56,Larry Mize,53,17.36,144,25
56,T56,T56,Mark Wilson,79,17.36,265,46
57,58,58,David McKenzie,82,17.32,254,44
58,59,59,Robert Allenby,79,17.31,208,36
59,60,60,Richard Johnson,94,17.28,324,56
60,T61,T61,Greg Chalmers,71,17.26,197,34
61,T61,T61,Rod Pampling,89,17.26,226,39
62,63,63,Corey Pavin,74,17.22,209,36
63,T64,T64,Olin Browne,108,17.15,309,53
64,T64,T64,Marco Dawson,87,17.15,274,47
65,66,66,Daisuke Maruyama,83,17.14,245,42
66,67,67,Tjaart van der Walt,60,17.13,181,31
67,68,68,Tommy Armour III,65,17.02,188,32
68,69,69,Stuart Appleby,83,17.0,200,34
69,T70,T70,Billy Andrade,78,16.91,207,35
70,T70,T70,Mike Sposa,68,16.91,207,35
71,T70,T70,Camilo Villegas,95,16.91,272,46
72,73,73,Ryan Palmer,101,16.9,290,49
73,74,74,Bob Tway,81,16.84,196,33
74,75,75,Woody Austin,107,16.77,310,52
75,76,76,Ron Whittaker,81,16.6,241,40
76,77,77,Jason Gore,86,16.54,260,43
77,78,78,Jesper Parnevik,84,16.53,242,40
78,79,79,John Huston,74,16.52,224,37
79,T80,T80,Fred Couples,52,16.5,103,17
80,T80,T80,Mike Weir,88,16.5,200,33
81,82,82,Steve Flesch,119,16.47,346,57
82,T83,T83,Henrik Bjornstad,97,16.44,298,49
83,T83,T83,Jason Schultz,77,16.44,219,36
84,85,85,Robert Damron,91,16.42,274,45
85,86,86,Lee Janzen,79,16.24,234,38
86,87,87,Jim Furyk,89,16.19,278,45
87,88,88,Patrick Sheehan,104,16.14,316,51
88,T89,T89,Hunter Mahan,98,16.11,329,53
89,T89,T89,Ted Purdy,103,16.11,298,48
90,T89,T89,Hidemichi Tanaka,74,16.11,211,34
91,92,92,Heath Slocum,96,16.1,323,52
92,T93,T93,Thomas Levet,53,16.09,174,28
93,T93,T93,Kirk Triplett,58,16.09,174,28
94,T93,T93,Brett Wetterich,82,16.09,261,42
95,96,96,David Howell,52,16.0,100,16
96,97,97,Carl Pettersson,95,15.9,239,38
97,98,98,Carlos Franco,86,15.89,258,41
98,99,99,Aaron Baddeley,78,15.81,215,34
99,100,100,Steve Jones,83,15.79,228,36
100,101,101,Scott Verplank,88,15.64,243,38
101,102,102,Charles Howell III,96,15.58,276,43
102,103,103,Chris DiMarco,83,15.55,238,37
103,104,104,Todd Fischer,101,15.51,316,49
104,T105,T105,Craig Barlow,77,15.46,207,32
105,T105,T105,Bernhard Langer,77,15.46,194,30
106,107,107,Fred Funk,106,15.41,318,49
107,T108,T108,Robert Gamez,94,15.38,325,50
108,T108,T108,Sergio Garcia,59,15.38,130,20
109,T110,T110,Robert Garrigus,85,15.36,280,43
110,T110,T110,Steve Lowery,99,15.36,267,41
111,112,112,Rich Beem,85,15.35,228,35
112,113,113,Ryan Moore,68,15.34,189,29
113,T114,T114,Justin Rose,98,15.33,261,40
114,T114,T114,Nick Watney,97,15.33,274,42
115,116,116,Phil Mickelson,74,15.29,170,26
116,117,117,Brian Bateman,69,15.24,210,32
117,118,118,Vijay Singh,103,15.22,276,42
118,119,119,Jeff Maggert,81,15.2,250,38
119,120,120,Jon Mills,68,15.18,191,29
120,121,121,Ryuji Imada,105,15.16,310,47
121,122,122,Tom Lehman,70,15.12,172,26
122,T123,T123,Tim Herron,82,15.07,219,33
123,T123,T123,Greg Kraft,79,15.07,219,33
124,125,125,Paul Goydos,72,15.04,246,37
125,126,126,Brandt Jobe,91,15.02,233,35
126,T127,T127,Trevor Immelman,86,15.0,260,39
127,T127,T127,J.L. Lewis,57,15.0,160,24
128,129,129,Vance Veazey,59,14.98,207,31
129,130,130,Duffy Waldorf,96,14.92,295,44
130,131,131,Tag Ridings,103,14.91,322,48
131,132,132,Troy Matteson,101,14.87,316,47
132,T133,T133,Kris Cox,83,14.86,249,37
133,T133,T133,Jeff Overton,95,14.86,276,41
134,T133,T133,Jimmy Walker,60,14.86,175,26
135,136,136,Kevin Sutherland,100,14.81,297,44
136,137,137,Jerry Smith,94,14.78,291,43
137,138,138,Zach Johnson,98,14.76,271,40
138,139,139,Tim Clark,80,14.69,211,31
139,140,140,Jeff Brehaut,100,14.64,280,41
140,141,141,Steve Elkington,52,14.61,178,26
141,T142,T142,K.J. Choi,93,14.55,268,39
142,T142,T142,Greg Owen,79,14.55,213,31
143,144,144,Adam Scott,70,14.51,193,28
144,145,145,Retief Goosen,68,14.46,166,24
145,146,146,Ian Leggatt,80,14.45,256,37
146,147,147,Bob Estes,85,14.4,250,36
147,148,148,Ian Poulter,53,14.39,139,20
148,149,149,Roger Tambellini,64,14.36,181,26
149,150,150,Chad Campbell,91,14.34,244,35
150,151,151,Paul Azinger,87,14.29,273,39
151,T152,T152,Eric Axley,91,14.23,274,39
152,T152,T152,James Driscoll,80,14.23,246,35
153,154,154,Kenny Perry,73,14.17,247,35
154,155,155,Lucas Glover,105,14.14,290,41
155,156,156,Alex Cejka,93,14.09,298,42
156,157,157,Joe Ogilvie,95,14.02,264,37
157,158,158,Jason Bohn,104,13.98,279,39
158,159,159,Harrison Frazar,95,13.87,238,33
159,160,160,Charles Warren,93,13.75,291,40
160,161,161,Ernie Els,69,13.7,146,20
161,162,162,David Branshaw,98,13.68,329,45
162,163,163,John Rollins,93,13.57,280,38
163,164,164,Bubba Dickerson,98,13.48,319,43
164,165,165,Ryan Hietala,61,13.37,172,23
165,166,166,John Senden,96,13.29,286,38
166,167,167,"John Engler, Jr.",69,13.23,189,25
167,168,168,Danny Ellis,68,13.15,213,28
168,169,169,Jonathan Kaye,95,13.04,299,39
169,170,170,Mathias Grönberg,92,13.0,277,36
170,171,171,Brian Davis,92,12.79,258,33
171,172,172,Dudley Hart,83,12.74,259,33
172,173,173,Mark Brooks,90,12.69,268,34
173,174,174,Charley Hoffman,100,12.67,292,37
174,175,175,Briny Baird,81,12.65,245,31
175,176,176,Shaun Micheel,96,12.63,285,36
176,177,177,Bubba Watson,83,12.6,246,31
