,3-Putt_Avoidance_-_Round_1_RANK THIS WEEK,3-Putt_Avoidance_-_Round_1_RANK LAST WEEK,3-Putt_Avoidance_-_Round_1_PLAYER NAME,3-Putt_Avoidance_-_Round_1_%,3-Putt_Avoidance_-_Round_1_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_1_TOTAL HOLES
0,1,1,Freddie Jacobson,0.93,3,324
1,2,2,Aaron Baddeley,1.16,5,432
2,3,3,Jeff Sluman,1.34,7,522
3,4,4,Brian Gay,1.43,8,558
4,T5,T5,Skip Kendall,1.52,6,396
5,T5,T5,Rod Pampling,1.52,6,396
6,7,7,Ian Poulter,1.59,4,252
7,T8,T8,Jesper Parnevik,1.62,7,432
8,T8,T8,Scott Verplank,1.62,7,432
9,10,10,Mark O'Meara,1.63,5,306
10,11,11,Jim Furyk,1.69,7,414
11,12,12,Steve Stricker,1.74,5,288
12,T13,T13,Zach Johnson,1.78,8,450
13,T13,T13,Brett Wetterich,1.78,8,450
14,T15,T15,Stuart Appleby,1.85,7,378
15,T15,T15,Tim Clark,1.85,7,378
16,T15,T15,David Howell,1.85,4,216
17,T15,T15,Ryuji Imada,1.85,10,540
18,19,19,Daniel Chopra,1.91,11,576
19,T20,T20,Olin Browne,1.92,10,522
20,T20,T20,Joey Sindelar,1.92,10,522
21,22,22,Mike Weir,1.93,8,414
22,T23,T23,Luke Donald,1.96,6,306
23,T23,T23,Todd Fischer,1.96,12,612
24,T23,T23,Phil Mickelson,1.96,6,306
25,26,26,Frank Lickliter II,1.98,10,504
26,27,27,Dean Wilson,2.02,12,594
27,28,28,John Rollins,2.06,10,486
28,T29,T29,Ernie Els,2.08,6,288
29,T29,T29,Justin Leonard,2.08,9,432
30,T29,T29,José María Olazábal,2.08,6,288
31,T32,T32,Brent Geiberger,2.11,11,522
32,T32,T32,Ryan Palmer,2.11,11,522
33,T34,T34,Ryan Moore,2.12,8,378
34,T34,T34,Kenny Perry,2.12,8,378
35,T36,T36,"John Engler, Jr.",2.14,10,468
36,T36,T36,Brandt Jobe,2.14,10,468
37,T38,T38,K.J. Choi,2.22,10,450
38,T38,T38,Hidemichi Tanaka,2.22,12,540
39,T38,T38,Vance Veazey,2.22,8,360
40,T41,T41,Greg Chalmers,2.26,11,486
41,T41,T41,Marco Dawson,2.26,11,486
42,T41,T41,Ron Whittaker,2.26,11,486
43,44,44,Danny Ellis,2.27,9,396
44,45,45,Steve Lowery,2.3,12,522
45,46,46,Ben Crane,2.31,10,432
46,47,47,Geoff Ogilvy,2.34,8,342
47,T48,T48,Brad Faxon,2.35,11,468
48,T48,T48,Jon Mills,2.35,11,468
49,T50,T50,Charley Hoffman,2.38,12,504
50,T50,T50,Chris Smith,2.38,9,378
51,52,52,Tommy Armour III,2.42,10,414
