,Putting_from_-__20_RANK THIS WEEK,Putting_from_-__20_RANK LAST WEEK,Putting_from_-__20_PLAYER NAME,Putting_from_-__20_ROUNDS,Putting_from_-__20_% MADE,Putting_from_-__20_ATTEMPTS,Putting_from_-__20_PUTTS MADE
0,1,1,Chris Riley,86,11.23,374,42
1,2,2,Tom Pernice Jr.,108,11.09,514,57
2,3,3,José María Olazábal,62,10.92,229,25
3,4,4,David Howell,52,10.7,187,20
4,5,5,Mark O'Meara,52,10.5,219,23
5,6,6,Richard Johnson,94,10.3,534,55
6,7,7,Brett Quigley,109,10.25,605,62
7,8,8,Vaughn Taylor,88,10.16,433,44
8,9,9,David McKenzie,82,10.11,445,45
9,10,10,Aaron Baddeley,78,10.08,357,36
10,T11,T11,Ben Curtis,86,10.07,417,42
11,T11,T11,Brad Faxon,78,10.07,427,43
12,13,13,Marco Dawson,87,10.0,430,43
13,14,14,Jonathan Byrd,66,9.94,312,31
14,15,15,Mark Wilson,79,9.91,444,44
15,16,16,Adam Scott,70,9.84,305,30
16,17,17,Mathias Grönberg,92,9.83,458,45
17,18,18,J.P. Hayes,55,9.73,257,25
18,19,19,Brian Gay,107,9.69,516,50
19,20,20,Craig Barlow,77,9.57,345,33
20,21,21,Dean Wilson,115,9.56,565,54
21,22,22,Todd Hamilton,72,9.49,295,28
22,T23,T23,Brent Geiberger,99,9.48,580,55
23,T23,T23,J.J. Henry,96,9.48,496,47
24,25,25,David Duval,71,9.46,296,28
25,26,26,David Toms,76,9.44,360,34
26,27,27,Ted Purdy,103,9.38,480,45
27,28,28,Davis Love III,85,9.35,321,30
28,29,29,Shigeki Maruyama,94,9.3,430,40
29,30,30,D.A. Points,82,9.22,412,38
30,31,31,Len Mattiace,59,9.18,316,29
31,32,32,Robert Allenby,79,9.14,339,31
32,33,33,Larry Mize,53,9.02,255,23
33,34,34,Ryan Palmer,101,8.97,446,40
34,T35,T35,Stewart Cink,93,8.94,425,38
35,T35,T35,Tim Petrovic,95,8.94,481,43
36,37,37,Ian Poulter,53,8.93,224,20
37,38,38,John Cook,67,8.83,317,28
38,39,39,Chris Smith,67,8.81,420,37
39,40,40,Jim Furyk,89,8.76,411,36
40,41,41,Rod Pampling,89,8.74,366,32
41,T42,T42,Ernie Els,69,8.71,241,21
42,T42,T42,Kent Jones,103,8.71,505,44
43,44,44,Olin Browne,108,8.7,460,40
44,45,45,Tom Lehman,70,8.68,288,25
45,46,46,Stuart Appleby,83,8.65,347,30
46,47,47,Hidemichi Tanaka,74,8.63,394,34
47,48,48,Nathan Green,108,8.59,547,47
48,49,49,Ben Crane,85,8.58,338,29
49,50,50,Freddie Jacobson,56,8.52,305,26
50,51,51,Retief Goosen,68,8.5,247,21
51,52,52,Vijay Singh,103,8.48,448,38
52,53,53,Corey Pavin,74,8.45,355,30
53,54,54,D.J. Trahan,92,8.41,416,35
54,55,55,Heath Slocum,96,8.4,488,41
55,56,56,J.L. Lewis,57,8.39,286,24
56,57,57,Arron Oberholser,82,8.38,382,32
57,58,58,Steve Stricker,64,8.36,287,24
58,59,59,Carlos Franco,86,8.35,503,42
59,60,60,Steve Elkington,52,8.33,312,26
60,61,61,Tiger Woods,55,8.3,241,20
61,62,62,Stephen Ames,63,8.27,254,21
62,63,63,Bob Tway,81,8.23,401,33
63,64,64,Steve Flesch,119,8.21,597,49
