,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
0,1,1,Len Mattiace,59,47.67,86,41
1,2,2,Ben Crane,85,41.88,117,49
2,3,3,Danny Ellis,68,38.68,106,41
3,4,4,Rod Pampling,89,38.46,117,45
4,5,5,"Wes Short, Jr.",96,37.93,145,55
5,6,6,Davis Love III,85,36.36,121,44
6,7,7,Vaughn Taylor,88,36.3,135,49
7,8,8,Mathew Goggin,72,35.85,106,38
8,9,9,Vance Veazey,59,35.63,87,31
9,10,10,Shigeki Maruyama,94,34.81,158,55
10,T11,T11,Ryan Moore,68,34.78,115,40
11,T11,T11,Carl Pettersson,95,34.78,138,48
12,13,13,Camilo Villegas,95,34.66,176,61
13,14,14,Chris Riley,86,34.35,131,45
14,15,15,Jesper Parnevik,84,34.33,134,46
15,T16,T16,Stewart Cink,93,34.23,149,51
16,T16,T16,Tim Clark,80,34.23,111,38
17,18,18,Mark Wilson,79,34.07,135,46
18,19,19,Tag Ridings,103,33.74,163,55
19,20,20,Stephen Ames,63,33.67,98,33
20,21,21,Charley Hoffman,100,33.52,182,61
21,T22,T22,Mark O'Meara,52,33.33,48,16
22,T22,T22,Rory Sabbatini,84,33.33,111,37
23,24,24,Lee Janzen,79,33.08,130,43
24,25,25,Brett Quigley,109,32.97,182,60
25,26,26,Tom Pernice Jr.,108,32.92,161,53
26,27,27,James Driscoll,80,32.76,116,38
27,T28,T28,Tommy Armour III,65,32.63,95,31
28,T28,T28,J.P. Hayes,55,32.63,95,31
29,30,30,Shaun Micheel,96,32.52,163,53
30,31,31,Brent Geiberger,99,32.48,157,51
31,32,32,Rich Beem,85,32.28,127,41
32,T33,T33,David Howell,52,32.08,53,17
33,T33,T33,Freddie Jacobson,56,32.08,106,34
34,35,35,Ian Poulter,53,32.05,78,25
35,T36,T36,Brian Gay,107,32.0,200,64
36,T36,T36,Greg Kraft,79,32.0,125,40
37,38,38,Aaron Baddeley,78,31.75,126,40
38,39,39,Todd Fischer,101,31.72,186,59
39,40,40,Brian Davis,92,31.68,161,51
40,41,41,Hunter Mahan,98,31.55,168,53
41,42,42,Briny Baird,81,31.54,149,47
42,43,43,Bernhard Langer,77,31.45,124,39
43,44,44,Nathan Green,108,31.43,175,55
44,45,45,Jerry Kelly,100,31.36,169,53
45,46,46,Mark Calcavecchia,94,31.34,134,42
46,47,47,Daniel Chopra,110,31.32,182,57
47,48,48,Lucas Glover,105,31.25,176,55
48,49,49,Tiger Woods,55,31.18,93,29
49,50,50,Brett Wetterich,82,31.17,154,48
50,51,51,Bo Van Pelt,102,31.11,180,56
51,52,52,Woody Austin,107,31.09,193,60
52,53,53,Jeff Overton,95,30.99,171,53
53,54,54,Arjun Atwal,97,30.92,152,47
54,55,55,Jimmy Walker,60,30.77,91,28
55,T56,T56,Zach Johnson,98,30.72,166,51
56,T56,T56,Dean Wilson,115,30.72,166,51
57,58,58,Chris Couch,75,30.65,124,38
58,59,59,Stephen Leaney,84,30.41,148,45
59,60,60,Steve Flesch,119,30.33,211,64
60,61,61,Olin Browne,108,30.29,175,53
61,62,62,Matt Hansen,68,30.28,109,33
62,63,63,Jason Bohn,104,30.18,169,51
63,64,64,Richard Johnson,94,30.14,146,44
64,65,65,Justin Leonard,83,30.08,133,40
65,66,66,Bob Estes,85,30.0,160,48
66,67,67,Jason Schultz,77,29.91,107,32
67,68,68,Craig Barlow,77,29.81,104,31
68,69,69,Robert Allenby,79,29.77,131,39
69,70,70,David McKenzie,82,29.73,111,33
70,71,71,J.B. Holmes,81,29.57,115,34
71,72,72,Harrison Frazar,95,29.55,176,52
72,73,73,Fred Funk,106,29.51,183,54
73,74,74,Trevor Immelman,86,29.45,146,43
74,T75,T75,Chris DiMarco,83,29.41,119,35
75,T75,T75,Joe Durant,101,29.41,204,60
76,77,77,Steve Elkington,52,29.11,79,23
77,78,78,John Senden,96,29.09,165,48
78,79,79,Duffy Waldorf,96,29.08,141,41
79,80,80,"John Engler, Jr.",69,28.97,107,31
80,81,81,Jonathan Byrd,66,28.93,121,35
81,82,82,Chad Campbell,91,28.91,128,37
82,83,83,Tim Petrovic,95,28.86,149,43
83,84,84,David Duval,71,28.72,94,27
84,85,85,Hidemichi Tanaka,74,28.69,122,35
85,86,86,Stuart Appleby,83,28.68,129,37
86,87,87,Jason Gore,86,28.67,143,41
87,88,88,Shane Bertsch,104,28.65,185,53
88,89,89,Justin Rose,98,28.49,186,53
89,90,90,Corey Pavin,74,28.41,88,25
90,T91,T91,Alex Cejka,93,28.4,162,46
91,T91,T91,Michael Connell,51,28.4,81,23
92,93,93,Michael Allen,84,28.37,141,40
93,T94,T94,Carlos Franco,86,28.32,113,32
94,T94,T94,Chris Smith,67,28.32,113,32
95,96,96,Fred Couples,52,28.3,53,15
96,97,97,David Toms,76,28.1,121,34
97,98,98,Paul Azinger,87,28.03,157,44
98,99,99,Brandt Jobe,91,28.0,150,42
99,100,100,Alex Aragon,63,27.96,93,26
100,101,101,K.J. Choi,93,27.88,165,46
101,102,102,Adam Scott,70,27.84,97,27
102,103,103,Bubba Dickerson,98,27.81,151,42
103,T104,T104,David Branshaw,98,27.78,180,50
104,T104,T104,Ian Leggatt,80,27.78,126,35
105,T104,T104,José María Olazábal,62,27.78,90,25
106,107,107,Scott Gutschewski,53,27.66,94,26
107,108,108,Kent Jones,103,27.65,170,47
108,109,109,Bart Bryant,87,27.59,145,40
109,T110,T110,Jerry Smith,94,27.53,178,49
110,T110,T110,Kevin Sutherland,100,27.53,178,49
111,112,112,John Huston,74,27.5,120,33
112,113,113,Arron Oberholser,82,27.42,124,34
113,114,114,Dudley Hart,83,27.41,135,37
114,T115,T115,Marco Dawson,87,27.33,150,41
115,T115,T115,Troy Matteson,101,27.33,172,47
116,117,117,Steve Jones,83,27.14,140,38
117,118,118,Scott Verplank,88,27.04,159,43
118,119,119,Kenny Perry,73,26.87,134,36
119,120,120,Henrik Bjornstad,97,26.79,168,45
120,121,121,Ron Whittaker,81,26.76,142,38
121,122,122,Geoff Ogilvy,76,26.73,101,27
122,123,123,Kris Cox,83,26.52,132,35
123,124,124,D.J. Trahan,92,26.47,170,45
124,T125,T125,Steve Lowery,99,26.45,155,41
125,T125,T125,Ted Purdy,103,26.45,155,41
126,127,127,Mike Sposa,68,26.44,87,23
127,T128,T128,Jim Furyk,89,26.38,163,43
128,T128,T128,Nick Watney,97,26.38,163,43
129,130,130,Brian Bateman,69,26.32,133,35
130,131,131,Jeff Brehaut,100,26.29,175,46
131,T132,T132,John Daly,51,25.97,77,20
132,T132,T132,Ryan Hietala,61,25.97,77,20
133,T132,T132,Tjaart van der Walt,60,25.97,77,20
134,135,135,Steve Stricker,64,25.93,108,28
135,136,136,Robert Garrigus,85,25.9,139,36
136,137,137,Jeff Maggert,81,25.81,124,32
137,138,138,Bob Tway,81,25.78,128,33
138,139,139,Pat Perez,50,25.68,74,19
139,140,140,Doug Barron,74,25.64,117,30
140,141,141,Patrick Sheehan,104,25.61,164,42
141,142,142,Frank Lickliter II,99,25.44,169,43
142,143,143,Luke Donald,66,25.37,67,17
143,144,144,Robert Damron,91,25.32,154,39
144,145,145,Ryan Palmer,101,25.31,162,41
145,146,146,Ryuji Imada,105,25.15,167,42
146,147,147,Sean O'Hair,100,24.83,149,37
147,148,148,Robert Gamez,94,24.82,141,35
148,149,149,Brad Faxon,78,24.79,117,29
149,150,150,Skip Kendall,72,24.78,113,28
150,151,151,Heath Slocum,96,24.73,186,46
151,152,152,Jeff Sluman,101,24.53,159,39
152,153,153,Phil Mickelson,74,24.49,98,24
153,154,154,Ben Curtis,86,24.39,123,30
154,155,155,Padraig Harrington,54,24.36,78,19
155,156,156,Will MacKenzie,91,24.26,136,33
156,157,157,Mike Weir,88,24.24,132,32
157,158,158,John Cook,67,24.14,116,28
158,159,159,Sergio Garcia,59,24.0,75,18
159,160,160,Eric Axley,91,23.9,159,38
160,161,161,Kirk Triplett,58,23.75,80,19
161,162,162,Mark Brooks,90,23.7,135,32
162,163,163,Nicholas Thompson,96,23.68,152,36
163,164,164,Daisuke Maruyama,83,23.58,123,29
164,165,165,Charles Howell III,96,23.53,136,32
165,166,166,Joe Ogilvie,95,23.49,149,35
166,167,167,Thomas Levet,53,23.46,81,19
167,168,168,Bob May,65,23.39,124,29
168,169,169,Paul Stankowski,70,23.33,120,28
169,170,170,Roger Tambellini,64,23.26,86,20
170,171,171,Ernie Els,69,22.89,83,19
171,T172,T172,Retief Goosen,68,22.73,88,20
