,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Corey Pavin,74,"12' 9""",1924.0829999999999,151,62,"4"""
1,2,2,Mark O'Meara,52,"12' 3""",1204.25,98,54,1
2,3,3,Larry Mize,53,"12' 1""",1233.667,102,65,"5"""
3,4,4,Brent Geiberger,99,"12' 0""",3431.583,286,73,"2"""
4,5,5,Chris Riley,86,"11' 11""",2675.75,225,60,"3"""
5,6,6,Richard Johnson,94,"11' 9""",3318.083,282,64,"7"""
6,7,7,Chris Smith,67,"11' 6""",2137.417,186,52,"8"""
7,8,8,John Cook,67,"11' 4""",1888.0829999999999,166,59,"4"""
8,T9,T9,Ben Curtis,86,"11' 3""",2394.5,213,59,"1"""
9,T9,T9,David McKenzie,82,"11' 3""",2517.667,223,44,"2"""
10,T9,T9,Hidemichi Tanaka,74,"11' 3""",1732.5829999999999,154,48,"4"""
11,12,12,Tom Pernice Jr.,108,"11' 2""",3579.0,320,63,"1"""
12,T13,T13,Brad Faxon,78,"11' 1""",2314.0,209,50,"4"""
13,T13,T13,Mark Wilson,79,"11' 1""",2850.75,258,59,"1"""
14,15,15,Brett Quigley,109,"11' 0""",3697.667,336,63,"2"""
15,16,16,Bob Tway,81,"10' 11""",2231.417,205,47,"4"""
16,17,17,Len Mattiace,59,"10' 10""",1772.25,164,39,"1"""
17,T18,T18,Aaron Baddeley,78,"10' 9""",2323.833,216,67,"1"""
18,T18,T18,Todd Fischer,101,"10' 9""",3044.0,284,54,"2"""
19,T20,T20,Ben Crane,85,"10' 8""",2351.667,220,50,"2"""
20,T20,T20,Steve Elkington,52,"10' 8""",1470.75,138,50,"4"""
21,T20,T20,Dudley Hart,83,"10' 8""",2307.25,217,53,"6"""
22,T20,T20,Brandt Jobe,91,"10' 8""",2482.583,232,71,"3"""
23,T24,T24,Olin Browne,108,"10' 7""",3015.333,285,55,"5"""
24,T24,T24,Brian Gay,107,"10' 7""",3615.417,342,50,"7"""
25,T24,T24,Stephen Leaney,84,"10' 7""",2718.833,256,62,"3"""
26,T24,T24,Dean Wilson,115,"10' 7""",3365.75,319,57,"1"""
27,T28,T28,"John Engler, Jr.",69,"10' 6""",1784.9170000000001,170,48,"3"""
28,T28,T28,Tom Lehman,70,"10' 6""",1435.6670000000001,137,45,"3"""
29,T28,T28,Jeff Maggert,81,"10' 6""",2152.167,205,50,"1"""
30,T28,T28,Ron Whittaker,81,"10' 6""",2334.167,222,58,"6"""
31,T32,T32,Briny Baird,81,"10' 5""",2588.667,249,56,"4"""
32,T32,T32,Freddie Jacobson,56,"10' 5""",1872.75,180,40,"1"""
33,T32,T32,Kent Jones,103,"10' 5""",3200.833,308,67,"1"""
34,T32,T32,Tim Petrovic,95,"10' 5""",2522.167,243,45,"6"""
35,T32,T32,Ted Purdy,103,"10' 5""",2836.25,273,56,"1"""
36,T37,T37,Stewart Cink,93,"10' 4""",2777.0,269,52,"2"""
37,T37,T37,David Duval,71,"10' 4""",1821.75,176,43,"2"""
38,T37,T37,Jim Furyk,89,"10' 4""",2809.75,273,49,"2"""
39,T37,T37,Jerry Smith,94,"10' 4""",2911.583,282,68,"1"""
40,T37,T37,Paul Stankowski,70,"10' 4""",1980.0829999999999,192,51,"3"""
41,T42,T42,Mathew Goggin,72,"10' 3""",1913.0829999999999,187,67,"4"""
42,T42,T42,Zach Johnson,98,"10' 3""",2580.5,252,53,"2"""
43,T42,T42,Bernhard Langer,77,"10' 3""",1981.5,194,75,"4"""
44,T42,T42,J.L. Lewis,57,"10' 3""",1361.0,133,48,"1"""
45,T42,T42,Shigeki Maruyama,94,"10' 3""",2780.75,272,69,"5"""
46,T42,T42,José María Olazábal,62,"10' 3""",1317.5,129,52,"4"""
47,T42,T42,D.A. Points,82,"10' 3""",2309.167,226,60,"2"""
48,T42,T42,Vaughn Taylor,88,"10' 3""",3147.167,306,60,"7"""
49,T50,T50,Craig Barlow,77,"10' 2""",2094.5,206,50,"2"""
50,T50,T50,Marco Dawson,87,"10' 2""",2762.667,272,46,"1"""
51,T50,T50,Nathan Green,108,"10' 2""",3428.917,336,55,"4"""
52,T50,T50,Arron Oberholser,82,"10' 2""",2278.583,224,59,"5"""
53,T50,T50,Jason Schultz,77,"10' 2""",1978.4170000000001,195,50,"5"""
54,T50,T50,Mike Sposa,68,"10' 2""",1827.5,180,56,"2"""
55,T56,T56,Arjun Atwal,97,"10' 1""",2700.333,268,59,"3"""
56,T56,T56,K.J. Choi,93,"10' 1""",2599.583,258,62,"1"""
57,T56,T56,Michael Connell,51,"10' 1""",1238.167,123,65,"4"""
58,T56,T56,Fred Funk,106,"10' 1""",2817.167,279,69,"1"""
59,T56,T56,David Howell,52,"10' 1""",1216.833,121,46,"3"""
60,T56,T56,John Huston,74,"10' 1""",2077.25,206,49,"1"""
61,T56,T56,Ryuji Imada,105,"10' 1""",2713.167,270,55,"2"""
62,T56,T56,Jerry Kelly,100,"10' 1""",2791.583,276,73,"1"""
63,T56,T56,Carl Pettersson,95,"10' 1""",2455.0,243,49,"4"""
64,T56,T56,Kirk Triplett,58,"10' 1""",1648.75,164,55,"5"""
65,T56,T56,Tjaart van der Walt,60,"10' 1""",1549.4170000000001,154,62,"3"""
66,T67,T67,Billy Andrade,78,"10' 0""",1899.0,190,52,"2"""
67,T67,T67,Shane Bertsch,104,"10' 0""",2952.0,296,56,"8"""
68,T67,T67,James Driscoll,80,"10' 0""",2358.75,235,53,"1"""
69,T67,T67,J.J. Henry,96,"10' 0""",2591.833,259,52,"3"""
70,T67,T67,Steve Jones,83,"10' 0""",2017.8329999999999,201,48,"3"""
71,T67,T67,Patrick Sheehan,104,"10' 0""",2408.667,241,51,"4"""
72,T73,T73,Mark Brooks,90,"9' 11""",1860.3329999999999,188,48,"2"""
73,T73,T73,Jonathan Byrd,66,"9' 11""",2094.25,212,64,"2"""
74,T73,T73,Tim Clark,80,"9' 11""",2059.0,207,48,"2"""
75,T73,T73,Paul Goydos,72,"9' 11""",2001.25,201,56,"1"""
76,T73,T73,Charles Howell III,96,"9' 11""",2440.583,247,69,"2"""
77,T73,T73,Davis Love III,85,"9' 11""",2108.083,213,49,"1"""
78,T73,T73,Hunter Mahan,98,"9' 11""",3219.417,326,56,"1"""
79,T73,T73,Ian Poulter,53,"9' 11""",1517.75,153,47,"3"""
80,T73,T73,D.J. Trahan,92,"9' 11""",2450.583,247,46,"3"""
81,T73,T73,Vance Veazey,59,"9' 11""",1650.3329999999999,166,52,"4"""
82,T83,T83,Brian Bateman,69,"9' 10""",1715.1670000000001,175,60,"8"""
83,T83,T83,Chad Campbell,91,"9' 10""",2093.083,212,54,"3"""
84,T83,T83,Danny Ellis,68,"9' 10""",1953.0829999999999,198,53,"2"""
85,T83,T83,Steve Flesch,119,"9' 10""",3305.583,336,75,"2"""
