,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Jesper Parnevik,84,1.39,21,1512
1,2,2,Brian Gay,107,1.4,27,1926
2,3,3,Steve Stricker,64,1.52,17,1116
3,4,4,Aaron Baddeley,78,1.54,21,1368
4,5,5,Jim Furyk,89,1.83,29,1584
5,6,6,Daniel Chopra,110,1.87,36,1926
6,7,7,Vance Veazey,59,1.88,20,1062
7,8,8,Richard Johnson,94,1.95,33,1692
8,9,9,Michael Allen,84,2.05,31,1512
9,10,10,Ernie Els,69,2.08,24,1152
10,11,11,Marco Dawson,87,2.17,34,1566
11,12,12,Eric Axley,91,2.18,35,1602
12,13,13,Todd Fischer,101,2.19,39,1782
13,14,14,Jimmy Walker,60,2.2,23,1044
14,15,15,Brad Faxon,78,2.21,31,1404
15,T16,T16,Ben Crane,85,2.22,32,1440
16,T16,T16,Ryan Moore,68,2.22,26,1170
17,18,18,Paul Azinger,87,2.23,35,1566
18,19,19,Stephen Leaney,84,2.25,34,1512
19,20,20,Justin Leonard,83,2.32,33,1422
20,T21,T21,Shaun Micheel,96,2.33,39,1674
21,T21,T21,Phil Mickelson,74,2.33,29,1242
22,T23,T23,Ryuji Imada,105,2.34,43,1836
23,T23,T23,Zach Johnson,98,2.34,37,1584
24,25,25,Rod Pampling,89,2.38,36,1512
25,T26,T26,Stewart Cink,93,2.4,38,1584
26,T26,T26,Larry Mize,53,2.4,22,918
27,28,28,Stuart Appleby,83,2.42,34,1404
28,29,29,Mark Brooks,90,2.43,39,1602
29,30,30,Greg Kraft,79,2.44,33,1350
30,31,31,Skip Kendall,72,2.47,32,1296
31,32,32,José María Olazábal,62,2.49,26,1044
32,33,33,Retief Goosen,68,2.5,27,1080
33,34,34,Scott Verplank,88,2.52,39,1548
34,T35,T35,Bob Estes,85,2.55,39,1530
35,T35,T35,Bill Haas,99,2.55,44,1728
36,T37,T37,Luke Donald,66,2.56,29,1134
37,T37,T37,Harrison Frazar,95,2.56,42,1638
38,T39,T39,Justin Rose,98,2.57,44,1710
39,T39,T39,Heath Slocum,96,2.57,43,1674
40,T41,T41,Brent Geiberger,99,2.58,45,1746
41,T41,T41,Freddie Jacobson,56,2.58,26,1008
42,43,43,Joe Ogilvie,95,2.63,43,1638
43,T44,T44,Jeff Sluman,101,2.64,48,1818
44,T44,T44,Bob Tway,81,2.64,37,1404
45,46,46,Trevor Immelman,86,2.65,41,1548
46,47,47,Steve Flesch,119,2.66,55,2070
47,48,48,Ian Poulter,53,2.67,25,936
48,49,49,Danny Ellis,68,2.69,31,1152
49,50,50,Dean Wilson,115,2.7,54,1998
50,51,51,Scott Gutschewski,53,2.72,25,918
51,52,52,Robert Allenby,79,2.74,38,1386
52,T53,T53,Frank Lickliter II,99,2.75,48,1746
53,T53,T53,Steve Lowery,99,2.75,48,1746
54,T53,T53,John Rollins,93,2.75,45,1638
55,T56,T56,Shigeki Maruyama,94,2.78,46,1656
56,T56,T56,Mark O'Meara,52,2.78,25,900
57,T56,T56,Geoff Ogilvy,76,2.78,35,1260
58,T56,T56,Chris Riley,86,2.78,41,1476
59,T56,T56,Patrick Sheehan,104,2.78,50,1800
60,T61,T61,J.J. Henry,96,2.81,47,1674
61,T61,T61,Ryan Palmer,101,2.81,50,1782
62,T61,T61,Ron Whittaker,81,2.81,40,1422
63,T64,T64,Shane Bertsch,104,2.83,52,1836
