,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,1,1,"Wes Short, Jr.",96,56,80
1,2,2,Nick Watney,97,53,65
2,T3,T3,Jonathan Kaye,95,50,65
3,T3,T3,Nicholas Thompson,96,50,74
4,5,5,David Branshaw,98,49,59
5,T6,T6,James Driscoll,80,48,63
6,T6,T6,Carlos Franco,86,48,59
7,8,8,Joey Sindelar,90,47,53
8,9,9,Hunter Mahan,98,46,58
9,10,10,Tom Pernice Jr.,108,45,52
10,T11,T11,Will MacKenzie,91,44,58
11,T11,T11,Chris Smith,67,44,48
12,T11,T11,Bo Van Pelt,102,44,58
13,T14,T14,Jason Bohn,104,43,54
14,T14,T14,Jeff Brehaut,100,43,53
15,T14,T14,Jeff Gove,91,43,50
16,T14,T14,Jerry Smith,94,43,59
17,T18,T18,Joe Durant,101,42,61
18,T18,T18,Matt Hansen,68,42,61
19,T20,T20,Henrik Bjornstad,97,41,54
20,T20,T20,Brian Davis,92,41,55
21,T20,T20,Bubba Dickerson,98,41,53
22,T20,T20,Robert Garrigus,85,41,55
23,T20,T20,Sean O'Hair,100,41,54
24,T20,T20,Kevin Sutherland,100,41,48
25,T20,T20,Charles Warren,93,41,51
26,T27,T27,Mark Calcavecchia,94,40,66
27,T27,T27,Brent Geiberger,99,40,44
28,T27,T27,Jason Gore,86,40,55
29,T27,T27,Nathan Green,108,40,55
30,T27,T27,Troy Matteson,101,40,54
31,T32,T32,Woody Austin,107,39,65
32,T32,T32,Steve Flesch,119,39,51
33,T32,T32,Mathew Goggin,72,39,50
34,T32,T32,Charles Howell III,96,39,48
35,T32,T32,Brett Quigley,109,39,49
36,T37,T37,J.B. Holmes,81,38,58
37,T37,T37,Jeff Overton,95,38,47
38,T37,T37,John Senden,96,38,50
39,T40,T40,Chris Couch,75,37,45
40,T40,T40,Jerry Kelly,100,37,45
41,T40,T40,Peter Lonard,77,37,44
42,T40,T40,Steve Lowery,99,37,44
43,T40,T40,Carl Pettersson,95,37,47
44,T40,T40,Ted Purdy,103,37,52
45,T46,T46,Robert Damron,91,36,49
46,T46,T46,Robert Gamez,94,36,49
47,T46,T46,Kent Jones,103,36,49
48,T46,T46,Tag Ridings,103,36,47
49,T46,T46,Heath Slocum,96,36,40
50,T46,T46,Mike Sposa,68,36,42
51,T46,T46,Vaughn Taylor,88,36,42
52,T46,T46,Duffy Waldorf,96,36,45
53,T54,T54,Arron Oberholser,82,35,38
54,T54,T54,Patrick Sheehan,104,35,45
55,T54,T54,Vijay Singh,103,35,47
56,T57,T57,Olin Browne,108,34,41
57,T57,T57,Fred Funk,106,34,43
58,T57,T57,Mathias Grönberg,92,34,44
59,T57,T57,John Huston,74,34,51
60,T57,T57,Shigeki Maruyama,94,34,39
61,T57,T57,Greg Owen,79,34,45
62,T63,T63,Doug Barron,74,33,47
63,T63,T63,Shane Bertsch,104,33,47
64,T63,T63,Trevor Immelman,86,33,36
65,T63,T63,Steve Jones,83,33,41
66,T63,T63,Billy Mayfair,94,33,41
67,T63,T63,Jason Schultz,77,33,36
68,T63,T63,Paul Stankowski,70,33,40
69,T63,T63,Bubba Watson,83,33,45
70,T63,T63,Dean Wilson,115,33,45
71,T72,T72,Bart Bryant,87,32,39
72,T72,T72,K.J. Choi,93,32,36
73,T72,T72,Bill Haas,99,32,41
74,T72,T72,Ryuji Imada,105,32,38
75,T72,T72,Daisuke Maruyama,83,32,41
76,T72,T72,Justin Rose,98,32,40
77,T72,T72,Camilo Villegas,95,32,48
78,T79,T79,Paul Goydos,72,31,41
79,T79,T79,Tim Petrovic,95,31,44
80,T79,T79,Roger Tambellini,64,31,45
81,T79,T79,Ron Whittaker,81,31,38
82,T83,T83,Arjun Atwal,97,30,44
83,T83,T83,Craig Barlow,77,30,36
84,T83,T83,Brian Bateman,69,30,37
85,T83,T83,Kris Cox,83,30,45
86,T83,T83,Dudley Hart,83,30,49
87,T83,T83,Joe Ogilvie,95,30,39
88,T83,T83,D.A. Points,82,30,33
89,T83,T83,Chris Riley,86,30,36
90,T83,T83,Jeff Sluman,101,30,37
91,T83,T83,Brett Wetterich,82,30,38
92,T93,T93,John Cook,67,29,34
93,T93,T93,John Daly,51,29,37
94,T93,T93,Thomas Levet,53,29,42
95,T93,T93,Frank Lickliter II,99,29,44
96,T93,T93,David McKenzie,82,29,42
97,T93,T93,Ryan Palmer,101,29,43
98,T93,T93,Kenny Perry,73,29,36
