,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Chris Riley,86,20.06,678,136
1,2,2,Ben Crane,85,19.53,640,125
2,3,3,Rod Pampling,89,18.96,670,127
3,4,4,Brian Gay,107,18.84,1003,189
4,5,5,Davis Love III,85,18.81,590,111
5,6,6,Vaughn Taylor,88,18.75,784,147
6,7,7,Stewart Cink,93,18.58,791,147
7,8,8,Len Mattiace,59,18.57,544,101
8,9,9,Stephen Ames,63,18.56,485,90
9,10,10,Shigeki Maruyama,94,18.35,812,149
10,11,11,Dean Wilson,115,18.15,1008,183
11,12,12,J.P. Hayes,55,18.11,497,90
12,13,13,Tom Pernice Jr.,108,18.07,924,167
13,14,14,Arjun Atwal,97,17.96,852,153
14,15,15,David Duval,71,17.93,552,99
15,T16,T16,Daniel Chopra,110,17.58,916,161
16,T16,T16,Tiger Woods,55,17.58,421,74
17,18,18,David McKenzie,82,17.55,752,132
18,19,19,David Toms,76,17.41,649,113
19,20,20,Brent Geiberger,99,17.4,954,166
20,21,21,Freddie Jacobson,56,17.38,581,101
21,22,22,Woody Austin,107,17.35,945,164
22,23,23,Carl Pettersson,95,17.31,797,138
23,24,24,John Huston,74,17.26,672,116
24,25,25,Brett Quigley,109,17.22,1051,181
25,26,26,Kent Jones,103,17.21,924,159
26,27,27,José María Olazábal,62,17.17,431,74
27,28,28,Lee Janzen,79,17.16,711,122
28,29,29,Nathan Green,108,17.11,982,168
29,30,30,Richard Johnson,94,17.02,946,161
30,31,31,Jonathan Byrd,66,16.99,571,97
31,32,32,Mark O'Meara,52,16.95,354,60
32,33,33,"Wes Short, Jr.",96,16.93,892,151
33,34,34,Michael Allen,84,16.9,722,122
34,35,35,Mark Wilson,79,16.86,765,129
35,36,36,Craig Barlow,77,16.78,596,100
36,T37,T37,Shane Bertsch,104,16.76,931,156
37,T37,T37,Jesper Parnevik,84,16.76,752,126
38,T39,T39,Stephen Leaney,84,16.75,806,135
39,T39,T39,Camilo Villegas,95,16.75,848,142
40,41,41,Luke Donald,66,16.71,431,72
41,42,42,Brad Faxon,78,16.69,749,125
42,43,43,Todd Fischer,101,16.68,923,154
43,44,44,Aaron Baddeley,78,16.64,673,112
44,45,45,Tag Ridings,103,16.63,944,157
45,46,46,Chris Smith,67,16.57,724,120
46,47,47,David Howell,52,16.56,320,53
47,48,48,Olin Browne,108,16.55,894,148
48,49,49,Steve Stricker,64,16.54,532,88
49,50,50,Steve Flesch,119,16.53,1065,176
50,51,51,Tim Petrovic,95,16.51,842,139
51,52,52,Jim Furyk,89,16.45,760,125
52,53,53,Rich Beem,85,16.42,676,111
53,54,54,Ben Curtis,86,16.4,738,121
54,55,55,Frank Lickliter II,99,16.34,906,148
55,56,56,Robert Allenby,79,16.28,639,104
56,57,57,Bernhard Langer,77,16.26,621,101
57,58,58,J.B. Holmes,81,16.24,665,108
58,59,59,Danny Ellis,68,16.23,616,100
59,60,60,Ian Poulter,53,16.2,426,69
60,61,61,Jerry Smith,94,16.19,908,147
61,62,62,Stuart Appleby,83,16.07,647,104
62,63,63,Briny Baird,81,16.06,772,124
63,64,64,Hunter Mahan,98,16.05,972,156
64,65,65,Mark Calcavecchia,94,16.04,798,128
65,66,66,D.J. Trahan,92,16.03,780,125
66,67,67,Marco Dawson,87,16.01,787,126
67,68,68,Geoff Ogilvy,76,15.96,545,87
68,69,69,Billy Andrade,78,15.95,627,100
69,70,70,Steve Elkington,52,15.89,516,82
70,T71,T71,Jason Gore,86,15.84,783,124
71,T71,T71,Scott Verplank,88,15.84,707,112
72,73,73,Steve Jones,83,15.82,746,118
73,74,74,Phil Mickelson,74,15.72,477,75
74,75,75,Jason Schultz,77,15.7,707,111
75,T76,T76,Henrik Bjornstad,97,15.63,953,149
76,T76,T76,Greg Chalmers,71,15.63,576,90
77,T76,T76,Ted Purdy,103,15.63,870,136
78,79,79,Ryan Moore,68,15.59,603,94
79,T80,T80,John Daly,51,15.57,411,64
80,T80,T80,James Driscoll,80,15.57,809,126
81,T80,T80,Jeff Overton,95,15.57,912,142
82,83,83,Corey Pavin,74,15.55,598,93
83,84,84,Zach Johnson,98,15.53,824,128
84,T85,T85,Jerry Kelly,100,15.49,891,138
85,T85,T85,Joe Ogilvie,95,15.49,794,123
