,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Brent Geiberger,99,34,636,5.3
1,2,2,Richard Johnson,94,33,597,5.5
2,3,3,Brett Quigley,109,32,675,4.7
3,T4,T4,J.J. Henry,96,30,503,6.0
4,T4,T4,David McKenzie,82,30,480,6.3
5,6,6,Kent Jones,103,29,631,4.6
6,T7,T7,Steve Flesch,119,28,737,3.8
7,T7,T7,Tom Pernice Jr.,108,28,662,4.2
8,T7,T7,Bo Van Pelt,102,28,619,4.5
9,T10,T10,Mathias Grönberg,92,27,534,5.1
10,T10,T10,Vaughn Taylor,88,27,579,4.7
11,T12,T12,James Driscoll,80,26,541,4.8
12,T12,T12,Ted Purdy,103,26,531,4.9
13,T12,T12,Vijay Singh,103,26,617,4.2
14,T12,T12,Dean Wilson,115,26,683,3.8
15,T16,T16,Craig Barlow,77,25,395,6.3
16,T16,T16,Olin Browne,108,25,621,4.0
17,T16,T16,Carlos Franco,86,25,512,4.9
18,T16,T16,Chris Riley,86,25,527,4.7
19,T16,T16,Mark Wilson,79,25,510,4.9
20,T21,T21,Brad Faxon,78,24,545,4.4
21,T21,T21,Brian Gay,107,24,777,3.1
22,T21,T21,Nathan Green,108,24,714,3.4
23,T21,T21,Frank Lickliter II,99,24,603,4.0
24,T21,T21,John Rollins,93,24,508,4.7
25,T26,T26,Will MacKenzie,91,23,473,4.9
26,T26,T26,Jerry Smith,94,23,585,3.9
27,T26,T26,Kevin Sutherland,100,23,583,3.9
28,T29,T29,Arjun Atwal,97,22,592,3.7
29,T29,T29,Daniel Chopra,110,22,690,3.2
30,T29,T29,Ben Curtis,86,22,458,4.8
31,T29,T29,Marco Dawson,87,22,567,3.9
32,T29,T29,Joe Durant,101,22,631,3.5
33,T29,T29,Todd Fischer,101,22,657,3.3
34,T29,T29,Charles Howell III,96,22,523,4.2
35,T29,T29,Brandt Jobe,91,22,458,4.8
36,T29,T29,Hunter Mahan,98,22,600,3.7
37,T29,T29,Tim Petrovic,95,22,589,3.7
38,T29,T29,D.A. Points,82,22,515,4.3
39,T29,T29,Jason Schultz,77,22,439,5.0
40,T29,T29,Chris Smith,67,22,361,6.1
41,T29,T29,Bob Tway,81,22,460,4.8
42,T29,T29,Duffy Waldorf,96,22,554,4.0
43,T44,T44,Briny Baird,81,21,457,4.6
44,T44,T44,Henrik Bjornstad,97,21,629,3.3
45,T44,T44,Jim Furyk,89,21,485,4.3
46,T44,T44,Mathew Goggin,72,21,378,5.6
47,T44,T44,Dudley Hart,83,21,501,4.2
48,T44,T44,Troy Matteson,101,21,583,3.6
49,T44,T44,John Senden,96,21,505,4.2
50,T51,T51,K.J. Choi,93,20,522,3.8
51,T51,T51,Jonathan Kaye,95,20,538,3.7
52,T51,T51,Billy Mayfair,94,20,509,3.9
53,T51,T51,Ryan Palmer,101,20,573,3.5
54,T51,T51,Justin Rose,98,20,600,3.3
55,T51,T51,David Toms,76,20,448,4.5
56,T57,T57,Aaron Baddeley,78,19,533,3.6
57,T57,T57,David Branshaw,98,19,573,3.3
58,T57,T57,Bob Estes,85,19,514,3.7
59,T57,T57,Bill Haas,99,19,608,3.1
60,T57,T57,Joe Ogilvie,95,19,578,3.3
61,T57,T57,Carl Pettersson,95,19,547,3.5
62,T57,T57,Nick Watney,97,19,612,3.1
63,T64,T64,Robert Allenby,79,18,426,4.2
64,T64,T64,Jeff Brehaut,100,18,562,3.2
65,T64,T64,Jeff Gove,91,18,502,3.6
66,T64,T64,John Huston,74,18,467,3.9
67,T64,T64,Jerry Kelly,100,18,574,3.1
68,T64,T64,Rod Pampling,89,18,510,3.5
69,T64,T64,Tag Ridings,103,18,658,2.7
70,T64,T64,Heath Slocum,96,18,527,3.4
71,T64,T64,Charles Warren,93,18,518,3.5
72,T73,T73,Shane Bertsch,104,17,647,2.6
73,T73,T73,Jason Bohn,104,17,606,2.8
74,T73,T73,Jonathan Byrd,66,17,386,4.4
75,T73,T73,Chad Campbell,91,17,453,3.8
