,Total_3_Putts_-_5-10_RANK THIS WEEK,Total_3_Putts_-_5-10_RANK LAST WEEK,Total_3_Putts_-_5-10_PLAYER NAME,Total_3_Putts_-_5-10_ROUNDS,Total_3_Putts_-_5-10_TOTAL 3 PUTTS 5'-10',Total_3_Putts_-_5-10_TOTAL 3 PUTTS
0,T1,T1,Woody Austin,107,6,65
1,T1,T1,Brian Davis,92,6,55
2,T1,T1,Steve Elkington,52,6,37
3,T1,T1,Will MacKenzie,91,6,58
4,T5,T5,Doug Barron,74,5,47
5,T5,T5,Henrik Bjornstad,97,5,54
6,T5,T5,Mathew Goggin,72,5,50
7,T5,T5,Jesper Parnevik,84,5,17
8,T9,T9,Mark Calcavecchia,94,4,66
9,T9,T9,Tim Clark,80,4,38
10,T9,T9,Danny Ellis,68,4,26
11,T9,T9,Troy Matteson,101,4,54
12,T9,T9,Joe Ogilvie,95,4,39
13,T9,T9,John Senden,96,4,50
14,T9,T9,"Wes Short, Jr.",96,4,80
15,T9,T9,Nicholas Thompson,96,4,74
16,T9,T9,D.J. Trahan,92,4,47
17,T9,T9,Mike Weir,88,4,36
18,T19,T19,Alex Aragon,63,3,38
19,T19,T19,Paul Azinger,87,3,31
20,T19,T19,Craig Barlow,77,3,36
21,T19,T19,Jason Bohn,104,3,54
22,T19,T19,Ben Curtis,86,3,33
23,T19,T19,Joe Durant,101,3,61
24,T19,T19,David Duval,71,3,34
25,T19,T19,Todd Fischer,101,3,35
26,T19,T19,Robert Gamez,94,3,49
27,T19,T19,Todd Hamilton,72,3,29
28,T19,T19,J.P. Hayes,55,3,40
29,T19,T19,John Huston,74,3,51
30,T19,T19,Len Mattiace,59,3,32
31,T19,T19,Jeff Overton,95,3,47
32,T19,T19,Greg Owen,79,3,45
33,T19,T19,Pat Perez,50,3,29
34,T19,T19,Kenny Perry,73,3,36
35,T19,T19,Vaughn Taylor,88,3,42
36,T19,T19,Tjaart van der Walt,60,3,37
37,T19,T19,Bo Van Pelt,102,3,58
38,T19,T19,Nick Watney,97,3,65
39,T40,T40,Robert Allenby,79,2,27
40,T40,T40,Brian Bateman,69,2,37
41,T40,T40,Jonathan Byrd,66,2,31
42,T40,T40,Alex Cejka,93,2,41
43,T40,T40,Marco Dawson,87,2,32
44,T40,T40,Ernie Els,69,2,20
45,T40,T40,Brad Faxon,78,2,30
46,T40,T40,Steve Flesch,119,2,51
47,T40,T40,Carlos Franco,86,2,59
48,T40,T40,Harrison Frazar,95,2,32
49,T40,T40,Fred Funk,106,2,43
50,T40,T40,Lucas Glover,105,2,40
51,T40,T40,Bill Haas,99,2,41
52,T40,T40,Dudley Hart,83,2,49
53,T40,T40,J.J. Henry,96,2,33
54,T40,T40,David Howell,52,2,15
55,T40,T40,Lee Janzen,79,2,47
56,T40,T40,Richard Johnson,94,2,28
57,T40,T40,J.L. Lewis,57,2,30
58,T40,T40,Billy Mayfair,94,2,41
59,T40,T40,Shaun Micheel,96,2,31
60,T40,T40,Sean O'Hair,100,2,54
61,T40,T40,Ted Purdy,103,2,52
62,T40,T40,Brett Quigley,109,2,49
63,T40,T40,Chris Riley,86,2,36
64,T40,T40,Patrick Sheehan,104,2,45
65,T40,T40,Hidemichi Tanaka,74,2,33
66,T40,T40,Kirk Triplett,58,2,26
67,T40,T40,Duffy Waldorf,96,2,45
68,T40,T40,Bubba Watson,83,2,45
69,T40,T40,Ron Whittaker,81,2,38
70,T40,T40,Dean Wilson,115,2,45
71,T40,T40,Mark Wilson,79,2,39
72,T73,T73,Stephen Ames,63,1,23
73,T73,T73,Billy Andrade,78,1,39
74,T73,T73,Tommy Armour III,65,1,28
75,T73,T73,Arjun Atwal,97,1,44
76,T73,T73,Aaron Baddeley,78,1,20
77,T73,T73,Rich Beem,85,1,39
78,T73,T73,Jeff Brehaut,100,1,53
79,T73,T73,K.J. Choi,93,1,36
80,T73,T73,Daniel Chopra,110,1,31
81,T73,T73,Chris Couch,75,1,45
82,T73,T73,Fred Couples,52,1,31
83,T73,T73,Kris Cox,83,1,45
84,T73,T73,Ben Crane,85,1,24
85,T73,T73,Luke Donald,66,1,22
86,T73,T73,James Driscoll,80,1,63
87,T73,T73,Bob Estes,85,1,35
88,T73,T73,Robert Garrigus,85,1,55
89,T73,T73,Brian Gay,107,1,25
90,T73,T73,Brent Geiberger,99,1,44
91,T73,T73,Jason Gore,86,1,55
92,T73,T73,Nathan Green,108,1,55
93,T73,T73,Mathias Grönberg,92,1,44
94,T73,T73,Scott Gutschewski,53,1,20
95,T73,T73,Padraig Harrington,54,1,19
96,T73,T73,Ryan Hietala,61,1,26
97,T73,T73,Charley Hoffman,100,1,45
98,T73,T73,J.B. Holmes,81,1,58
99,T73,T73,Ryuji Imada,105,1,38
100,T73,T73,Zach Johnson,98,1,30
101,T73,T73,Steve Jones,83,1,41
102,T73,T73,Kent Jones,103,1,49
103,T73,T73,Jonathan Kaye,95,1,65
104,T73,T73,Jerry Kelly,100,1,45
105,T73,T73,Stephen Leaney,84,1,32
106,T73,T73,Justin Leonard,83,1,25
107,T73,T73,Thomas Levet,53,1,42
108,T73,T73,Hunter Mahan,98,1,58
109,T73,T73,Bob May,65,1,28
110,T73,T73,David McKenzie,82,1,42
111,T73,T73,Jon Mills,68,1,30
112,T73,T73,Larry Mize,53,1,17
113,T73,T73,Ryan Moore,68,1,23
114,T73,T73,Geoff Ogilvy,76,1,28
115,T73,T73,Rod Pampling,89,1,28
116,T73,T73,Tom Pernice Jr.,108,1,52
117,T73,T73,Tim Petrovic,95,1,44
118,T73,T73,Carl Pettersson,95,1,47
119,T73,T73,D.A. Points,82,1,33
120,T73,T73,Ian Poulter,53,1,23
121,T73,T73,Tag Ridings,103,1,47
122,T73,T73,Rory Sabbatini,84,1,39
123,T73,T73,Joey Sindelar,90,1,53
124,T73,T73,Jeff Sluman,101,1,37
125,T73,T73,Chris Smith,67,1,48
126,T73,T73,Jerry Smith,94,1,59
127,T73,T73,Mike Sposa,68,1,42
128,T73,T73,Roger Tambellini,64,1,45
129,T73,T73,David Toms,76,1,37
130,T73,T73,Bob Tway,81,1,36
131,T73,T73,Omar Uresti,61,1,35
132,T73,T73,Camilo Villegas,95,1,48
133,T73,T73,Jimmy Walker,60,1,23
134,T73,T73,Charles Warren,93,1,51
