,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Jesper Parnevik,84,3.1,10,323,96.9
1,2,2,Steve Stricker,64,4.33,9,208,95.6
2,3,3,Brian Gay,107,4.5,17,378,95.5
3,4,4,Aaron Baddeley,78,4.81,13,270,95.1
4,5,5,Richard Johnson,94,4.98,20,402,95.0
5,6,6,Jim Furyk,89,5.61,16,285,94.3
6,7,7,Larry Mize,53,6.06,12,198,93.9
7,8,8,Vance Veazey,59,6.17,14,227,93.8
8,9,9,Ben Crane,85,6.18,16,259,93.8
9,10,10,Ben Curtis,86,6.23,20,321,93.7
10,11,11,Shaun Micheel,96,6.53,23,352,93.4
11,12,12,Daniel Chopra,110,6.67,25,375,93.3
12,13,13,Danny Ellis,68,6.72,16,238,93.2
13,14,14,Justin Leonard,83,6.84,18,263,93.1
14,15,15,Charley Hoffman,100,6.86,26,379,93.1
15,16,16,Jimmy Walker,60,6.95,18,259,93.0
16,T17,T17,J.J. Henry,96,7.14,27,378,92.8
17,T17,T17,Ryan Moore,68,7.14,18,252,92.8
18,T19,T19,Michael Allen,84,7.17,20,279,92.8
19,T19,T19,Hidemichi Tanaka,74,7.17,21,293,92.8
20,21,21,Scott Gutschewski,53,7.18,14,195,92.8
21,22,22,Stephen Leaney,84,7.19,23,320,92.8
22,23,23,Lucas Glover,105,7.34,27,368,92.6
23,24,24,Stewart Cink,93,7.37,23,312,92.6
24,25,25,Bob Estes,85,7.45,26,349,92.5
25,26,26,Rod Pampling,89,7.52,20,266,92.4
26,27,27,Brad Faxon,78,7.64,24,314,92.3
27,28,28,Frank Lickliter II,99,7.69,29,377,92.3
28,29,29,Brandt Jobe,91,7.74,25,323,92.2
29,30,30,David Howell,52,7.8,11,141,92.2
30,31,31,Kirk Triplett,58,7.82,14,179,92.1
31,32,32,Dean Wilson,115,7.88,33,419,92.1
32,33,33,Todd Fischer,101,7.89,27,342,92.1
33,34,34,Davis Love III,85,7.95,19,239,92.0
34,35,35,Corey Pavin,74,8.05,21,261,91.9
35,36,36,Harrison Frazar,95,8.13,23,283,91.8
36,37,37,Ernie Els,69,8.2,15,183,91.8
37,T38,T38,Paul Azinger,87,8.23,26,316,91.7
38,T38,T38,Mark O'Meara,52,8.23,13,158,91.7
39,40,40,Robert Allenby,79,8.27,21,254,91.7
40,41,41,K.J. Choi,93,8.29,32,386,91.7
41,42,42,Mark Wilson,79,8.31,27,325,91.6
42,T43,T43,Zach Johnson,98,8.33,27,324,91.6
43,T43,T43,Greg Kraft,79,8.33,24,288,91.6
44,45,45,José María Olazábal,62,8.38,15,179,91.6
45,46,46,Arjun Atwal,97,8.45,30,355,91.5
46,47,47,Skip Kendall,72,8.47,20,236,91.5
47,48,48,Billy Mayfair,94,8.48,33,389,91.5
48,49,49,Tiger Woods,55,8.56,16,187,91.4
49,50,50,Chad Campbell,91,8.59,25,291,91.4
50,51,51,David McKenzie,82,8.61,29,337,91.3
51,52,52,Tim Clark,80,8.62,20,232,91.3
52,T53,T53,Eric Axley,91,8.63,27,313,91.3
53,T53,T53,Ryan Palmer,101,8.63,29,336,91.3
54,55,55,Brent Geiberger,99,8.64,40,463,91.3
55,56,56,John Rollins,93,8.68,29,334,91.3
56,57,57,Tim Petrovic,95,8.73,31,355,91.2
57,58,58,Brett Quigley,109,8.74,39,446,91.2
58,59,59,Marco Dawson,87,8.77,27,308,91.2
