,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,J.P. Hayes,55,"62' 1""",62.083,1,62,62
1,2,2,Doug Barron,74,"40' 4""",40.333,1,40,40
2,3,3,Jeff Brehaut,100,"38' 9""",116.333,3,66,6
3,4,4,Greg Kraft,79,"38' 7""",38.583,1,39,39
4,5,5,Jeff Sluman,101,"38' 6""",38.5,1,39,39
5,6,6,Hidemichi Tanaka,74,"38' 3""",76.417,2,61,16
6,7,7,Jeff Maggert,81,"36' 6""",36.5,1,37,37
7,8,8,Chris Couch,75,"35' 7""",35.583,1,36,36
8,9,9,Steve Elkington,52,"34' 8""",34.667,1,35,35
9,10,10,David Duval,71,"34' 0""",68.0,2,65,3
10,11,11,Greg Owen,79,"33' 9""",101.167,3,55,6
11,12,12,Jerry Smith,94,"33' 8""",67.25,2,44,24
12,T13,T13,Todd Hamilton,72,"32' 6""",97.583,3,61,5
13,T13,T13,Padraig Harrington,54,"32' 6""",64.917,2,56,9
14,15,15,Alex Cejka,93,"32' 2""",64.25,2,48,16
15,16,16,Justin Rose,98,"31' 1""",62.167,2,34,29
16,17,17,Heath Slocum,96,"29' 2""",175.083,6,58,3
17,18,18,Skip Kendall,72,"28' 10""",57.667,2,32,26
18,19,19,Steve Flesch,119,"28' 0""",167.75,6,37,14
19,20,20,Shigeki Maruyama,94,"27' 7""",82.833,3,40,18
20,21,21,Ben Curtis,86,"27' 6""",27.5,1,28,28
21,22,22,Mike Weir,88,"27' 4""",54.667,2,41,14
22,23,23,Ryan Moore,68,"27' 3""",81.75,3,33,16
23,24,24,Duffy Waldorf,96,"27' 2""",54.333,2,29,25
24,25,25,Jerry Kelly,100,"26' 6""",105.833,4,64,9
25,T26,T26,Arjun Atwal,97,"25' 10""",103.333,4,44,11
26,T26,T26,Chad Campbell,91,"25' 10""",129.0,5,47,6
27,T28,T28,Chris Riley,86,"25' 6""",25.5,1,26,26
28,T28,T28,Mark Wilson,79,"25' 6""",76.583,3,40,17
29,30,30,Davis Love III,85,"25' 1""",100.167,4,56,5
30,T31,T31,Tag Ridings,103,"24' 8""",49.333,2,45,4
31,T31,T31,Rory Sabbatini,84,"24' 8""",73.917,3,49,"11"""
32,33,33,Mike Sposa,68,"24' 5""",73.25,3,35,17
33,34,34,Dean Wilson,115,"24' 3""",96.917,4,31,19
34,35,35,Ryan Palmer,101,"24' 2""",24.166999999999998,1,24,24
35,36,36,Shaun Micheel,96,"24' 0""",143.917,6,48,7
36,37,37,José María Olazábal,62,"23' 9""",71.25,3,25,23
37,38,38,Tiger Woods,55,"23' 8""",189.167,8,61,9
38,39,39,Steve Lowery,99,"23' 6""",164.75,7,33,10
39,40,40,Freddie Jacobson,56,"23' 5""",93.583,4,34,8
40,41,41,Joe Ogilvie,95,"23' 4""",70.083,3,28,16
41,T42,T42,Kent Jones,103,"23' 2""",139.083,6,54,7
42,T42,T42,Tom Pernice Jr.,108,"23' 2""",138.833,6,48,5
43,44,44,Troy Matteson,101,"22' 9""",136.333,6,67,5
44,45,45,Tom Lehman,70,"22' 6""",45.0,2,23,22
45,46,46,Mathias Grönberg,92,"22' 2""",88.5,4,54,8
46,47,47,Chris Smith,67,"21' 10""",87.417,4,57,7
47,48,48,Ted Purdy,103,"21' 9""",195.583,9,44,1
48,49,49,J.B. Holmes,81,"21' 8""",324.41700000000003,15,67,3
49,50,50,Kevin Sutherland,100,"21' 4""",149.5,7,40,4
50,51,51,Brandt Jobe,91,"21' 3""",84.917,4,46,10
51,52,52,Vance Veazey,59,"20' 10""",124.833,6,54,2
52,53,53,David McKenzie,82,"20' 9""",124.25,6,57,4
53,T54,T54,Fred Funk,106,"20' 7""",41.167,2,23,18
54,T54,T54,J.J. Henry,96,"20' 7""",82.417,4,46,5
55,56,56,Robert Gamez,94,"20' 6""",40.917,2,33,8
56,57,57,Vijay Singh,103,"20' 5""",183.417,9,43,2
57,58,58,Billy Mayfair,94,"20' 3""",141.667,7,34,8
58,T59,T59,Bob Estes,85,"20' 2""",101.0,5,28,5
59,T59,T59,Mathew Goggin,72,"20' 2""",100.75,5,48,3
60,61,61,Jonathan Byrd,66,"20' 1""",60.333,3,30,10
61,62,62,Brent Geiberger,99,"19' 3""",76.917,4,43,4
62,T63,T63,K.J. Choi,93,"19' 1""",76.25,4,23,15
63,T63,T63,Paul Goydos,72,"19' 1""",19.083,1,19,19
64,T63,T63,Bo Van Pelt,102,"19' 1""",95.25,5,42,4
65,66,66,Charles Warren,93,"18' 10""",132.083,7,43,"7"""
66,67,67,Jonathan Kaye,95,"18' 8""",56.083,3,31,10
67,T68,T68,Alex Aragon,63,"18' 7""",74.333,4,34,2
68,T68,T68,Paul Azinger,87,"18' 7""",93.083,5,25,9
69,T68,T68,Briny Baird,81,"18' 7""",55.833,3,28,5
70,71,71,Ernie Els,69,"18' 4""",73.333,4,47,3
71,T72,T72,Peter Lonard,77,"18' 0""",18.0,1,18,18
72,T72,T72,Carl Pettersson,95,"18' 0""",54.0,3,23,13
73,T74,T74,Carlos Franco,86,"17' 10""",142.5,8,46,4
74,T74,T74,Daisuke Maruyama,83,"17' 10""",89.083,5,27,2
75,T76,T76,Robert Garrigus,85,"17' 9""",106.583,6,44,8
76,T76,T76,Tim Petrovic,95,"17' 9""",53.167,3,30,9
77,78,78,Tjaart van der Walt,60,"17' 8""",17.667,1,18,18
78,79,79,Shane Bertsch,104,"17' 5""",52.333,3,28,11
79,80,80,Rod Pampling,89,"17' 3""",51.75,3,29,6
80,T81,T81,John Daly,51,"17' 2""",51.583,3,44,3
81,T81,T81,Lucas Glover,105,"17' 2""",68.583,4,31,8
