,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Richard Johnson,94,102.22,1172,55,1143
1,2,2,Brett Quigley,109,102.0,1297,62,1261
2,3,3,J.J. Henry,96,101.99,1107,47,1082
3,4,4,José María Olazábal,62,101.97,558,26,543
4,T5,T5,Stewart Cink,93,101.71,994,38,973
5,T5,T5,David Howell,52,101.71,410,20,397
6,7,7,Brad Faxon,78,101.59,1005,43,978
7,8,8,Steve Stricker,64,101.39,721,24,707
8,9,9,Tom Pernice Jr.,108,101.31,1219,59,1176
9,10,10,Mark O'Meara,52,101.21,495,23,478
10,11,11,Robert Allenby,79,101.18,850,31,829
11,12,12,Tiger Woods,55,101.16,519,21,504
12,13,13,Jim Furyk,89,101.15,955,37,929
13,14,14,Geoff Ogilvy,76,101.1,725,22,711
14,T15,T15,Ian Poulter,53,101.05,574,20,560
15,T15,T15,David Toms,76,101.05,857,34,832
16,17,17,Larry Mize,53,101.02,590,24,572
17,18,18,Dean Wilson,115,100.99,1308,55,1266
18,T19,T19,Arron Oberholser,82,100.91,881,32,857
19,T19,T19,Heath Slocum,96,100.91,1214,41,1184
20,21,21,Brian Gay,107,100.89,1352,51,1313
21,22,22,Brent Geiberger,99,100.87,1265,56,1220
22,23,23,Shigeki Maruyama,94,100.82,1102,41,1070
23,T24,T24,John Cook,67,100.77,777,28,755
24,T24,T24,Jimmy Walker,60,100.77,780,22,764
25,T26,T26,Ben Crane,85,100.74,816,29,793
26,T26,T26,Tom Lehman,70,100.74,673,25,653
27,T28,T28,Ryan Palmer,101,100.61,1145,40,1112
28,T28,T28,Corey Pavin,74,100.61,818,30,793
29,30,30,Chris Smith,67,100.6,835,37,803
30,31,31,Marco Dawson,87,100.55,1098,43,1061
31,32,32,K.J. Choi,93,100.54,1120,37,1089
32,33,33,Ben Curtis,86,100.51,973,42,936
33,34,34,Trevor Immelman,86,100.48,1050,35,1020
34,35,35,Nathan Green,108,100.46,1291,47,1250
35,36,36,Ernie Els,69,100.44,677,21,659
36,37,37,Vance Veazey,59,100.39,764,26,741
37,38,38,Rod Pampling,89,100.34,887,32,858
38,T39,T39,Aaron Baddeley,78,100.32,947,36,914
39,T39,T39,Daniel Chopra,110,100.32,1237,35,1206
