,3-Putt_Avoidance_-_15-20_RANK THIS WEEK,3-Putt_Avoidance_-_15-20_RANK LAST WEEK,3-Putt_Avoidance_-_15-20_PLAYER NAME,3-Putt_Avoidance_-_15-20_ROUNDS,3-Putt_Avoidance_-_15-20_%,3-Putt_Avoidance_-_15-20_TOTAL 3 PUTTS,3-Putt_Avoidance_-_15-20_ATTEMPTS,3-Putt_Avoidance_-_15-20_2 PUTT OR BETTER %
0,T1,T1,Robert Allenby,79,0.0,,123,100.0
1,T1,T1,Stuart Appleby,83,0.0,,114,100.0
2,T1,T1,Aaron Baddeley,78,0.0,,128,100.0
3,T1,T1,K.J. Choi,93,0.0,,148,100.0
4,T1,T1,Fred Couples,52,0.0,,59,100.0
5,T1,T1,Marco Dawson,87,0.0,,151,100.0
6,T1,T1,Chris DiMarco,83,0.0,,135,100.0
7,T1,T1,Steve Elkington,52,0.0,,90,100.0
8,T1,T1,Ernie Els,69,0.0,,86,100.0
9,T1,T1,Brad Faxon,78,0.0,,132,100.0
10,T1,T1,Todd Fischer,101,0.0,,173,100.0
11,T1,T1,Carlos Franco,86,0.0,,125,100.0
12,T1,T1,Sergio Garcia,59,0.0,,71,100.0
13,T1,T1,Brent Geiberger,99,0.0,,146,100.0
14,T1,T1,Retief Goosen,68,0.0,,88,100.0
15,T1,T1,David Howell,52,0.0,,54,100.0
16,T1,T1,Tom Lehman,70,0.0,,89,100.0
17,T1,T1,Len Mattiace,59,0.0,,91,100.0
18,T1,T1,Arron Oberholser,82,0.0,,120,100.0
19,T1,T1,José María Olazábal,62,0.0,,81,100.0
20,T1,T1,D.A. Points,82,0.0,,139,100.0
21,T1,T1,Steve Stricker,64,0.0,,104,100.0
22,T1,T1,Scott Verplank,88,0.0,,138,100.0
23,T24,T24,Tom Pernice Jr.,108,0.54,1.0,186,99.4
24,T24,T24,Heath Slocum,96,0.54,1.0,184,99.4
25,26,26,Kevin Sutherland,100,0.56,1.0,179,99.4
26,27,27,Eric Axley,91,0.6,1.0,166,99.4
27,28,28,Zach Johnson,98,0.61,1.0,164,99.3
28,T29,T29,Stephen Leaney,84,0.64,1.0,157,99.3
29,T29,T29,Jeff Overton,95,0.64,1.0,156,99.3
30,T31,T31,Henrik Bjornstad,97,0.65,1.0,155,99.3
31,T31,T31,Joe Ogilvie,95,0.65,1.0,154,99.3
32,33,33,Jim Furyk,89,0.66,1.0,152,99.3
33,T34,T34,Paul Azinger,87,0.68,1.0,147,99.3
34,T34,T34,Steve Lowery,99,0.68,1.0,146,99.3
35,36,36,Kenny Perry,73,0.69,1.0,144,99.3
36,37,37,Jeff Gove,91,0.7,1.0,143,99.3
37,38,38,Ron Whittaker,81,0.73,1.0,137,99.2
38,39,39,Bob Estes,85,0.75,1.0,134,99.2
39,40,40,Chris Couch,75,0.76,1.0,131,99.2
40,41,41,Chris Smith,67,0.77,1.0,130,99.2
41,T42,T42,Jesper Parnevik,84,0.78,1.0,128,99.2
42,T42,T42,Jason Schultz,77,0.78,1.0,128,99.2
43,44,44,Rod Pampling,89,0.79,1.0,126,99.2
44,45,45,Steve Jones,83,0.81,1.0,123,99.1
45,46,46,Skip Kendall,72,0.82,1.0,122,99.1
46,47,47,John Cook,67,0.83,1.0,121,99.1
47,48,48,Corey Pavin,74,0.87,1.0,115,99.1
48,49,49,Ryan Moore,68,0.93,1.0,108,99.0
49,T50,T50,Ryan Hietala,61,0.94,1.0,106,99.0
50,T50,T50,Bob May,65,0.94,1.0,106,99.0
51,52,52,Mike Sposa,68,0.96,1.0,104,99.0
52,53,53,Craig Barlow,77,0.97,1.0,103,99.0
53,T54,T54,Joe Durant,101,0.99,2.0,202,99.0
54,T54,T54,Tjaart van der Walt,60,0.99,1.0,101,99.0
55,56,56,Geoff Ogilvy,76,1.01,1.0,99,98.9
56,57,57,Davis Love III,85,1.03,1.0,97,98.9
57,T58,T58,David Branshaw,98,1.05,2.0,191,98.9
58,T58,T58,Tag Ridings,103,1.05,2.0,191,98.9
59,60,60,Scott Gutschewski,53,1.06,1.0,94,98.9
60,61,61,Mathew Goggin,72,1.11,1.0,90,98.8
61,T62,T62,Stephen Ames,63,1.16,1.0,86,98.8
62,T62,T62,Shane Bertsch,104,1.16,2.0,172,98.8
63,T62,T62,Larry Mize,53,1.16,1.0,86,98.8
64,T62,T62,Ian Poulter,53,1.16,1.0,86,98.8
65,T66,T66,Jerry Kelly,100,1.2,2.0,167,98.8
66,T66,T66,Frank Lickliter II,99,1.2,2.0,167,98.8
67,68,68,Vijay Singh,103,1.21,2.0,165,98.7
68,T69,T69,Jason Bohn,104,1.23,2.0,163,98.7
69,T69,T69,Bill Haas,99,1.23,2.0,162,98.7
