,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,20,"$9,188,321",9.0
1,2,2,Phil Mickelson,23,"$4,746,457",4.0
2,3,3,Ernie Els,20,"$3,469,405",1.0
3,4,4,Hal Sutton,25,"$3,061,444",2.0
4,5,5,Vijay Singh,26,"$2,573,835",1.0
5,6,6,Mike Weir,28,"$2,547,829",1.0
6,7,7,David Duval,19,"$2,462,846",1.0
7,8,8,Jesper Parnevik,20,"$2,413,345",2.0
8,9,9,Davis Love III,25,"$2,337,765",
9,10,10,Stewart Cink,27,"$2,169,727",1.0
10,11,11,Kirk Triplett,28,"$2,099,943",1.0
11,12,12,Tom Lehman,21,"$2,068,499",1.0
12,13,13,Steve Flesch,32,"$2,025,781",
13,14,14,Justin Leonard,28,"$2,023,465",1.0
14,15,15,David Toms,31,"$2,002,068",1.0
15,16,16,Robert Allenby,26,"$1,968,685",2.0
16,17,17,Jim Furyk,25,"$1,940,519",1.0
17,18,18,Loren Roberts,24,"$1,932,280",1.0
18,19,19,Chris DiMarco,33,"$1,842,221",1.0
19,20,20,Notah Begay III,24,"$1,819,323",2.0
20,21,21,Nick Price,18,"$1,804,433",
21,22,22,Scott Verplank,28,"$1,747,643",1.0
22,23,23,Mark Calcavecchia,28,"$1,702,317",
23,24,24,Stuart Appleby,24,"$1,642,221",
24,25,25,John Huston,23,"$1,631,695",1.0
25,26,26,Franklin Langham,28,"$1,604,952",
26,27,27,Paul Azinger,20,"$1,597,139",1.0
27,28,28,Chris Perry,31,"$1,563,115",
28,29,29,Bob May,26,"$1,557,720",
29,30,30,Carlos Franco,24,"$1,550,592",1.0
30,31,31,Steve Lowery,30,"$1,543,818",1.0
31,32,32,Duffy Waldorf,23,"$1,384,508",1.0
32,33,33,Scott Hoch,29,"$1,368,888",
33,34,34,Rocco Mediate,24,"$1,320,278",1.0
34,35,35,Tom Scherrer,33,"$1,263,585",1.0
35,36,36,Rory Sabbatini,26,"$1,262,535",1.0
36,37,37,Shigeki Maruyama,26,"$1,207,104",
37,38,38,Grant Waite,26,"$1,142,789",
38,39,39,Jeff Maggert,27,"$1,138,749",
39,40,40,Jonathan Kaye,34,"$1,096,131",
40,41,41,Greg Chalmers,28,"$1,063,456",
41,42,42,Sergio Garcia,16,"$1,054,338",
42,43,43,Dudley Hart,24,"$1,048,166",1.0
43,44,44,Scott Dunlap,30,"$1,040,244",
44,45,45,Billy Andrade,31,"$1,004,827",1.0
45,46,46,Brad Faxon,29,"$999,460",1.0
46,47,47,Fred Couples,19,"$990,215",
47,48,48,Jim Carter,30,"$964,346",1.0
48,49,49,Blaine McCallister,30,"$963,974",
49,50,50,Skip Kendall,32,"$947,118",
50,51,51,Dennis Paulson,26,"$896,098",1.0
51,52,52,Kenny Perry,20,"$889,381",
52,53,53,Frank Lickliter II,31,"$889,153",
53,54,54,Jeff Sluman,32,"$877,390",
54,55,55,Andrew Magee,26,"$867,372",
55,56,56,Michael Clark II,28,"$854,822",1.0
56,57,57,J.P. Hayes,26,"$838,054",
57,58,58,Fred Funk,32,"$827,691",
58,59,59,Jerry Kelly,32,"$784,754",
59,60,60,Jean Van de Velde,22,"$774,249",
60,61,61,Len Mattiace,31,"$762,979",
61,62,62,Lee Janzen,27,"$753,709",
62,63,63,Stephen Ames,31,"$747,312",
63,64,64,Carl Paulson,33,"$741,995",
64,65,65,Tim Herron,28,"$731,925",
65,66,66,Kevin Sutherland,27,"$728,635",
66,67,67,Robert Damron,28,"$724,580",
67,68,68,Brad Elder,34,"$700,738",
68,69,69,Esteban Toledo,35,"$673,387",
69,70,70,Paul Stankowski,22,"$669,709",
70,71,71,Chris Riley,28,"$660,707",
71,72,72,Steve Pate,28,"$649,674",
72,73,73,Joel Edwards,29,"$638,422",
73,74,74,Craig Stadler,21,"$631,752",
74,75,75,Glen Day,28,"$617,242",
75,76,76,Joe Durant,28,"$612,882",
76,77,77,Edward Fryatt,32,"$611,209",
77,78,78,J.L. Lewis,30,"$610,432",
78,79,79,Harrison Frazar,24,"$608,535",
79,80,80,Matt Gogel,30,"$604,199",
80,81,81,Greg Kraft,29,"$597,021",
81,82,82,Jay Don Blake,29,"$590,109",
82,83,83,Russ Cochran,25,"$583,605",
83,84,84,Greg Norman,12,"$580,510",
84,85,85,Brent Geiberger,24,"$564,918",
85,86,86,Bill Glasson,27,"$552,795",
86,87,87,Steve Jones,21,"$548,070",
87,88,88,Bob Estes,21,"$538,706",
88,89,89,John Cook,28,"$537,105",
89,90,90,Mark Brooks,29,"$528,959",
90,91,91,Brian Henninger,29,"$527,741",
91,92,92,Joe Ogilvie,30,"$519,740",
92,93,93,Tom Byrum,27,"$514,193",
93,94,94,Mark Wiebe,28,"$511,414",
94,95,95,Craig Parry,22,"$507,308",
95,96,96,David Sutherland,32,"$498,749",
96,97,97,Scott McCarron,30,"$495,975",
97,98,98,Olin Browne,31,"$494,307",
98,99,99,Brandel Chamblee,21,"$493,906",
99,100,100,Woody Austin,32,"$485,589",
100,101,101,Glen Hnatiuk,30,"$482,744",
101,102,102,Brian Gay,33,"$482,028",
102,103,103,Bradley Hughes,33,"$469,590",
103,104,104,Shaun Micheel,31,"$467,431",
104,105,105,Neal Lancaster,31,"$466,712",
105,106,106,Billy Mayfair,29,"$466,345",
106,107,107,Pete Jordan,31,"$464,480",
107,108,108,Doug Barron,27,"$461,981",
108,109,109,Jay Williamson,32,"$460,024",
109,110,110,David Peoples,28,"$459,812",
110,111,111,Larry Mize,21,"$425,624",
111,112,112,Mark O'Meara,19,"$424,309",
112,113,113,Steve Stricker,21,"$418,780",
113,114,114,Bob Tway,30,"$417,646",
114,115,115,Robin Freeman,32,"$415,430",
115,116,116,Jimmy Green,27,"$414,509",
116,117,117,Mathew Goggin,32,"$414,123",
117,118,118,Jerry Smith,32,"$406,591",
118,119,119,Gary Nicklaus,30,"$403,982",
119,120,120,Brandt Jobe,32,"$402,017",
120,121,121,Paul Goydos,30,"$398,393",
121,122,122,Tommy Armour III,30,"$397,610",
122,123,123,Joe Ozaki,18,"$393,316",
123,124,124,Doug Dunakey,27,"$393,059",
124,125,125,Bob Burns,29,"$391,075",
125,126,126,Joey Sindelar,30,"$388,341",
126,127,127,Tom Pernice Jr.,32,"$387,716",
127,128,128,Dan Forsman,27,"$379,349",
128,129,129,Craig Spence,31,"$346,569",
129,130,130,Sean Murphy,35,"$339,242",
130,131,131,Kevin Wentworth,31,"$332,293",
131,132,132,Rick Fehr,24,"$313,701",
132,133,133,Brian Watts,29,"$311,802",
133,134,134,K.J. Choi,30,"$305,745",
134,135,135,Mike Reid,23,"$299,138",
135,136,136,Craig Perks,28,"$297,912",
136,137,137,Craig Barlow,31,"$297,672",
137,138,138,Gabriel Hjertstedt,29,"$296,189",
138,139,139,Cameron Beckman,26,"$291,515",
