,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,20,12.12,"$9,188,321","$75,798,054"
1,2,2,Phil Mickelson,23,5.59,"$4,746,455","$84,848,054"
2,3,3,Ernie Els,20,4.65,"$3,469,404","$74,598,054"
3,4,4,David Duval,19,3.59,"$2,462,844","$68,598,054"
4,5,5,Hal Sutton,25,3.41,"$3,061,442","$89,748,054"
5,6,6,Darren Clarke,10,3.33,"$1,393,364","$41,798,054"
6,7,7,Jesper Parnevik,20,3.3,"$2,413,345","$73,098,054"
7,8,8,Phillip Price,4,2.9,"$493,750","$16,998,054"
8,9,9,Vijay Singh,26,2.78,"$2,573,830","$92,698,054"
9,10,10,Thomas Bjørn,9,2.71,"$1,049,647","$38,698,054"
10,11,11,Tom Lehman,21,2.7,"$2,068,498","$76,698,054"
11,12,12,Nick Price,18,2.64,"$1,804,431","$68,298,054"
12,13,13,Davis Love III,25,2.61,"$2,337,761","$89,448,054"
13,14,14,Mike Weir,28,2.5,"$2,547,827","$102,048,054"
14,15,15,Ted Purdy,1,2.4,"$72,000","$3,000,000"
15,16,16,Loren Roberts,24,2.31,"$1,932,278","$83,698,054"
16,17,17,Stewart Cink,27,2.28,"$2,169,725","$95,348,054"
17,18,18,Paul Azinger,20,2.22,"$1,597,138","$71,998,054"
18,19,19,Jim Furyk,25,2.2,"$1,940,517","$88,048,054"
19,20,20,Lee Westwood,10,2.18,"$911,634","$41,798,054"
20,T21,T21,Robert Allenby,26,2.17,"$1,968,683","$90,748,054"
21,T21,T21,Notah Begay III,24,2.17,"$1,819,322","$83,798,054"
22,23,23,Kirk Triplett,28,2.11,"$2,099,939","$99,448,054"
23,24,24,John Huston,23,2.08,"$1,631,694","$78,498,054"
24,25,25,Justin Leonard,28,2.03,"$2,023,464","$99,848,054"
25,26,26,David Toms,31,1.9,"$2,002,067","$105,498,054"
26,27,27,Steve Flesch,32,1.88,"$2,025,777","$107,848,054"
27,28,28,Stuart Appleby,24,1.87,"$1,642,218","$87,648,054"
28,29,29,Carlos Franco,24,1.82,"$1,550,591","$85,398,054"
29,30,30,Scott Verplank,28,1.81,"$1,747,641","$96,448,054"
30,31,31,Bob May,26,1.79,"$1,557,716","$87,148,054"
31,32,32,Sergio Garcia,16,1.74,"$1,054,337","$60,698,054"
32,33,33,Mark Calcavecchia,28,1.73,"$1,702,316","$98,348,054"
33,34,34,Duffy Waldorf,23,1.71,"$1,384,506","$81,150,000"
34,35,35,Franklin Langham,28,1.7,"$1,604,951","$94,450,000"
35,36,36,Colin Montgomerie,9,1.69,"$653,043","$38,698,054"
36,37,37,Chris DiMarco,33,1.68,"$1,842,220","$109,948,054"
37,38,38,Steve Lowery,30,1.63,"$1,543,816","$94,650,000"
38,39,39,Miguel Angel Jiménez,11,1.62,"$716,348","$44,198,054"
39,40,40,Rocco Mediate,24,1.55,"$1,320,276","$84,948,054"
40,41,41,Grant Waite,26,1.51,"$1,142,788","$75,700,000"
41,42,42,Padraig Harrington,8,1.5,"$491,812","$32,698,054"
42,T43,T43,Fred Couples,19,1.48,"$990,215","$66,748,054"
43,T43,T43,Pierre Fulke,2,1.48,"$133,587","$8,998,054"
44,T43,T43,Stephen Sear,2,1.48,"$90,000","$6,100,000"
45,T46,T46,Scott Hoch,29,1.46,"$1,368,886","$94,000,000"
46,T46,T46,Chris Perry,31,1.46,"$1,563,114","$107,048,054"
47,T46,T46,Rory Sabbatini,26,1.46,"$1,262,534","$86,350,000"
