,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Tiger Woods,20,"$459,416","$9,188,321"
1,2,2,Phil Mickelson,23,"$206,367","$4,746,457"
2,3,3,Ernie Els,20,"$173,470","$3,469,405"
3,4,4,David Duval,19,"$129,623","$2,462,845"
4,5,5,Hal Sutton,25,"$122,457","$3,061,444"
5,6,6,Jesper Parnevik,20,"$120,667","$2,413,345"
6,7,7,Nick Price,18,"$100,246","$1,804,432"
7,8,8,Vijay Singh,26,"$98,993","$2,573,834"
8,9,9,Tom Lehman,21,"$98,499","$2,068,498"
9,10,10,Davis Love III,25,"$93,510","$2,337,764"
10,11,11,Mike Weir,28,"$90,993","$2,547,828"
11,12,12,Thomas Bjørn,9,"$90,460","$814,147"
12,13,13,Loren Roberts,24,"$80,511","$1,932,279"
13,14,14,Stewart Cink,27,"$80,360","$2,169,727"
14,15,15,Paul Azinger,20,"$79,856","$1,597,139"
15,16,16,Jim Furyk,25,"$77,620","$1,940,518"
16,17,17,Notah Begay III,24,"$75,805","$1,819,323"
17,18,18,Robert Allenby,26,"$75,718","$1,968,685"
18,19,19,Kirk Triplett,28,"$74,997","$2,099,942"
19,20,20,Justin Leonard,28,"$72,266","$2,023,464"
20,21,21,Ted Purdy,1,"$72,000","$72,000"
21,22,22,John Huston,23,"$70,943","$1,631,694"
22,23,23,Stuart Appleby,24,"$68,425","$1,642,221"
23,24,24,Sergio Garcia,16,"$65,896","$1,054,337"
24,25,25,Carlos Franco,24,"$64,607","$1,550,591"
25,26,26,David Toms,31,"$64,582","$2,002,068"
26,27,27,Steve Flesch,32,"$63,305","$2,025,780"
27,28,28,Scott Verplank,28,"$62,415","$1,747,642"
28,29,29,Mark Calcavecchia,28,"$60,797","$1,702,316"
29,30,30,Duffy Waldorf,23,"$60,195","$1,384,507"
30,31,31,Bob May,26,"$59,912","$1,557,720"
31,32,32,Franklin Langham,28,"$57,319","$1,604,952"
32,33,33,Mark McNulty,1,"$56,345","$56,345"
33,34,34,Chris DiMarco,33,"$55,824","$1,842,221"
34,35,35,Rocco Mediate,24,"$55,011","$1,320,278"
35,36,36,Fred Couples,19,"$52,116","$990,215"
36,37,37,Steve Lowery,30,"$51,460","$1,543,818"
37,38,38,Chris Perry,31,"$50,423","$1,563,115"
38,39,39,Pierre Fulke,2,"$50,293","$100,587"
39,40,40,Rory Sabbatini,26,"$48,559","$1,262,534"
40,41,41,Greg Norman,12,"$48,375","$580,510"
41,42,42,Scott Hoch,29,"$47,203","$1,368,887"
42,43,43,Shigeki Maruyama,26,"$46,427","$1,207,103"
43,44,44,Colin Montgomerie,9,"$45,449","$409,043"
44,45,45,Stephen Sear,2,"$45,000","$90,000"
45,46,46,Kenny Perry,20,"$44,469","$889,381"
46,47,47,Miguel Angel Jiménez,11,"$44,440","$488,848"
47,48,48,Grant Waite,26,"$43,953","$1,142,788"
48,49,49,Dudley Hart,24,"$43,673","$1,048,166"
49,50,50,Jeff Maggert,27,"$42,175","$1,138,749"
50,51,51,Tom Watson,4,"$39,602","$158,408"
51,52,52,Tom Scherrer,33,"$38,290","$1,263,585"
52,53,53,Greg Chalmers,28,"$37,980","$1,063,455"
53,54,54,Brian Kontak,1,"$37,950","$37,950"
54,55,55,Jean Van de Velde,22,"$35,193","$774,249"
55,56,56,Scott Dunlap,30,"$34,674","$1,040,244"
56,57,57,Dennis Paulson,26,"$34,465","$896,098"
57,58,58,Brad Faxon,29,"$34,464","$999,460"
58,59,59,Hale Irwin,1,"$34,066","$34,066"
59,60,60,Andrew Magee,26,"$33,360","$867,372"
60,61,61,Padraig Harrington,8,"$33,164","$265,312"
61,62,62,Billy Andrade,31,"$32,413","$1,004,826"
62,63,63,Jonathan Kaye,34,"$32,239","$1,096,130"
63,64,64,J.P. Hayes,26,"$32,232","$838,053"
64,65,65,Jim Carter,30,"$32,144","$964,345"
65,66,66,Blaine McCallister,30,"$32,132","$963,973"
66,67,67,Paul Lawrie,8,"$31,216","$249,735"
67,68,68,Michael Clark II,28,"$30,529","$854,821"
68,69,69,Paul Stankowski,22,"$30,441","$669,709"
69,70,70,Dean Robertson,1,"$30,366","$30,366"
70,71,71,Craig Stadler,21,"$30,083","$631,752"
71,72,72,Skip Kendall,32,"$29,597","$947,118"
72,73,73,Lee Westwood,10,"$29,330","$293,302"
73,74,74,Frank Lickliter II,31,"$28,682","$889,153"
74,75,75,Lee Janzen,27,"$27,915","$753,709"
75,76,76,Jeff Sluman,32,"$27,418","$877,390"
76,77,77,Kevin Sutherland,27,"$26,986","$728,635"
77,78,78,José María Olazábal,12,"$26,747","$320,970"
78,79,79,Tim Herron,28,"$26,140","$731,924"
79,80,80,Steve Jones,21,"$26,098","$548,069"
80,81,81,Robert Damron,28,"$25,877","$724,579"
81,82,82,Fred Funk,32,"$25,865","$827,691"
82,83,83,Bob Estes,21,"$25,652","$538,706"
83,84,84,Darren Clarke,10,"$25,411","$254,114"
84,85,85,Harrison Frazar,24,"$25,355","$608,534"
85,86,86,Len Mattiace,31,"$24,612","$762,979"
86,87,87,Jerry Kelly,32,"$24,523","$784,753"
87,88,88,Stephen Ames,31,"$24,106","$747,311"
88,89,89,Chris Riley,28,"$23,596","$660,707"
89,90,90,Brent Geiberger,24,"$23,538","$564,918"
90,91,91,Brandel Chamblee,21,"$23,519","$493,905"
91,92,92,Russ Cochran,25,"$23,344","$583,605"
92,93,93,Steve Pate,28,"$23,202","$649,674"
93,94,94,Craig Parry,22,"$23,059","$507,308"
94,95,95,Carl Paulson,33,"$22,484","$741,995"
95,96,96,Mark O'Meara,19,"$22,332","$424,308"
96,97,97,Jarmo Sandelin,3,"$22,143","$66,431"
97,98,98,Charles Warren,1,"$22,056","$22,056"
98,99,99,Glen Day,28,"$22,044","$617,241"
99,100,100,Joel Edwards,29,"$22,014","$638,421"
100,101,101,Joe Durant,28,"$21,888","$612,882"
101,102,102,Joe Ozaki,18,"$21,850","$393,316"
102,103,103,Keiichiro Fukabori,3,"$21,450","$64,350"
103,104,104,Brad Elder,34,"$20,609","$700,737"
104,105,105,Greg Kraft,29,"$20,586","$597,021"
105,106,106,Toshi Izawa,1,"$20,500","$20,500"
106,107,107,Bill Glasson,27,"$20,473","$552,795"
107,108,108,Jay Don Blake,29,"$20,348","$590,109"
108,109,109,J.L. Lewis,30,"$20,347","$610,432"
109,110,110,Charles Howell III,13,"$20,271","$263,532"
110,T111,T111,Tom Kite,6,"$20,267","$121,604"
111,T111,T111,Larry Mize,21,"$20,267","$425,623"
112,113,113,Matt Gogel,30,"$20,139","$604,199"
113,114,114,Steve Stricker,21,"$19,941","$418,780"
114,115,115,Esteban Toledo,35,"$19,239","$673,387"
