,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Tiger Woods,24,"$10,318,321"
1,2,2,Phil Mickelson,26,"$4,891,457"
2,3,3,David Duval,23,"$3,712,846"
3,4,4,Davis Love III,28,"$3,612,765"
4,5,5,Ernie Els,21,"$3,469,405"
5,6,6,Vijay Singh,30,"$3,396,335"
6,7,8,Tom Lehman,25,"$3,380,999"
7,8,7,Hal Sutton,28,"$3,348,944"
8,9,9,Mike Weir,30,"$2,576,579"
9,10,10,Jesper Parnevik,21,"$2,543,345"
10,11,11,Justin Leonard,30,"$2,423,465"
11,12,12,Stewart Cink,30,"$2,377,227"
12,13,13,Kirk Triplett,29,"$2,099,943"
13,14,14,Steve Flesch,33,"$2,055,781"
14,15,15,David Toms,31,"$2,002,068"
15,16,16,Robert Allenby,27,"$1,968,685"
16,17,17,Jim Furyk,26,"$1,940,519"
17,18,18,Loren Roberts,25,"$1,932,280"
18,19,19,Chris DiMarco,34,"$1,922,221"
19,20,20,Sergio Garcia,19,"$1,854,338"
20,21,21,John Huston,25,"$1,854,195"
21,22,22,Carlos Franco,27,"$1,820,592"
22,23,23,Notah Begay III,25,"$1,819,323"
23,24,24,Nick Price,19,"$1,804,433"
24,25,26,Mark Calcavecchia,29,"$1,752,317"
25,26,25,Scott Verplank,28,"$1,747,643"
26,27,27,Franklin Langham,29,"$1,662,452"
27,28,28,Stuart Appleby,25,"$1,642,221"
28,29,29,Paul Azinger,21,"$1,597,139"
29,30,30,Chris Perry,31,"$1,563,115"
30,31,31,Bob May,26,"$1,557,720"
31,32,32,Steve Lowery,30,"$1,543,818"
32,33,33,Scott Hoch,30,"$1,488,888"
33,34,36,Duffy Waldorf,24,"$1,484,508"
34,35,35,Fred Couples,22,"$1,440,215"
35,36,34,Darren Clarke,10,"$1,393,364"
36,37,37,Rocco Mediate,26,"$1,392,778"
37,38,38,Shigeki Maruyama,28,"$1,282,104"
38,39,39,Tom Scherrer,33,"$1,263,585"
39,40,40,Rory Sabbatini,26,"$1,262,535"
40,41,41,Brad Faxon,30,"$1,199,460"
41,42,42,Grant Waite,26,"$1,142,789"
42,43,43,Jeff Maggert,27,"$1,138,749"
43,44,44,Jonathan Kaye,34,"$1,096,131"
44,45,45,Colin Montgomerie,10,"$1,068,044"
45,46,46,Greg Chalmers,28,"$1,063,456"
46,47,47,Thomas Bjørn,9,"$1,049,648"
47,48,48,Dudley Hart,24,"$1,048,166"
48,49,49,Scott Dunlap,30,"$1,040,244"
49,50,50,Billy Andrade,31,"$1,004,827"
50,51,51,Jim Carter,30,"$964,346"
51,52,52,Blaine McCallister,30,"$963,974"
52,53,53,Skip Kendall,32,"$947,118"
53,54,54,Andrew Magee,27,"$913,622"
54,55,55,Lee Westwood,10,"$911,636"
55,56,56,Dennis Paulson,26,"$896,098"
56,57,57,Kenny Perry,20,"$889,381"
57,58,58,Frank Lickliter II,31,"$889,153"
58,59,59,Jeff Sluman,32,"$877,390"
59,60,60,Michael Clark II,28,"$854,822"
60,61,61,J.P. Hayes,26,"$838,054"
61,62,62,Fred Funk,32,"$827,691"
62,63,63,Jean Van de Velde,24,"$821,249"
63,64,64,Jerry Kelly,32,"$784,754"
64,65,65,Stephen Ames,32,"$764,812"
65,66,66,Len Mattiace,31,"$762,979"
66,67,67,Miguel Angel Jiménez,12,"$756,348"
67,68,68,Lee Janzen,27,"$753,709"
68,69,69,Carl Paulson,33,"$741,995"
69,70,70,Tim Herron,28,"$731,925"
70,71,71,Kevin Sutherland,27,"$728,635"
71,72,72,Robert Damron,28,"$724,580"
72,73,73,Brad Elder,34,"$700,738"
73,74,74,Scott McCarron,31,"$695,975"
74,75,75,Esteban Toledo,35,"$673,387"
75,76,76,Paul Stankowski,22,"$669,709"
76,77,77,Mark O'Meara,21,"$664,309"
77,78,78,Chris Riley,28,"$660,707"
78,79,79,Steve Pate,28,"$649,674"
79,80,80,Joel Edwards,29,"$638,422"
80,81,81,Greg Norman,14,"$635,510"
81,82,82,Craig Stadler,21,"$631,752"
82,83,83,Glen Day,28,"$617,242"
83,84,84,Joe Durant,28,"$612,882"
84,85,85,Edward Fryatt,32,"$611,209"
85,86,86,J.L. Lewis,30,"$610,432"
86,87,87,Harrison Frazar,24,"$608,535"
87,88,88,Matt Gogel,30,"$604,199"
88,89,89,John Cook,29,"$597,105"
89,90,90,Greg Kraft,29,"$597,021"
90,91,91,José María Olazábal,13,"$592,221"
91,92,92,Jay Don Blake,29,"$590,109"
92,93,93,Russ Cochran,25,"$583,605"
93,94,94,Olin Browne,32,"$574,307"
94,95,95,Brent Geiberger,24,"$564,918"
95,96,96,Bill Glasson,27,"$552,795"
96,97,97,Steve Jones,21,"$548,070"
97,98,98,Bob Estes,21,"$538,706"
98,99,99,Mark Brooks,29,"$528,959"
99,100,100,Brian Henninger,29,"$527,741"
100,101,101,Padraig Harrington,9,"$520,563"
101,102,102,Joe Ogilvie,30,"$519,740"
102,103,103,Tom Byrum,27,"$514,193"
103,104,104,Phillip Price,5,"$513,250"
104,105,105,Glen Hnatiuk,31,"$511,494"
105,106,106,Mark Wiebe,28,"$511,414"
106,107,107,Craig Parry,22,"$507,308"
107,108,108,Paul Lawrie,10,"$507,235"
108,109,109,David Sutherland,32,"$498,749"
109,110,110,Brandel Chamblee,21,"$493,906"
110,111,111,Woody Austin,32,"$485,589"
111,112,112,Brian Gay,33,"$482,028"
112,113,113,Bradley Hughes,33,"$469,590"
113,114,114,Shaun Micheel,31,"$467,431"
114,115,115,Neal Lancaster,31,"$466,712"
115,116,116,Billy Mayfair,29,"$466,345"
116,117,117,Pete Jordan,31,"$464,480"
117,118,118,Doug Barron,27,"$461,981"
118,119,119,Jay Williamson,32,"$460,024"
119,120,120,David Peoples,28,"$459,812"
120,121,121,Gary Nicklaus,31,"$453,982"
121,122,122,Larry Mize,21,"$425,624"
122,123,123,Steve Stricker,21,"$418,780"
123,124,124,Bob Tway,30,"$417,646"
124,125,125,Robin Freeman,32,"$415,430"
125,126,126,Jimmy Green,27,"$414,509"
126,127,127,Mathew Goggin,32,"$414,123"
127,128,128,Ángel Cabrera,7,"$409,506"
128,129,129,Jerry Smith,32,"$406,591"
129,130,130,Brandt Jobe,32,"$402,017"
130,131,131,Paul Goydos,30,"$398,393"
131,132,132,Tommy Armour III,30,"$397,610"
132,133,133,Joe Ozaki,18,"$393,316"
133,134,134,Doug Dunakey,27,"$393,059"
134,135,135,Bob Burns,29,"$391,075"
