,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Brandt Jobe,77,-.089
1,2,2,Kent Jones,74,-.051
2,3,3,Phil Mickelson,87,-.040
3,4,4,Vijay Singh,106,-.020
4,5,5,Tom Gillis,71,E
5,T6,T6,Woody Austin,107,+.007
6,T6,T6,Hank Kuehne,73,+.007
7,8,8,Briny Baird,113,+.008
8,9,9,Aaron Baddeley,71,+.010
9,10,10,Loren Roberts,87,+.017
10,T11,T11,Pat Bates,111,+.018
11,T11,T11,Brad Elder,51,+.018
12,T13,T13,Darren Clarke,61,+.022
13,T13,T13,Justin Leonard,80,+.022
14,15,15,John Senden,111,+.024
15,16,16,Fred Couples,71,+.032
16,17,17,Dean Wilson,82,+.035
17,T18,T18,Charles Howell III,120,+.039
18,T18,T18,Corey Pavin,88,+.039
19,20,20,Brian Henninger,56,+.040
20,21,21,Andrew Magee,91,+.044
21,22,22,Sergio Garcia,62,+.045
22,23,23,Nick Price,65,+.048
23,24,24,Carlos Franco,99,+.051
24,25,25,Harrison Frazar,88,+.054
25,26,26,John Riegger,55,+.055
26,27,27,Stewart Cink,104,+.060
27,28,28,Dan Forsman,98,+.061
28,T29,T29,Steve Stricker,59,+.064
29,T29,T29,David Sutherland,77,+.064
30,T29,T29,Tiger Woods,74,+.064
31,32,32,Scott McCarron,86,+.065
32,33,33,Kevin Sutherland,97,+.066
33,34,34,Paul Gow,62,+.069
34,T35,T35,Mark Calcavecchia,84,+.070
35,T35,T35,Geoff Ogilvy,86,+.070
36,37,37,Duffy Waldorf,90,+.072
37,38,38,Ernie Els,65,+.073
38,39,39,Steve Allan,53,+.077
39,T40,T40,Mathew Goggin,90,+.080
40,T40,T40,Ty Tryon,52,+.080
41,42,42,Neal Lancaster,110,+.081
42,43,43,Andy Miller,75,+.084
43,44,44,Tim Petrovic,108,+.085
44,45,45,Bob Tway,89,+.086
45,T46,T46,Jason Caron,74,+.087
46,T46,T46,Tom Pernice Jr.,105,+.087
47,48,48,Retief Goosen,69,+.088
48,49,49,Tommy Armour III,66,+.090
49,50,50,Chad Campbell,105,+.093
50,51,51,Patrick Sheehan,101,+.101
51,T52,T52,Brian Bateman,70,+.102
52,T52,T52,David Toms,90,+.102
53,T52,T52,Mark Wilson,82,+.102
54,55,55,Scott Laycock,71,+.103
55,56,56,Matt Gogel,77,+.104
56,57,57,Robert Allenby,87,+.105
57,58,58,Carl Pettersson,80,+.106
58,59,59,Kenny Perry,98,+.108
59,T60,T60,Chris Riley,96,+.112
60,T60,T60,Kirk Triplett,92,+.112
61,62,62,Bob Estes,92,+.113
62,63,63,Brian Gay,100,+.115
63,T64,T64,Stuart Appleby,90,+.116
64,T64,T64,John Daly,56,+.116
65,66,66,Shigeki Maruyama,87,+.117
66,T67,T67,Skip Kendall,110,+.120
67,T67,T67,Cameron Yancey,58,+.120
68,T69,T69,Steve Lowery,86,+.121
69,T69,T69,Arron Oberholser,80,+.121
70,71,71,Mike Weir,80,+.122
71,72,72,Steve Flesch,110,+.124
72,73,73,Jesper Parnevik,102,+.126
73,74,74,Len Mattiace,94,+.127
74,T75,T75,David Frost,80,+.129
75,T75,T75,Brent Geiberger,51,+.129
76,T75,T75,David Gossett,92,+.129
77,T75,T75,Mark O'Meara,69,+.129
78,T75,T75,David Peoples,96,+.129
79,T80,T80,Mark Brooks,90,+.132
80,T80,T80,Thomas Levet,85,+.132
81,82,82,Jim Furyk,104,+.133
82,83,83,Brenden Pappas,105,+.134
83,T84,T84,Alex Cejka,98,+.135
84,T84,T84,John Huston,76,+.135
85,T86,T86,Donnie Hammond,92,+.139
86,T86,T86,Spike McRoy,103,+.139
87,T88,T88,Cliff Kresge,102,+.141
88,T88,T88,Deane Pappas,75,+.141
89,90,90,Tom Lehman,87,+.143
90,T91,T91,Stephen Ames,91,+.147
91,T91,T91,Chris Anderson,96,+.147
92,93,93,Paul Azinger,73,+.148
93,T94,T94,Marco Dawson,86,+.150
94,T94,T94,Per-Ulrik Johansson,96,+.150
