,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Briny Baird,113,70.43,686,974,-0.19
1,2,2,Joe Durant,96,68.99,534,774,-0.16
2,3,3,Hal Sutton,81,68.86,491,713,-0.21
3,4,4,Chad Campbell,105,68.49,563,822,-0.23
4,5,5,Retief Goosen,69,68.19,283,415,-0.21
5,6,6,John Huston,76,68.14,432,634,-0.22
6,7,7,Robert Allenby,87,68.01,406,597,-0.25
7,8,8,Andrew Magee,91,67.16,503,749,-0.19
8,9,9,Jim Furyk,104,66.45,513,772,-0.24
9,10,10,David Sutherland,77,66.34,408,615,-0.16
10,11,11,J.J. Henry,100,66.18,585,884,-0.16
11,12,12,David Peoples,96,66.16,563,851,-0.16
12,13,13,Davis Love III,85,66.02,373,565,-0.22
13,14,14,John Senden,111,65.95,614,931,-0.15
14,15,15,Marco Dawson,86,65.85,430,653,-0.17
15,16,16,Mike Heinen,89,65.81,489,743,-0.19
16,17,17,Chris Smith,92,65.7,477,726,-0.17
17,18,18,Hidemichi Tanaka,112,65.64,659,1004,-0.2
18,T19,T19,Woody Austin,107,65.43,530,810,-0.22
19,T19,T19,Tom Gillis,71,65.43,388,593,-0.17
20,21,21,Kenny Perry,98,65.39,444,679,-0.19
21,22,22,Peter Jacobsen,75,65.33,422,646,-0.21
22,23,23,Dan Forsman,98,65.32,550,842,-0.15
23,24,24,Spike McRoy,103,65.3,591,905,-0.17
24,25,25,Stephen Ames,91,65.28,519,795,-0.24
25,T26,T26,Justin Leonard,80,65.25,415,636,-0.25
26,T26,T26,Paul Stankowski,67,65.25,353,541,-0.22
27,28,28,Charles Howell III,120,65.14,553,849,-0.18
28,29,29,Tiger Woods,74,65.08,315,484,-0.22
29,T30,T30,Jeff Brehaut,110,64.89,584,900,-0.15
30,T30,T30,Billy Mayfair,105,64.89,549,846,-0.16
31,T32,T32,Glen Day,103,64.84,590,910,-0.24
32,T32,T32,Kirk Triplett,92,64.84,472,728,-0.22
33,34,34,Bob Tway,89,64.81,501,773,-0.24
34,T35,T35,David Gossett,92,64.79,530,818,-0.15
35,T35,T35,Tom Lehman,87,64.79,392,605,-0.17
36,37,37,Jerry Kelly,108,64.58,505,782,-0.21
37,38,38,Vijay Singh,106,64.47,441,684,-0.24
38,39,39,Rod Pampling,87,64.42,402,624,-0.21
39,40,40,Pat Bates,111,64.4,644,1000,-0.19
40,41,41,Shaun Micheel,97,64.33,541,841,-0.18
41,42,42,Luke Donald,88,64.32,512,796,-0.19
42,43,43,Ernie Els,65,64.23,255,397,-0.19
43,44,44,Mike Grob,83,64.13,463,722,-0.19
44,45,45,Kent Jones,74,64.06,401,626,-0.22
45,46,46,Joey Sindelar,93,63.93,521,815,-0.19
46,47,47,Heath Slocum,101,63.9,609,953,-0.2
47,48,48,Brandt Jobe,77,63.88,421,659,-0.18
48,49,49,Jeff Sluman,106,63.8,527,826,-0.19
49,T50,T50,Glen Hnatiuk,92,63.5,541,852,-0.18
50,T50,T50,Kevin Sutherland,97,63.5,428,674,-0.15
51,52,52,Skip Kendall,110,63.4,575,907,-0.22
52,53,53,Mike Weir,80,63.35,337,532,-0.22
53,54,54,Cameron Beckman,86,63.3,476,752,-0.22
54,55,55,Duffy Waldorf,90,63.2,443,701,-0.22
55,56,56,Shigeki Maruyama,87,63.17,427,676,-0.19
56,57,57,Harrison Frazar,88,63.14,447,708,-0.16
57,58,58,Tim Petrovic,108,63.01,540,857,-0.22
58,59,59,Olin Browne,113,63.0,613,973,-0.21
59,60,60,Steve Flesch,110,62.88,598,951,-0.2
60,61,61,Neal Lancaster,110,62.82,561,893,-0.15
61,T62,T62,Jonathan Kaye,91,62.74,431,687,-0.17
62,T62,T62,Jay Williamson,93,62.74,532,848,-0.17
63,64,64,Ian Leggatt,71,62.73,340,542,-0.11
64,65,65,Tommy Armour III,66,62.71,338,539,-0.2
65,66,66,David Toms,90,62.62,382,610,-0.21
66,67,67,Jay Haas,89,62.61,447,714,-0.2
67,68,68,John Riegger,55,62.5,265,424,-0.21
68,69,69,Aaron Barber,94,62.46,529,847,-0.23
69,70,70,Carlos Franco,99,62.45,504,807,-0.17
70,71,71,Brian Henninger,56,62.43,314,503,-0.2
71,72,72,Fred Funk,112,62.31,562,902,-0.2
72,73,73,Brian Bateman,70,62.26,353,567,-0.19
73,74,74,Frank Lickliter II,94,62.2,464,746,-0.19
74,75,75,Thomas Levet,85,62.17,452,727,-0.15
75,76,76,Bob Estes,92,62.14,458,737,-0.21
76,77,77,Brenden Pappas,105,62.13,507,816,-0.2
77,T78,T78,Craig Barlow,95,62.11,495,797,-0.19
78,T78,T78,Matt Kuchar,63,62.11,341,549,-0.17
79,80,80,Carl Paulson,101,62.07,553,891,-0.19
80,81,81,Geoff Ogilvy,86,62.03,410,661,-0.23
81,T82,T82,Paul Azinger,73,61.96,386,623,-0.18
82,T82,T82,Sergio Garcia,62,61.96,215,347,-0.19
83,84,84,Rocco Mediate,80,61.88,375,606,-0.24
84,85,85,Darren Clarke,61,61.84,235,380,-0.19
85,86,86,Billy Andrade,100,61.79,519,840,-0.21
86,87,87,Lee Janzen,83,61.78,367,594,-0.19
87,88,88,Ben Curtis,69,61.75,373,604,-0.14
88,T89,T89,Michael Clark II,54,61.6,316,513,-0.19
89,T89,T89,Steve Lowery,86,61.6,385,625,-0.21
90,91,91,Scott Verplank,97,61.57,487,791,-0.22
91,T92,T92,Alex Cejka,98,61.56,426,692,-0.21
92,T92,T92,Robert Gamez,114,61.56,570,926,-0.23
93,94,94,Tim Herron,102,61.54,528,858,-0.23
94,95,95,Jay Don Blake,77,61.51,358,582,-0.18
95,96,96,K.J. Choi,112,61.48,490,797,-0.15
96,97,97,Patrick Sheehan,101,61.43,548,892,-0.22
97,98,98,Jeff Maggert,81,61.34,395,644,-0.18
98,99,99,Akio Sadakata,83,61.29,391,638,-0.2
99,100,100,Paul Gow,62,61.24,316,516,-0.18
100,101,101,David Frost,80,61.23,469,766,-0.22
101,T102,T102,Bernhard Langer,65,61.14,310,507,-0.22
102,T102,T102,Dicky Pride,73,61.14,365,597,-0.22
103,104,104,Per-Ulrik Johansson,96,61.1,498,815,-0.18
104,T105,T105,Tim Clark,79,61.07,389,637,-0.19
105,T105,T105,Brett Quigley,92,61.07,447,732,-0.18
