,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,John Huston,76,-.306
1,2,2,Jim Furyk,104,-.282
2,3,3,Vijay Singh,106,-.225
3,4,4,Jerry Kelly,108,-.215
4,5,5,Glen Day,103,-.214
5,6,6,J.P. Hayes,79,-.213
6,T7,T7,Chris DiMarco,98,-.212
7,T7,T7,J.L. Lewis,99,-.212
8,T9,T9,Kenny Perry,98,-.206
9,T9,T9,Jeff Sluman,106,-.206
10,11,11,Rod Pampling,87,-.205
11,12,12,Woody Austin,107,-.203
12,13,13,Stewart Cink,104,-.202
13,14,14,Jonathan Byrd,101,-.201
14,15,15,Steve Flesch,110,-.199
15,16,16,John Rollins,89,-.198
16,17,17,Hank Kuehne,73,-.196
17,18,18,Fred Couples,71,-.192
18,T19,T19,David Frost,80,-.191
19,T19,T19,Shigeki Maruyama,87,-.191
20,T19,T19,David Sutherland,77,-.191
21,T22,T22,Olin Browne,113,-.190
22,T22,T22,Paul Goydos,86,-.190
23,T22,T22,Tiger Woods,74,-.190
24,25,25,Billy Mayfair,105,-.189
25,T26,T26,Ben Crane,94,-.188
26,T26,T26,Todd Fischer,97,-.188
27,T26,T26,Mike Weir,80,-.188
28,T29,T29,Doug Barron,90,-.187
29,T29,T29,Frank Lickliter II,94,-.187
30,31,31,Luke Donald,88,-.186
31,32,32,Robert Gamez,114,-.185
32,33,33,Steve Lowery,86,-.183
33,34,34,Shaun Micheel,97,-.180
34,35,35,Davis Love III,85,-.179
35,36,36,Aaron Barber,94,-.178
36,T37,T37,Fred Funk,112,-.176
37,T37,T37,Retief Goosen,69,-.176
38,39,39,Brent Geiberger,51,-.173
39,40,40,Chris Riley,96,-.172
40,41,41,Donnie Hammond,92,-.171
41,42,42,Paul Gow,62,-.169
42,43,43,Chris Anderson,96,-.164
43,44,44,Loren Roberts,87,-.163
44,T45,T45,Mike Grob,83,-.161
45,T45,T45,Jeff Maggert,81,-.161
46,47,47,Jay Haas,89,-.160
47,T48,T48,Dan Forsman,98,-.159
48,T48,T48,Scott Verplank,97,-.159
49,T50,T50,Charles Howell III,120,-.158
