,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Mark Brooks,90,"11' 5""",11.417,1,-1
1,2,2,John Maginnes,87,"21' 6""",21.5,1,E
2,3,3,Matt Gogel,77,"28' 9""",57.417,2,-1
3,4,4,Doug Barron,90,"30' 4""",30.333000000000002,1,E
4,5,5,Tommy Armour III,66,"30' 11""",92.75,3,E
5,6,6,Hank Kuehne,73,"34' 1""",34.083,1,E
6,7,7,Hal Sutton,81,"37' 1""",37.083,1,E
7,8,8,Brian Bateman,70,"40' 8""",40.667,1,-1
8,9,9,"Dave Stockton, Jr.",79,"41' 9""",41.75,1,E
9,10,10,Brandt Jobe,77,"43' 4""",86.667,2,-1
10,11,11,Jason Caron,74,"49' 3""",98.5,2,-1
11,12,12,K.J. Choi,112,"49' 9""",49.75,1,-1
12,13,13,Per-Ulrik Johansson,96,"51' 1""",102.167,2,E
13,14,14,John Morgan,81,"53' 0""",212.0,4,-4
14,15,15,Adam Scott,52,"54' 1""",54.083,1,E
15,16,16,John Daly,56,"54' 9""",54.75,1,E
16,17,17,Bob Burns,88,"55' 1""",55.083,1,+1
17,18,18,Aaron Barber,94,"56' 4""",281.75,5,E
18,19,19,Charles Howell III,120,"60' 4""",120.667,2,-2
19,20,20,Pat Perez,95,"61' 9""",123.417,2,E
20,21,21,Tim Herron,102,"62' 1""",62.083,1,-1
21,22,22,Jonathan Kaye,91,"63' 9""",127.5,2,-1
22,23,23,Davis Love III,85,"64' 8""",129.333,2,-1
23,24,24,Spike McRoy,103,"65' 3""",65.25,1,E
24,25,25,Tom Lehman,87,"65' 7""",131.167,2,-1
25,26,26,Ernie Els,65,"66' 6""",66.5,1,E
26,27,27,J.J. Henry,100,"67' 5""",67.417,1,-1
27,28,28,Retief Goosen,69,"67' 6""",135.0,2,-1
28,29,29,Thomas Levet,85,"67' 11""",135.75,2,-1
29,30,30,Brian Gay,100,"70' 7""",70.583,1,E
30,31,31,Carl Pettersson,80,"71' 1""",213.167,3,-2
31,T32,T32,Paul Azinger,73,"71' 3""",285.08299999999997,4,-1
32,T32,T32,Mark Calcavecchia,84,"71' 3""",498.667,7,-4
33,34,34,Bob Tway,89,"71' 4""",213.917,3,-2
