,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Chad Campbell,105,"38' 6""",99741,216,8311.75,13.0
1,2,2,Woody Austin,107,"38' 7""",138493,299,11541.083,16.0
2,3,3,Todd Barranger,78,"39' 3""",118730,252,9894.167,54.0
3,4,4,Kirk Triplett,92,"39' 4""",86344,183,7195.3330000000005,5.0
4,5,5,John Rollins,89,"39' 6""",70636,149,5886.3330000000005,27.0
5,6,6,Kent Jones,74,"39' 9""",77807,163,6483.9169999999995,3.0
6,7,7,Joey Sindelar,93,"40' 4""",100571,208,8380.917,29.0
7,8,8,Stewart Cink,104,"40' 5""",131496,271,10958.0,28.0
8,9,9,Duffy Waldorf,90,"40' 8""",95741,196,7978.4169999999995,9.0
9,10,10,Mark Calcavecchia,84,"40' 9""",96411,197,8034.25,17.0
10,11,11,Deane Pappas,75,"40' 11""",115827,236,9652.25,11.0
11,12,12,Tommy Armour III,66,"41' 0""",75743,154,6311.9169999999995,16.0
12,13,13,Brandt Jobe,77,"41' 1""",98163,199,8180.25,4.0
13,T14,T14,Brian Bateman,70,"41' 2""",84967,172,7080.5830000000005,20.0
14,T14,T14,Thomas Levet,85,"41' 2""",109078,221,9089.833,29.0
15,T16,T16,Bob Burns,88,"41' 3""",92990,188,7749.1669999999995,48.0
16,T16,T16,John Huston,76,"41' 3""",94137,190,7844.75,24.0
17,T18,T18,Cameron Beckman,86,"41' 4""",106078,214,8839.833,21.0
18,T18,T18,Frank Lickliter II,94,"41' 4""",112698,227,9391.5,48.0
19,20,20,Neal Lancaster,110,"41' 5""",172033,346,14336.083,29.0
20,21,21,Brenden Pappas,105,"41' 7""",157243,315,13103.583,29.0
21,22,22,Joe Durant,96,"41' 8""",91083,182,7590.25,31.0
22,23,23,Brian Gay,100,"41' 11""",119104,237,9925.333,31.0
23,T24,T24,Glen Day,103,"42' 0""",126495,251,10541.25,32.0
24,T24,T24,Ian Leggatt,71,"42' 0""",96187,191,8015.5830000000005,33.0
25,26,26,John Morgan,81,"42' 1""",131320,260,10943.333,44.0
26,T27,T27,Tim Clark,79,"42' 2""",66747,132,5562.25,26.0
27,T27,T27,Skip Kendall,110,"42' 2""",108282,214,9023.5,18.0
28,T27,T27,John Riegger,55,"42' 2""",56627,112,4718.917,6.0
29,30,30,Mike Heinen,89,"42' 3""",109085,215,9090.417,24.0
30,T31,T31,Paul Gow,62,"42' 4""",99594,196,8299.5,12.0
31,T31,T31,Steve Lowery,86,"42' 4""",101169,199,8430.75,30.0
32,T31,T31,Andrew Magee,91,"42' 4""",136055,268,11337.917,12.0
33,T31,T31,John Maginnes,87,"42' 4""",92372,182,7697.6669999999995,23.0
34,T31,T31,Geoff Ogilvy,86,"42' 4""",123562,243,10296.833,20.0
35,36,36,Jeff Brehaut,110,"42' 5""",143166,281,11930.5,36.0
36,T37,T37,Alex Cejka,98,"42' 6""",103975,204,8664.583,21.0
37,T37,T37,Hank Kuehne,73,"42' 6""",137310,269,11442.5,5.0
38,T37,T37,Craig Perks,82,"42' 6""",113247,222,9437.25,37.0
39,T37,T37,Ty Tryon,52,"42' 6""",78488,154,6540.6669999999995,14.0
40,T37,T37,Jay Williamson,93,"42' 6""",106027,208,8835.583,34.0
41,42,42,Luke Donald,88,"42' 7""",91011,178,7584.25,48.0
42,43,43,Vijay Singh,106,"42' 8""",133650,261,11137.5,-11.0
43,44,44,Hal Sutton,81,"42' 9""",70254,137,5854.5,23.0
44,T45,T45,David Toms,90,"42' 10""",96591,188,8049.25,18.0
45,T45,T45,Vance Veazey,66,"42' 10""",102887,200,8573.917,35.0
46,T47,T47,Tom Gillis,71,"42' 11""",79768,155,6647.3330000000005,19.0
47,T47,T47,Pat Perez,95,"42' 11""",123017,239,10251.417,50.0
48,49,49,John Daly,56,"43' 0""",97518,189,8126.5,35.0
49,T50,T50,Pat Bates,111,"43' 2""",122264,236,10188.667,15.0
50,T50,T50,Retief Goosen,69,"43' 2""",77226,149,6435.5,8.0
51,T50,T50,Phil Mickelson,87,"43' 2""",126903,245,10575.25,20.0
52,T50,T50,Hidemichi Tanaka,112,"43' 2""",120722,233,10060.167,43.0
53,T54,T54,Jason Buha,61,"43' 4""",87366,168,7280.5,21.0
54,T54,T54,J.P. Hayes,79,"43' 4""",84785,163,7065.4169999999995,37.0
55,T56,T56,Marco Dawson,86,"43' 5""",112020,215,9335.0,27.0
56,T56,T56,Tim Petrovic,108,"43' 5""",128121,246,10676.75,28.0
57,T58,T58,Briny Baird,113,"43' 6""",134169,257,11180.75,10.0
58,T58,T58,Rich Beem,80,"43' 6""",97526,187,8127.1669999999995,31.0
59,T58,T58,Rod Pampling,87,"43' 6""",98691,189,8224.25,29.0
60,T58,T58,Garrett Willis,97,"43' 6""",118531,227,9877.583,60.0
61,T62,T62,Stuart Appleby,90,"43' 7""",108879,208,9073.25,17.0
62,T62,T62,Kenichi Kuboya,91,"43' 7""",123871,237,10322.583,42.0
63,T64,T64,Steve Flesch,110,"43' 8""",150273,287,12522.75,41.0
64,T64,T64,Carlos Franco,99,"43' 8""",166747,318,13895.583,19.0
65,T64,T64,Robert Gamez,114,"43' 8""",157087,300,13090.583,55.0
66,T64,T64,Spike McRoy,103,"43' 8""",127270,243,10605.833,49.0
67,T68,T68,Jason Caron,74,"43' 9""",116053,221,9671.083,38.0
68,T68,T68,David Gossett,92,"43' 9""",118617,226,9884.75,29.0
69,T68,T68,Donnie Hammond,92,"43' 9""",116092,221,9674.333,45.0
70,T68,T68,Jonathan Kaye,91,"43' 9""",120286,229,10023.833,51.0
71,72,72,Mark O'Meara,69,"43' 11""",63290,120,5274.1669999999995,28.0
72,T73,T73,Paul Azinger,73,"44' 0""",110776,210,9231.333,45.0
73,T73,T73,Jonathan Byrd,101,"44' 0""",124589,236,10382.417,44.0
74,T75,T75,Tom Byrum,97,"44' 1""",99902,189,8325.167,36.0
75,T75,T75,Chris DiMarco,98,"44' 1""",111164,210,9263.667,16.0
76,T75,T75,Chris Riley,96,"44' 1""",109587,207,9132.25,22.0
77,T78,T78,Stephen Ames,91,"44' 3""",118312,223,9859.333,21.0
78,T78,T78,Tom Pernice Jr.,105,"44' 3""",144546,272,12045.5,23.0
79,T80,T80,José Coceres,62,"44' 4""",74502,140,6208.5,26.0
80,T80,T80,Dicky Pride,73,"44' 4""",97931,184,8160.9169999999995,21.0
81,T80,T80,Rory Sabbatini,95,"44' 4""",121841,229,10153.417,33.0
82,T80,T80,Scott Verplank,97,"44' 4""",101104,190,8425.333,33.0
83,T84,T84,Jason Gore,83,"44' 5""",138062,259,11505.167,40.0
84,T84,T84,Peter Lonard,96,"44' 5""",117697,221,9808.083,33.0
85,T84,T84,Gene Sauers,87,"44' 5""",100174,188,8347.833,47.0
86,T84,T84,Mike Weir,80,"44' 5""",84741,159,7061.75,7.0
87,T88,T88,Robert Damron,96,"44' 6""",94989,178,7915.75,42.0
88,T88,T88,Per-Ulrik Johansson,96,"44' 6""",130287,244,10857.25,53.0
89,T88,T88,Carl Paulson,101,"44' 6""",131471,246,10955.917,47.0
90,T88,T88,Chris Smith,92,"44' 6""",111161,208,9263.417,42.0
91,T88,T88,Dean Wilson,82,"44' 6""",116859,219,9738.25,27.0
92,T93,T93,Doug Barron,90,"44' 7""",125779,235,10481.583,55.0
93,T93,T93,Charles Howell III,120,"44' 7""",166922,312,13910.167,15.0
94,T93,T93,Carl Pettersson,80,"44' 7""",113877,213,9489.75,38.0
95,T93,T93,Nick Price,65,"44' 7""",74845,140,6237.0830000000005,26.0
96,T93,T93,Paul Stankowski,67,"44' 7""",93092,174,7757.6669999999995,29.0
97,T98,T98,Aaron Barber,94,"44' 8""",121780,227,10148.333,40.0
98,T98,T98,Mark Brooks,90,"44' 8""",114794,214,9566.167,39.0
99,T100,T100,Dudley Hart,66,"44' 9""",80527,150,6710.5830000000005,18.0
100,T100,T100,Kenny Perry,98,"44' 9""",93488,174,7790.6669999999995,26.0
101,T100,T100,Brett Quigley,92,"44' 9""",149716,279,12476.333,51.0
102,T103,T103,Aaron Baddeley,71,"44' 10""",118795,221,9899.583,23.0
103,T103,T103,Craig Barlow,95,"44' 10""",119411,222,9950.917,45.0
104,T105,T105,Jay Don Blake,77,"44' 11""",91009,169,7584.0830000000005,48.0
105,T105,T105,Michael Clark II,54,"44' 11""",79238,147,6603.1669999999995,28.0
106,T105,T105,Harrison Frazar,88,"44' 11""",114747,213,9562.25,14.0
107,T105,T105,Sergio Garcia,62,"44' 11""",67851,126,5654.25,16.0
108,T105,T105,Jeff Sluman,106,"44' 11""",123350,229,10279.167,41.0
109,110,110,Corey Pavin,88,"45' 0""",103051,191,8587.583,20.0
110,T111,T111,Brad Elder,51,"45' 1""",63296,117,5274.6669999999995,19.0
111,T111,T111,Justin Leonard,80,"45' 1""",88204,163,7350.3330000000005,9.0
112,T113,T113,Gavin Coles,69,"45' 2""",70459,130,5871.5830000000005,35.0
113,T113,T113,Jim Furyk,104,"45' 2""",85025,157,7085.4169999999995,32.0
114,T113,T113,David Peoples,96,"45' 2""",107803,199,8983.583,27.0
115,116,116,Darron Stiles,93,"45' 3""",108056,199,9004.667,31.0
116,T117,T117,Glen Hnatiuk,92,"45' 4""",91912,169,7659.3330000000005,35.0
117,T117,T117,Scott McCarron,86,"45' 4""",110490,203,9207.5,13.0
118,T117,T117,Shaun Micheel,97,"45' 4""",134917,248,11243.083,46.0
119,T117,T117,Esteban Toledo,109,"45' 4""",141469,260,11789.083,39.0
120,121,121,Dan Forsman,98,"45' 5""",139033,255,11586.083,16.0
121,122,122,Ben Crane,94,"45' 6""",138623,254,11551.917,44.0
122,123,123,Fred Couples,71,"45' 7""",80956,148,6746.3330000000005,13.0
123,T124,T124,Steven Alker,87,"45' 8""",109520,200,9126.667,24.0
124,T124,T124,Mike Grob,83,"45' 8""",92616,169,7718.0,60.0
125,T126,T126,Paul Goydos,86,"45' 9""",103273,188,8606.083,40.0
126,T126,T126,Bernhard Langer,65,"45' 9""",71951,131,5995.9169999999995,26.0
127,T128,T128,Chris Anderson,96,"45' 10""",122733,223,10227.75,34.0
128,T128,T128,Greg Chalmers,98,"45' 10""",165148,300,13762.333,44.0
129,T128,T128,Arron Oberholser,80,"45' 10""",113891,207,9490.917,24.0
130,T128,T128,Mike Sposa,72,"45' 10""",116503,212,9708.583,19.0
