,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Stewart Cink,104,245,Chrysler Championship,4,8
1,2,2,"Dave Stockton, Jr.",79,239,100th Western Open presented by Golf Digest,1,5
2,3,3,Jay Don Blake,77,225,Bell Canadian Open,4,13
3,4,4,Fred Funk,112,219,Bell Canadian Open,4,6
4,5,5,James McLean,49,214,The Honda Classic,1,17
5,6,6,Garrett Willis,97,208,Deutsche Bank Championship,2,11
6,7,7,Chip Beck,4,206,Greater Milwaukee Open,2,7
7,8,8,Dan Forsman,98,204,Las Vegas Invitational,5,5
8,9,9,Marco Dawson,86,202,Shell Houston Open,3,3
9,10,10,Paul Goydos,86,199,Wachovia Championship,1,18
10,11,11,Duffy Waldorf,90,198,FUNAI Classic at the WALT DISNEY WORLD Resort,3,6
11,12,12,Hal Sutton,81,192,Bank of America Colonial,3,16
12,13,13,Gene Sauers,87,190,EDS Byron Nelson Championship,4,18
13,14,14,Tom Byrum,97,189,Chrysler Classic of Greensboro,1,14
14,15,15,Niclas Fasth,46,187,Bay Hill Invitational presented by Cooper Tires,4,8
15,16,16,Willie Wood,34,186,FedEx St. Jude Classic,4,4
16,17,17,J.J. Henry,100,183,Greater Hartford Open,2,10
17,T18,18,Brad Faxon,97,182,EDS Byron Nelson Championship,1,5
18,T18,19,Tim Petrovic,108,182,EDS Byron Nelson Championship,2,5
19,T18,20,Joel Kribel,39,182,FedEx St. Jude Classic,2,11
20,21,21,Tim Herron,102,181,Phoenix Open,2,4
21,22,22,John Maginnes,87,180,Valero Texas Open,3,17
22,23,23,Shigeki Maruyama,87,177,Bank of America Colonial,1,8
23,24,24,David Peoples,96,175,FedEx St. Jude Classic,2,8
24,25,25,Bob Burns,88,174,Phoenix Open,1,4
25,26,26,David Lundstrom,2,173,Shell Houston Open,1,18
26,27,27,Len Mattiace,94,170,Nissan Open,2,12
27,28,28,Mike Standly,27,167,84 Lumber Classic of Pennsylvania,2,17
28,T29,29,Tommy Armour III,66,164,Bell Canadian Open,4,9
29,T29,30,Rory Sabbatini,95,164,Phoenix Open,3,11
30,T29,31,Dean Wilson,82,164,EDS Byron Nelson Championship,3,6
31,T32,32,Mike Weir,80,163,the Memorial Tournament,3,1
32,T32,33,Steve Pate,42,163,Greater Hartford Open,3,14
33,34,34,Steve Elkington,40,162,Phoenix Open,3,18
34,35,35,Matt Gogel,77,161,Nissan Open,2,16
35,36,36,Darron Stiles,93,160,100th Western Open presented by Golf Digest,4,16
