,GIR_Percentage_-__125_yards_RANK THIS WEEK,GIR_Percentage_-__125_yards_RANK LAST WEEK,GIR_Percentage_-__125_yards_PLAYER NAME,GIR_Percentage_-__125_yards_ROUNDS,GIR_Percentage_-__125_yards_%,GIR_Percentage_-__125_yards_GREENS HIT,GIR_Percentage_-__125_yards_TOTAL HOLES,GIR_Percentage_-__125_yards_RELATIVE TO PAR
0,1,1,Tim Clark,79,87.09,263,302,-0.41
1,2,2,Tiger Woods,74,86.46,249,288,-0.61
2,3,3,Charles Howell III,120,86.36,418,484,-0.47
3,4,4,John Huston,76,86.1,322,374,-0.5
4,5,5,Kirk Triplett,92,86.08,334,388,-0.45
5,6,6,Mark Wilson,82,85.5,283,331,-0.37
6,7,7,Olin Browne,113,85.13,372,437,-0.43
7,8,8,Jim Furyk,104,84.91,315,371,-0.55
8,9,9,Thomas Levet,85,84.88,320,377,-0.45
9,10,10,Robert Allenby,87,84.83,274,323,-0.5
10,11,11,Dan Forsman,98,84.82,352,415,-0.4
11,12,12,Mark O'Meara,69,84.62,165,195,-0.36
12,13,13,Tom Lehman,87,84.47,261,309,-0.47
13,14,14,K.J. Choi,112,84.46,386,457,-0.5
14,15,15,David Toms,90,84.15,276,328,-0.48
15,16,16,Kevin Sutherland,97,84.12,302,359,-0.46
16,17,17,Chad Campbell,105,84.06,348,414,-0.53
17,18,18,Hidemichi Tanaka,112,84.04,416,495,-0.43
18,19,19,Retief Goosen,69,83.97,220,262,-0.53
19,20,20,Esteban Toledo,109,83.91,386,460,-0.42
20,21,21,Joel Edwards,60,83.83,254,303,-0.41
21,22,22,Lee Janzen,83,83.81,233,278,-0.48
22,23,23,Jonathan Kaye,91,83.78,310,370,-0.41
23,24,24,Jeff Brehaut,110,83.76,459,548,-0.47
24,25,25,Jeff Sluman,106,83.7,380,454,-0.43
25,26,26,Shaun Micheel,97,83.66,379,453,-0.43
26,27,27,Carlos Franco,99,83.59,433,518,-0.49
27,28,28,Jay Haas,89,83.58,280,335,-0.48
28,29,29,J.P. Hayes,79,83.55,259,310,-0.48
29,T30,T30,Joe Durant,96,83.45,373,447,-0.4
30,T30,T30,Andrew Magee,91,83.45,373,447,-0.42
31,T30,T30,Kenny Perry,98,83.45,343,411,-0.45
32,T33,T33,Marco Dawson,86,83.38,311,373,-0.41
33,T33,T33,Scott McCarron,86,83.38,276,331,-0.47
34,35,35,Jerry Kelly,108,83.37,381,457,-0.49
35,T36,T36,Jeff Maggert,81,83.33,305,366,-0.45
36,T36,T36,Len Mattiace,94,83.33,260,312,-0.45
37,38,38,Rocco Mediate,80,83.28,264,317,-0.4
38,39,39,Scott Verplank,97,83.25,333,400,-0.47
39,40,40,Paul Stankowski,67,83.17,257,309,-0.48
40,41,41,Fred Couples,71,83.13,202,243,-0.52
41,42,42,Fred Funk,112,83.07,373,449,-0.42
42,43,43,Bob Estes,92,83.0,288,347,-0.5
43,44,44,Brian Bateman,70,82.93,272,328,-0.44
44,45,45,"Dave Stockton, Jr.",79,82.92,267,322,-0.4
