,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,T1,T1,John Huston,76,"26' 7""",621,16502.083,-138.0
1,T1,T1,Adam Scott,52,"26' 7""",316,8411.083,-65.0
2,3,3,Sergio Garcia,62,"26' 10""",297,7962.9169999999995,-25.0
3,4,4,Stewart Cink,104,"27' 0""",753,20351.917,-162.0
4,5,5,Tim Clark,79,"27' 5""",653,17887.25,-70.0
5,6,6,Ernie Els,65,"27' 6""",359,9873.5,-64.0
6,7,7,Bob Estes,92,"27' 10""",724,20129.583,-120.0
7,8,8,Chad Campbell,105,"28' 0""",811,22692.5,-149.0
8,T9,T9,Retief Goosen,69,"28' 1""",378,10613.5,-87.0
9,T9,T9,Scott Verplank,97,"28' 1""",795,22318.75,-138.0
10,T11,T11,Lee Janzen,83,"28' 3""",536,15156.167,-77.0
11,T11,T11,Steve Stricker,59,"28' 3""",415,11732.833,-23.0
12,13,13,Vijay Singh,106,"28' 4""",684,19390.0,-179.0
13,T14,T14,Fred Couples,71,"28' 5""",358,10183.0,-77.0
14,T14,T14,Davis Love III,85,"28' 5""",546,15537.5,-129.0
15,T14,T14,Tiger Woods,74,"28' 5""",467,13254.333,-117.0
16,17,17,Robert Allenby,87,"28' 6""",568,16174.333,-129.0
17,T18,T18,Marco Dawson,86,"28' 7""",606,17322.75,-80.0
18,T18,T18,Rod Pampling,87,"28' 7""",623,17801.917,-115.0
19,T20,T20,Mark Calcavecchia,84,"28' 9""",622,17899.25,-89.0
20,T20,T20,Jeff Sluman,106,"28' 9""",812,23362.917,-144.0
21,22,22,Jim Furyk,104,"28' 10""",809,23328.333,-175.0
22,T23,T23,Stephen Ames,91,"28' 11""",787,22786.417,-145.0
23,T23,T23,Brian Gay,100,"28' 11""",775,22397.417,-73.0
24,T23,T23,Nick Price,65,"28' 11""",467,13511.167,-80.0
25,T26,T26,Briny Baird,113,"29' 0""",953,27642.917,-137.0
