,GIR_Percentage_-_150-175_yards_RANK THIS WEEK,GIR_Percentage_-_150-175_yards_RANK LAST WEEK,GIR_Percentage_-_150-175_yards_PLAYER NAME,GIR_Percentage_-_150-175_yards_ROUNDS,GIR_Percentage_-_150-175_yards_%,GIR_Percentage_-_150-175_yards_GREENS HIT,GIR_Percentage_-_150-175_yards_TOTAL HOLES,GIR_Percentage_-_150-175_yards_RELATIVE TO PAR
0,1,1,Paul Stankowski,67,69.77,90,129,-0.20
1,2,2,Jay Haas,89,69.76,143,205,-0.21
2,3,3,John Senden,111,69.2,173,250,-0.13
3,4,4,Joey Sindelar,93,68.44,167,244,-0.19
4,5,5,Robert Allenby,87,68.33,123,180,-0.26
5,6,6,Hal Sutton,81,68.09,128,188,-0.11
6,7,7,Retief Goosen,69,67.89,74,109,-0.12
7,8,8,Pat Bates,111,67.49,191,283,-0.16
8,T9,T9,Spike McRoy,103,67.31,175,260,-0.10
9,T9,T9,David Sutherland,77,67.31,105,156,-0.05
10,T11,T11,Darren Clarke,61,67.24,78,116,-0.12
11,T11,T11,Hidemichi Tanaka,112,67.24,197,293,-0.16
12,13,13,Dan Forsman,98,67.21,164,244,-0.15
13,T14,T14,Duffy Waldorf,90,66.67,128,192,-0.18
14,T14,T14,Tiger Woods,74,66.67,102,153,-0.24
15,16,16,Brandt Jobe,77,66.19,139,210,-0.16
16,17,17,Joe Durant,96,66.09,152,230,-0.13
17,18,18,Luke Donald,88,65.81,154,234,-0.14
18,19,19,Jim Furyk,104,65.75,144,219,-0.19
19,20,20,David Peoples,96,65.65,151,230,-0.07
20,21,21,John Huston,76,65.56,118,180,-0.24
21,22,22,Justin Leonard,80,65.48,129,197,-0.23
22,23,23,Kevin Sutherland,97,65.0,130,200,-0.12
23,24,24,Jason Buha,61,64.96,89,137,-0.12
24,25,25,Richard Johnson,89,64.88,133,205,-0.23
25,T26,T26,Fred Couples,71,64.66,75,116,-0.13
26,T26,T26,Bob Estes,92,64.66,150,232,-0.18
27,28,28,Lee Janzen,83,64.61,115,178,-0.21
28,29,29,Marco Dawson,86,64.55,122,189,-0.12
29,30,30,Cameron Beckman,86,64.52,140,217,-0.14
30,31,31,Stephen Ames,91,64.31,173,269,-0.18
31,32,32,Chris Smith,92,64.21,122,190,-0.06
32,33,33,Tom Lehman,87,64.16,111,173,-0.19
33,34,34,Briny Baird,113,64.13,177,276,-0.13
34,35,35,Carl Pettersson,80,64.1,125,195,-0.23
35,36,36,Adam Scott,52,63.96,71,111,-0.18
36,37,37,Woody Austin,107,63.9,131,205,-0.12
37,38,38,Alex Cejka,98,63.82,127,199,-0.17
38,39,39,Chad Campbell,105,63.77,169,265,-0.18
39,40,40,Frank Lickliter II,94,63.64,133,209,-0.07
40,41,41,Jay Williamson,93,63.46,165,260,-0.11
41,42,42,Glen Day,103,63.45,158,249,-0.22
42,43,43,Steven Alker,87,63.37,128,202,-0.16
43,44,44,Ben Curtis,69,63.35,102,161,-0.13
44,45,45,Kent Jones,74,63.33,114,180,-0.19
45,46,46,Scott Laycock,71,63.31,107,169,-0.20
46,47,47,Jesper Parnevik,102,63.24,160,253,-0.14
47,48,48,Chris DiMarco,98,63.16,120,190,-0.23
48,49,49,Vijay Singh,106,62.89,122,194,-0.17
49,50,50,Billy Mayfair,105,62.85,159,253,-0.09
50,51,51,Jim Carter,95,62.78,167,266,-0.11
51,52,52,Jeff Maggert,81,62.75,128,204,-0.09
52,T53,T53,Arron Oberholser,80,62.73,138,220,-0.17
53,T53,T53,Kirk Triplett,92,62.73,138,220,-0.23
54,55,55,Jerry Kelly,108,62.61,139,222,-0.17
55,56,56,Rich Beem,80,62.6,82,131,-0.10
56,57,57,Dudley Hart,66,62.58,102,163,-0.14
57,58,58,Heath Slocum,101,62.45,148,237,-0.16
58,59,59,Mike Weir,80,62.33,91,146,-0.20
59,60,60,Mike Heinen,89,62.29,109,175,-0.19
60,61,61,Rocco Mediate,80,62.22,112,180,-0.21
61,T62,T62,Paul Gow,62,62.09,95,153,-0.07
62,T62,T62,Akio Sadakata,83,62.09,113,182,-0.23
63,64,64,David Toms,90,61.9,104,168,-0.09
64,65,65,Bob Tway,89,61.82,136,220,-0.15
65,66,66,Matt Kuchar,63,61.81,89,144,-0.12
66,67,67,Brent Schwarzrock,60,61.79,76,123,-0.20
67,68,68,Joel Edwards,60,61.76,105,170,-0.08
