,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Fred Couples,71,72.84,59,81,-60,-9.00
1,2,2,Tiger Woods,74,72.03,103,143,-115,-5.00
2,3,3,Phil Mickelson,87,69.6,87,125,-91,+15.00
3,4,4,Aaron Baddeley,71,68.33,82,120,-87,+1.00
4,5,5,Bob Estes,92,68.22,73,107,-77,-26.00
5,6,6,Nick Price,65,67.57,50,74,-53,E
6,7,7,Luke Donald,88,67.33,68,101,-71,-36.00
7,8,8,Vijay Singh,106,66.5,137,206,-146,-19.00
8,9,9,Stewart Cink,104,66.43,95,143,-100,-27.00
9,10,10,Steve Flesch,110,65.76,121,184,-128,-24.00
10,11,11,Kevin Sutherland,97,65.69,90,137,-96,-5.00
11,12,12,Darren Clarke,61,65.66,65,99,-71,-1.00
12,13,13,Brenden Pappas,105,65.55,137,209,-146,+5.00
13,14,14,Craig Barlow,95,65.03,119,183,-130,E
14,15,15,Carl Pettersson,80,64.75,79,122,-83,+1.00
15,16,16,Kirk Triplett,92,64.66,86,133,-89,-20.00
16,17,17,Loren Roberts,87,64.58,31,48,-33,-38.00
17,18,18,Stuart Appleby,90,64.43,96,149,-103,E
18,19,19,Justin Leonard,80,64.29,72,112,-76,-19.00
19,20,20,Jay Haas,89,64.1,75,117,-80,-27.00
20,21,21,Jeff Brehaut,110,64.06,139,217,-144,-6.00
21,22,22,Kenichi Kuboya,91,64.0,80,125,-84,-10.00
22,23,23,Paul Stankowski,67,63.57,82,129,-91,+7.00
23,T24,T24,K.J. Choi,112,63.28,112,177,-120,-20.00
24,T24,T24,Kent Jones,74,63.28,81,128,-85,-13.00
25,26,26,Jonathan Byrd,101,63.16,120,190,-125,+9.00
26,27,27,Chad Campbell,105,63.01,109,173,-124,-9.00
27,28,28,Jim Furyk,104,62.77,86,137,-96,-37.00
28,29,29,Steve Stricker,59,62.5,55,88,-56,+6.00
29,30,30,Jason Gore,83,62.42,93,149,-102,+18.00
30,31,31,Mike Sposa,72,62.4,78,125,-88,E
31,32,32,Lee Janzen,83,62.39,68,109,-79,-20.00
32,33,33,Geoff Ogilvy,86,62.34,96,154,-100,-14.00
33,34,34,Dean Wilson,82,62.31,81,130,-83,-11.00
34,35,35,John Huston,76,62.3,76,122,-82,-32.00
35,36,36,Brett Quigley,92,62.26,99,159,-102,+1.00
36,37,37,Davis Love III,85,62.24,89,143,-97,-3.00
37,38,38,Sergio Garcia,62,62.22,56,90,-63,+2.00
38,39,39,Greg Chalmers,98,62.13,105,169,-114,-8.00
39,40,40,Peter Lonard,96,62.07,90,145,-93,-4.00
40,41,41,Tommy Armour III,66,62.0,62,100,-67,-11.00
41,42,42,Robert Gamez,114,61.84,128,207,-143,+3.00
42,43,43,Craig Perks,82,61.6,77,125,-84,-10.00
43,44,44,Arron Oberholser,80,61.43,86,140,-90,-13.00
44,45,45,Dan Forsman,98,61.07,80,131,-83,-18.00
45,46,46,Todd Fischer,97,60.96,89,146,-94,-17.00
46,47,47,John Senden,111,60.83,132,217,-139,-6.00
47,48,48,Jesper Parnevik,102,60.82,104,171,-111,-8.00
48,49,49,Mark Calcavecchia,84,60.74,82,135,-83,-12.00
49,50,50,Adam Scott,52,60.66,37,61,-41,+2.00
50,51,51,Jonathan Kaye,91,60.56,86,142,-92,+2.00
51,52,52,Todd Barranger,78,60.51,95,157,-104,+21.00
52,53,53,Retief Goosen,69,60.48,75,124,-81,-4.00
53,54,54,Brian Gay,100,60.34,70,116,-77,-15.00
54,55,55,Stephen Ames,91,60.26,91,151,-99,-17.00
55,56,56,Chris DiMarco,98,60.13,95,158,-102,-14.00
56,T57,T57,Corey Pavin,88,60.0,60,100,-62,-22.00
57,T57,T57,Tim Petrovic,108,60.0,96,160,-104,-21.00
58,T57,T57,David Toms,90,60.0,78,130,-83,-21.00
59,60,60,Harrison Frazar,88,59.89,106,177,-112,-3.00
60,T61,T61,David Sutherland,77,59.86,85,142,-91,-10.00
61,T61,T61,Scott Verplank,97,59.86,85,142,-90,-39.00
62,63,63,Tom Pernice Jr.,105,59.77,104,174,-114,-15.00
63,64,64,Deane Pappas,75,59.76,98,164,-102,+10.00
64,65,65,Kenny Perry,98,59.6,90,151,-94,-21.00
65,66,66,Esteban Toledo,109,59.46,88,148,-94,-31.00
66,67,67,Marco Dawson,86,59.42,82,138,-85,-9.00
67,68,68,Cliff Kresge,102,59.32,105,177,-114,-6.00
68,69,69,Charles Howell III,120,59.31,121,204,-132,-17.00
69,70,70,Tom Lehman,87,59.26,80,135,-87,-2.00
70,71,71,Len Mattiace,94,59.18,58,98,-61,-29.00
71,72,72,Neal Lancaster,110,59.11,120,203,-130,-12.00
72,T73,T73,Ian Leggatt,71,59.09,78,132,-83,+1.00
73,T73,T73,Shigeki Maruyama,87,59.09,65,110,-72,-15.00
74,75,75,Patrick Sheehan,101,59.06,101,171,-112,-11.00
75,76,76,Ben Crane,94,58.97,92,156,-96,-4.00
76,77,77,Briny Baird,113,58.89,106,180,-114,-28.00
77,78,78,David Peoples,96,58.7,81,138,-89,-13.00
78,79,79,Robert Allenby,87,58.67,88,150,-95,-3.00
