,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Vijay Singh,106,-.056
1,2,2,Kirk Triplett,92,-.053
2,3,3,Mike Weir,80,-.024
3,4,4,Deane Pappas,75,-.022
4,5,5,Tiger Woods,74,E
5,6,6,Chris DiMarco,98,+.016
6,7,7,Mike Sposa,72,+.019
7,T8,T8,Chad Campbell,105,+.020
8,T8,T8,Duffy Waldorf,90,+.020
9,10,10,Cameron Beckman,86,+.021
10,11,11,Retief Goosen,69,+.025
11,12,12,Hank Kuehne,73,+.030
12,13,13,Stuart Appleby,90,+.034
13,T14,T14,Stephen Ames,91,+.037
14,T14,T14,Jeff Brehaut,110,+.037
15,T16,T16,Ernie Els,65,+.042
16,T16,T16,Cliff Kresge,102,+.042
17,18,18,Andrew Magee,91,+.045
18,19,19,Mike Heinen,89,+.047
19,20,20,Dudley Hart,66,+.049
20,T21,T21,John Riegger,55,+.053
21,T21,T21,Patrick Sheehan,101,+.053
22,23,23,Charles Howell III,120,+.054
23,24,24,Paul Gow,62,+.056
24,25,25,Skip Kendall,110,+.057
25,26,26,Brenden Pappas,105,+.058
26,T27,T27,John Maginnes,87,+.062
27,T27,T27,Dicky Pride,73,+.062
28,T27,T27,Rory Sabbatini,95,+.062
29,30,30,Scott McCarron,86,+.063
30,31,31,Richard Johnson,89,+.064
31,T32,T32,Alex Cejka,98,+.065
32,T32,T32,Dan Forsman,98,+.065
33,34,34,Glen Day,103,+.066
34,35,35,Esteban Toledo,109,+.067
35,36,36,Carlos Franco,99,+.070
36,T37,T37,Steven Alker,87,+.071
37,T37,T37,Briny Baird,113,+.071
38,39,39,Darren Clarke,61,+.073
39,40,40,Harrison Frazar,88,+.074
40,41,41,Joel Edwards,60,+.077
41,T42,T42,Kent Jones,74,+.082
42,T42,T42,Tom Pernice Jr.,105,+.082
43,T44,T44,Ben Crane,94,+.085
44,T44,T44,Jerry Kelly,108,+.085
45,46,46,Neal Lancaster,110,+.086
46,47,47,Tom Lehman,87,+.088
47,48,48,David Toms,90,+.090
48,49,49,Brandt Jobe,77,+.092
49,50,50,Craig Perks,82,+.093
50,T51,T51,Geoff Ogilvy,86,+.094
51,T51,T51,Steve Stricker,59,+.094
52,T53,T53,Justin Leonard,80,+.100
53,T53,T53,Chris Riley,96,+.100
54,T55,T55,Michael Clark II,54,+.101
55,T55,T55,Ty Tryon,52,+.101
56,57,57,Pat Bates,111,+.102
57,T58,T58,Woody Austin,107,+.103
58,T58,T58,Mark Calcavecchia,84,+.103
59,T60,T60,Jason Buha,61,+.104
60,T60,T60,Marco Dawson,86,+.104
61,T60,T60,Brian Henninger,56,+.104
62,63,63,Arron Oberholser,80,+.108
63,64,64,Billy Andrade,100,+.110
64,65,65,Shigeki Maruyama,87,+.111
65,T66,T66,Greg Chalmers,98,+.112
66,T66,T66,Jason Gore,83,+.112
67,T66,T66,Loren Roberts,87,+.112
68,69,69,Rich Beem,80,+.113
69,70,70,Glen Hnatiuk,92,+.115
70,T71,T71,John Huston,76,+.117
71,T71,T71,Davis Love III,85,+.117
72,73,73,Tommy Armour III,66,+.118
73,74,74,Jim Carter,95,+.119
74,75,75,Darron Stiles,93,+.120
75,T76,T76,Shaun Micheel,97,+.125
76,T76,T76,Anthony Painter,87,+.125
77,T76,T76,John Rollins,89,+.125
78,T79,T79,Tim Herron,102,+.126
79,T79,T79,Peter Lonard,96,+.126
80,T79,T79,Joey Sindelar,93,+.126
81,82,82,David Gossett,92,+.127
82,83,83,Kevin Sutherland,97,+.128
83,T84,T84,Fred Couples,71,+.129
84,T84,T84,Rod Pampling,87,+.129
85,T86,T86,Aaron Barber,94,+.131
86,T86,T86,Thomas Levet,85,+.131
87,88,88,John Senden,111,+.133
88,T89,T89,Brian Bateman,70,+.135
89,T89,T89,Pat Perez,95,+.135
90,91,91,Billy Mayfair,105,+.136
91,92,92,Kenichi Kuboya,91,+.140
92,T93,T93,Brian Gay,100,+.143
93,T93,T93,David Peoples,96,+.143
94,95,95,Lee Janzen,83,+.144
95,96,96,Fred Funk,112,+.145
96,T97,T97,Stewart Cink,104,+.146
97,T97,T97,John Morgan,81,+.146
98,99,99,Tim Petrovic,108,+.147
99,100,100,Corey Pavin,88,+.149
100,101,101,Jay Williamson,93,+.150
101,T102,T102,Bob Estes,92,+.152
102,T102,T102,Robert Gamez,114,+.152
103,104,104,Paul Goydos,86,+.154
104,105,105,David Sutherland,77,+.155
105,106,106,Bob Tway,89,+.156
106,107,107,Chris Anderson,96,+.157
107,108,108,Jonathan Byrd,101,+.158
108,109,109,Craig Barlow,95,+.160
109,110,110,Steve Flesch,110,+.162
110,111,111,J.J. Henry,100,+.163
111,112,112,Notah Begay III,92,+.164
112,T113,T113,Tim Clark,79,+.167
113,T113,T113,Jay Haas,89,+.167
114,T113,T113,Brent Schwarzrock,60,+.167
115,116,116,Chris Smith,92,+.170
116,117,117,Todd Barranger,78,+.171
117,T118,T118,Carl Paulson,101,+.172
118,T118,T118,Hal Sutton,81,+.172
119,T118,T118,Vance Veazey,66,+.172
120,T121,T121,José Coceres,62,+.174
121,T121,T121,Joe Durant,96,+.174
122,T123,T123,Steve Lowery,86,+.176
123,T123,T123,Paul Stankowski,67,+.176
124,125,125,Luke Donald,88,+.180
125,T126,T126,Aaron Baddeley,71,+.182
126,T126,T126,Scott Verplank,97,+.182
127,128,128,Steve Allan,53,+.184
128,T129,T129,Brent Geiberger,51,+.185
129,T129,T129,J.P. Hayes,79,+.185
130,T129,T129,Brett Quigley,92,+.185
131,T129,T129,Kenneth Staton,59,+.185
132,133,133,Scott Laycock,71,+.186
133,T134,T134,K.J. Choi,112,+.187
134,T134,T134,Peter Jacobsen,75,+.187
135,T134,T134,Kenny Perry,98,+.187
136,T137,T137,Jeff Maggert,81,+.190
137,T137,T137,Jesper Parnevik,102,+.190
138,139,139,Brad Faxon,97,+.192
139,140,140,Robert Allenby,87,+.193
140,141,141,Ian Leggatt,71,+.194
141,142,142,Jeff Sluman,106,+.202
142,143,143,Frank Lickliter II,94,+.204
143,144,144,Cameron Yancey,58,+.205
144,145,145,Andy Miller,75,+.206
145,T146,T146,Phil Mickelson,87,+.207
146,T146,T146,Akio Sadakata,83,+.207
147,T146,T146,Hidemichi Tanaka,112,+.207
148,149,149,Todd Fischer,97,+.210
149,150,150,Ben Curtis,69,+.212
150,151,151,Bob Burns,88,+.218
151,152,152,Sergio Garcia,62,+.220
152,T153,T153,David Frost,80,+.222
153,T153,T153,Bernhard Langer,65,+.222
154,T153,T153,"Dave Stockton, Jr.",79,+.222
155,T156,T156,Tom Byrum,97,+.225
156,T156,T156,John Daly,56,+.225
157,158,158,Mark Brooks,90,+.231
158,159,159,Tom Gillis,71,+.235
159,160,160,Olin Browne,113,+.241
160,T161,T161,Jason Caron,74,+.246
161,T161,T161,Matt Kuchar,63,+.246
