,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,Kirk Triplett,92,-.208
1,2,2,David Toms,90,-.200
2,3,3,Arron Oberholser,80,-.182
3,4,4,Robert Allenby,87,-.158
4,5,5,Harrison Frazar,88,-.114
5,6,6,Loren Roberts,87,-.087
6,7,7,Andy Miller,75,-.086
7,8,8,Mark Brooks,90,-.079
8,9,9,Darren Clarke,61,-.077
9,10,10,José Coceres,62,-.074
10,T11,T11,Glen Hnatiuk,92,-.067
11,T11,T11,Skip Kendall,110,-.067
12,T13,T13,Mark O'Meara,69,-.059
13,T13,T13,Tim Petrovic,108,-.059
14,15,15,Retief Goosen,69,-.050
15,T16,T16,Vijay Singh,106,-.043
16,T16,T16,Duffy Waldorf,90,-.043
17,18,18,John Maginnes,87,-.040
18,19,19,Carlos Franco,99,-.039
19,20,20,Thomas Levet,85,-.031
20,T21,T21,Stephen Ames,91,E
21,T21,T21,Tommy Armour III,66,E
22,T21,T21,Stewart Cink,104,E
23,T21,T21,Chris DiMarco,98,E
24,T21,T21,Kent Jones,74,E
25,T21,T21,Davis Love III,85,E
26,T21,T21,Kenny Perry,98,E
27,T21,T21,John Riegger,55,E
28,29,29,Chris Smith,92,+.029
29,T30,T30,Shigeki Maruyama,87,+.037
30,T30,T30,Steve Stricker,59,+.037
31,T32,T32,Peter Jacobsen,75,+.042
32,T32,T32,Jeff Maggert,81,+.042
33,34,34,Fred Funk,112,+.043
34,35,35,Michael Clark II,54,+.045
35,T36,T36,Deane Pappas,75,+.050
36,T36,T36,John Rollins,89,+.050
37,38,38,Ernie Els,65,+.059
38,39,39,Tiger Woods,74,+.067
39,40,40,Jeff Brehaut,110,+.068
40,T41,T41,Jerry Kelly,108,+.071
41,T41,T41,Hank Kuehne,73,+.071
42,T41,T41,Billy Mayfair,105,+.071
43,44,44,David Gossett,92,+.074
44,45,45,John Senden,111,+.079
45,46,46,Ty Tryon,52,+.083
46,T47,T47,Corey Pavin,88,+.087
47,T47,T47,David Peoples,96,+.087
48,T47,T47,Tom Pernice Jr.,105,+.087
49,T47,T47,Vance Veazey,66,+.087
50,51,51,Olin Browne,113,+.088
51,52,52,Neal Lancaster,110,+.089
52,53,53,Scott McCarron,86,+.095
53,54,54,Paul Gow,62,+.097
54,T55,T55,Paul Azinger,73,+.100
55,T55,T55,Greg Chalmers,98,+.100
56,T55,T55,David Sutherland,77,+.100
57,T55,T55,Kevin Sutherland,97,+.100
58,T55,T55,Esteban Toledo,109,+.100
59,T55,T55,Bob Tway,89,+.100
60,T61,T61,Andrew Magee,91,+.103
61,T61,T61,Carl Pettersson,80,+.103
62,63,63,Bernhard Langer,65,+.105
63,T64,T64,Steve Allan,53,+.111
64,T64,T64,Brandt Jobe,77,+.111
65,T64,T64,Tom Lehman,87,+.111
66,67,67,Cliff Kresge,102,+.119
67,68,68,Mike Sposa,72,+.125
68,69,69,Rich Beem,80,+.129
69,T70,T70,Cameron Beckman,86,+.133
70,T70,T70,Alex Cejka,98,+.133
71,72,72,Garrett Willis,97,+.136
72,T73,T73,Dicky Pride,73,+.138
73,T73,T73,Chris Riley,96,+.138
74,T75,T75,Fred Couples,71,+.143
75,T75,T75,Tom Gillis,71,+.143
76,T77,T77,Aaron Barber,94,+.147
77,T77,T77,Glen Day,103,+.147
78,79,79,Chad Campbell,105,+.150
79,80,80,Mark Calcavecchia,84,+.152
80,T81,T81,Rocco Mediate,80,+.158
81,T81,T81,Patrick Sheehan,101,+.158
82,83,83,Brett Quigley,92,+.159
83,84,84,Kenneth Staton,59,+.160
84,T85,T85,Steven Alker,87,+.167
85,T85,T85,Briny Baird,113,+.167
86,T85,T85,Todd Fischer,97,+.167
87,T85,T85,Dan Forsman,98,+.167
88,T85,T85,Scott Verplank,97,+.167
89,90,90,Bob Estes,92,+.174
90,T91,T91,Craig Barlow,95,+.176
91,T91,T91,Rod Pampling,87,+.176
92,93,93,Craig Perks,82,+.179
93,94,94,Brad Elder,51,+.182
94,95,95,Kenichi Kuboya,91,+.184
95,96,96,Brian Henninger,56,+.185
96,97,97,Jason Buha,61,+.188
97,98,98,Ben Crane,94,+.194
98,99,99,John Daly,56,+.196
99,T100,T100,Woody Austin,107,+.200
100,T100,T100,Pat Bates,111,+.200
101,T100,T100,Jim Furyk,104,+.200
102,T100,T100,Hidemichi Tanaka,112,+.200
103,104,104,Joe Durant,96,+.211
104,105,105,Mark Wilson,82,+.212
105,106,106,Geoff Ogilvy,86,+.214
106,T107,T107,Steve Flesch,110,+.219
107,T107,T107,David Frost,80,+.219
108,109,109,Paul Goydos,86,+.220
109,110,110,Mike Weir,80,+.222
110,111,111,Chris Anderson,96,+.226
111,112,112,Tim Clark,79,+.231
112,113,113,Brenden Pappas,105,+.233
113,114,114,Billy Andrade,100,+.235
114,115,115,John Morgan,81,+.237
115,116,116,Jeff Sluman,106,+.240
116,T117,T117,Brian Gay,100,+.243
117,T117,T117,Darron Stiles,93,+.243
118,T119,T119,Tom Byrum,97,+.250
119,T119,T119,J.J. Henry,100,+.250
120,T119,T119,Matt Kuchar,63,+.250
121,T119,T119,Justin Leonard,80,+.250
122,T119,T119,Joey Sindelar,93,+.250
123,124,124,Brian Bateman,70,+.259
124,125,125,Robert Damron,96,+.261
125,126,126,Anthony Painter,87,+.263
126,127,127,Per-Ulrik Johansson,96,+.265
127,128,128,Jason Caron,74,+.267
128,129,129,Scott Laycock,71,+.273
129,T130,T130,Bob Burns,88,+.286
130,T130,T130,K.J. Choi,112,+.286
131,T130,T130,Ian Leggatt,71,+.286
132,133,133,Mathew Goggin,90,+.295
133,T134,T134,Doug Barron,90,+.300
134,T134,T134,Luke Donald,88,+.300
135,T134,T134,Brent Geiberger,51,+.300
136,T134,T134,Tim Herron,102,+.300
137,138,138,Charles Howell III,120,+.308
138,T139,T139,Joel Edwards,60,+.313
139,T139,T139,Pat Perez,95,+.313
140,T141,T141,J.P. Hayes,79,+.316
141,T141,T141,Rory Sabbatini,95,+.316
142,T141,T141,Adam Scott,52,+.316
143,144,144,Brent Schwarzrock,60,+.320
144,145,145,Donnie Hammond,92,+.324
145,146,146,Jonathan Byrd,101,+.343
146,147,147,Jay Don Blake,77,+.345
147,T148,T148,Jeff Klein,60,+.348
148,T148,T148,Paul Stankowski,67,+.348
149,150,150,Aaron Baddeley,71,+.353
150,151,151,Jonathan Kaye,91,+.355
151,152,152,Jason Gore,83,+.359
152,153,153,Steve Lowery,86,+.361
153,T154,T154,Spike McRoy,103,+.366
154,T154,T154,Carl Paulson,101,+.366
155,156,156,J.L. Lewis,99,+.370
156,157,157,Brad Faxon,97,+.375
157,158,158,Shaun Micheel,97,+.379
158,159,159,John Huston,76,+.381
159,160,160,Phil Mickelson,87,+.383
160,161,161,Marco Dawson,86,+.393
161,162,162,Peter Lonard,96,+.406
162,163,163,Gene Sauers,87,+.407
163,164,164,Mike Heinen,89,+.414
164,T165,T165,Akio Sadakata,83,+.417
165,T165,T165,Heath Slocum,101,+.417
166,T167,T167,Jay Haas,89,+.429
167,T167,T167,Richard Johnson,89,+.429
168,T167,T167,Nick Price,65,+.429
169,170,170,Jesper Parnevik,102,+.432
170,171,171,Frank Lickliter II,94,+.433
171,172,172,Dudley Hart,66,+.438
172,T173,T173,Jim Carter,95,+.440
173,T173,T173,Len Mattiace,94,+.440
174,175,175,Jay Williamson,93,+.444
175,176,176,Robert Gamez,114,+.447
