,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Jeff Brehaut,110,59.61,276,463
1,2,2,Andrew Magee,91,59.52,297,499
2,3,3,Mike Heinen,89,58.42,222,380
3,4,4,Carlos Franco,99,58.36,321,550
4,5,5,Peter Jacobsen,75,57.78,156,270
5,6,6,Brenden Pappas,105,57.44,336,585
6,7,7,Vijay Singh,106,57.25,304,531
7,8,8,Hank Kuehne,73,56.79,276,486
8,9,9,Chris Smith,92,56.7,254,448
9,10,10,John Huston,76,56.48,183,324
10,11,11,Sergio Garcia,62,55.85,191,342
11,12,12,Cameron Beckman,86,55.64,212,381
12,13,13,Briny Baird,113,55.63,267,480
13,14,14,Spike McRoy,103,55.58,244,439
14,15,15,Woody Austin,107,55.37,304,549
15,16,16,Joey Sindelar,93,55.22,222,402
16,17,17,Retief Goosen,69,55.07,190,345
17,18,18,Chad Campbell,105,54.75,242,442
18,19,19,Neal Lancaster,110,54.56,317,581
19,20,20,Alex Cejka,98,54.19,220,406
20,21,21,John Senden,111,54.1,244,451
21,22,22,Phil Mickelson,87,53.99,311,576
22,23,23,Harrison Frazar,88,53.98,210,389
23,24,24,Charles Howell III,120,53.88,326,605
24,25,25,Brandt Jobe,77,53.69,189,352
25,26,26,Stuart Appleby,90,53.61,245,457
26,27,27,J.J. Henry,100,53.5,237,443
27,28,28,Geoff Ogilvy,86,53.48,238,445
28,29,29,Joe Durant,96,53.45,186,348
29,T30,T30,Ernie Els,65,53.23,173,325
30,T30,T30,Scott McCarron,86,53.23,239,449
31,32,32,Tom Gillis,71,53.14,144,271
32,33,33,Dan Forsman,98,53.08,233,439
33,34,34,Thomas Levet,85,52.82,225,426
34,35,35,David Peoples,96,52.81,207,392
35,36,36,Stephen Ames,91,52.62,221,420
36,37,37,David Sutherland,77,52.56,185,352
37,38,38,Bob Tway,89,52.49,211,402
