,Approach__200_yards_RTP_Score_RANK THIS WEEK,Approach__200_yards_RTP_Score_RANK LAST WEEK,Approach__200_yards_RTP_Score_PLAYER NAME,Approach__200_yards_RTP_Score_ROUNDS,Approach__200_yards_RTP_Score_AVG RTP
0,1,1,Tiger Woods,74,-0.7829999999999999
1,2,2,Vijay Singh,106,-0.677
2,3,3,Craig Barlow,95,-0.65
3,4,4,Robert Gamez,114,-0.635
4,5,5,Robert Allenby,87,-0.631
5,6,6,Aaron Baddeley,71,-0.627
6,7,7,Retief Goosen,69,-0.619
7,8,8,Jason Gore,83,-0.596
8,T9,T9,Carlos Franco,99,-0.595
9,T9,T9,Adam Scott,52,-0.595
10,11,11,K.J. Choi,112,-0.591
11,12,12,Hank Kuehne,73,-0.5870000000000001
12,13,13,Fred Couples,71,-0.586
13,T14,T14,Lee Janzen,83,-0.584
14,T14,T14,Davis Love III,85,-0.584
15,16,16,Paul Stankowski,67,-0.575
16,T17,T17,Todd Barranger,78,-0.5710000000000001
17,T17,T17,Ernie Els,65,-0.5710000000000001
18,19,19,Jay Haas,89,-0.565
19,20,20,Stewart Cink,104,-0.564
20,21,21,Ty Tryon,52,-0.561
21,22,22,Jeff Brehaut,110,-0.5589999999999999
22,23,23,Charles Howell III,120,-0.557
23,24,24,Chris Smith,92,-0.556
24,T25,T25,Stuart Appleby,90,-0.55
25,T25,T25,Deane Pappas,75,-0.55
26,T27,T27,Craig Perks,82,-0.547
27,T27,T27,Kevin Sutherland,97,-0.547
28,T29,T29,Jonathan Kaye,91,-0.546
29,T29,T29,Geoff Ogilvy,86,-0.546
30,31,31,John Huston,76,-0.544
31,T32,T32,Tom Lehman,87,-0.541
32,T32,T32,David Toms,90,-0.541
33,34,34,Mike Sposa,72,-0.5379999999999999
34,35,35,Stephen Ames,91,-0.537
35,36,36,Brett Quigley,92,-0.536
36,37,37,Neal Lancaster,110,-0.532
37,38,38,Darren Clarke,61,-0.531
38,39,39,Chad Campbell,105,-0.529
39,T40,T40,Tim Herron,102,-0.528
40,T40,T40,David Sutherland,77,-0.528
41,42,42,Dean Wilson,82,-0.525
42,T43,T43,Ian Leggatt,71,-0.524
43,T43,T43,Patrick Sheehan,101,-0.524
44,T45,T45,Harrison Frazar,88,-0.523
45,T45,T45,Peter Lonard,96,-0.523
46,47,47,Brenden Pappas,105,-0.521
47,T48,T48,Brent Geiberger,51,-0.518
48,T48,T48,Jesper Parnevik,102,-0.518
49,T50,T50,Scott McCarron,86,-0.516
50,T50,T50,Phil Mickelson,87,-0.516
51,52,52,Justin Leonard,80,-0.514
52,53,53,Tommy Armour III,66,-0.513
53,54,54,Greg Chalmers,98,-0.511
54,55,55,Marco Dawson,86,-0.509
55,T56,T56,Steve Allan,53,-0.507
56,T56,T56,Tim Petrovic,108,-0.507
57,58,58,John Rollins,89,-0.505
58,T59,T59,Chris DiMarco,98,-0.504
59,T59,T59,Tom Pernice Jr.,105,-0.504
60,T59,T59,Kenny Perry,98,-0.504
61,62,62,J.J. Henry,100,-0.503
62,T63,T63,Steve Flesch,110,-0.5
63,T63,T63,Thomas Levet,85,-0.5
64,T63,T63,John Senden,111,-0.5
65,T63,T63,"Dave Stockton, Jr.",79,-0.5
66,67,67,David Gossett,92,-0.496
67,68,68,Cameron Yancey,58,-0.494
68,T69,T69,Mark Calcavecchia,84,-0.491
69,T69,T69,Andy Miller,75,-0.491
70,71,71,Brent Schwarzrock,60,-0.49
71,72,72,Jim Furyk,104,-0.489
72,T73,T73,Pat Perez,95,-0.488
73,T73,T73,Duffy Waldorf,90,-0.488
74,75,75,Bob Estes,92,-0.486
75,76,76,David Peoples,96,-0.485
76,77,77,Arron Oberholser,80,-0.484
77,78,78,Bob Tway,89,-0.47700000000000004
78,T79,T79,Ben Crane,94,-0.475
79,T79,T79,Rod Pampling,87,-0.475
80,T81,T81,Billy Andrade,100,-0.47200000000000003
81,T81,T81,Woody Austin,107,-0.47200000000000003
82,T81,T81,Per-Ulrik Johansson,96,-0.47200000000000003
83,84,84,Jerry Kelly,108,-0.47
84,85,85,Kent Jones,74,-0.467
85,86,86,Jonathan Byrd,101,-0.466
86,T87,T87,Carl Paulson,101,-0.46399999999999997
87,T87,T87,Scott Verplank,97,-0.46399999999999997
88,89,89,Mike Heinen,89,-0.46299999999999997
89,90,90,John Morgan,81,-0.461
90,91,91,Andrew Magee,91,-0.46
91,92,92,J.L. Lewis,99,-0.45899999999999996
92,93,93,Cliff Kresge,102,-0.456
93,94,94,Glen Day,103,-0.45
94,95,95,Rich Beem,80,-0.44799999999999995
95,96,96,Sergio Garcia,62,-0.447
96,97,97,Carl Pettersson,80,-0.446
97,T98,T98,Brian Gay,100,-0.444
98,T98,T98,Brian Henninger,56,-0.444
99,100,100,Nick Price,65,-0.44299999999999995
100,101,101,Hal Sutton,81,-0.44
101,T102,T102,Briny Baird,113,-0.43799999999999994
102,T102,T102,Spike McRoy,103,-0.43799999999999994
103,T102,T102,Mike Weir,80,-0.43799999999999994
104,105,105,Cameron Beckman,86,-0.43700000000000006
105,106,106,Rocco Mediate,80,-0.436
106,107,107,Steve Lowery,86,-0.43200000000000005
107,T108,T108,Peter Jacobsen,75,-0.43
108,T108,T108,Brandt Jobe,77,-0.43
109,110,110,Joe Durant,96,-0.429
110,111,111,Billy Mayfair,105,-0.426
111,112,112,Mike Grob,83,-0.425
112,113,113,John Daly,56,-0.424
113,T114,T114,Jay Don Blake,77,-0.42100000000000004
114,T114,T114,Dan Forsman,98,-0.42100000000000004
115,116,116,Skip Kendall,110,-0.42
116,117,117,Jeff Sluman,106,-0.41600000000000004
117,118,118,Shaun Micheel,97,-0.414
118,119,119,Kenneth Staton,59,-0.41200000000000003
119,120,120,Mathew Goggin,90,-0.409
120,121,121,Tom Gillis,71,-0.406
121,122,122,Hidemichi Tanaka,112,-0.40299999999999997
122,T123,T123,Jason Caron,74,-0.4
123,T123,T123,Kirk Triplett,92,-0.4
124,T123,T123,Garrett Willis,97,-0.4
125,T126,T126,Kenichi Kuboya,91,-0.397
126,T126,T126,Jeff Maggert,81,-0.397
127,128,128,Anthony Painter,87,-0.395
128,129,129,Paul Azinger,73,-0.391
129,130,130,Matt Gogel,77,-0.389
130,131,131,Todd Fischer,97,-0.38799999999999996
131,132,132,Brad Faxon,97,-0.385
132,T133,T133,Jason Buha,61,-0.384
133,T133,T133,Jim Carter,95,-0.384
134,135,135,Chris Anderson,96,-0.38299999999999995
135,136,136,Jay Williamson,93,-0.382
136,137,137,Luke Donald,88,-0.381
137,138,138,Brad Elder,51,-0.38
138,139,139,José Coceres,62,-0.379
139,140,140,Pat Bates,111,-0.37
140,141,141,Robert Damron,96,-0.369
141,T142,T142,Shigeki Maruyama,87,-0.36700000000000005
142,T142,T142,Rory Sabbatini,95,-0.36700000000000005
143,144,144,Frank Lickliter II,94,-0.366
144,145,145,Joel Edwards,60,-0.365
145,T146,T146,Joey Sindelar,93,-0.36200000000000004
146,T146,T146,Esteban Toledo,109,-0.36200000000000004
147,T148,T148,Doug Barron,90,-0.359
148,T148,T148,Steve Stricker,59,-0.359
149,150,150,John Riegger,55,-0.355
150,151,151,David Frost,80,-0.35100000000000003
151,152,152,Mark O'Meara,69,-0.349
152,153,153,Aaron Barber,94,-0.348
153,154,154,Brian Bateman,70,-0.345
154,155,155,Tom Byrum,97,-0.344
155,156,156,Dicky Pride,73,-0.34299999999999997
156,T157,T157,Heath Slocum,101,-0.33799999999999997
157,T157,T157,Kaname Yokoo,56,-0.33799999999999997
158,159,159,Alex Cejka,98,-0.318
159,160,160,Ben Curtis,69,-0.315
160,T161,T161,J.P. Hayes,79,-0.313
161,T161,T161,Matt Kuchar,63,-0.313
162,T163,T163,Paul Gow,62,-0.312
163,T163,T163,Akio Sadakata,83,-0.312
164,165,165,Scott Laycock,71,-0.31
165,166,166,Notah Begay III,92,-0.309
166,T167,T167,Olin Browne,113,-0.307
167,T167,T167,Bob Burns,88,-0.307
168,169,169,Darron Stiles,93,-0.301
169,170,170,Len Mattiace,94,-0.29100000000000004
170,171,171,Tim Clark,79,-0.28800000000000003
171,172,172,Michael Clark II,54,-0.284
172,T173,T173,Glen Hnatiuk,92,-0.28300000000000003
173,T173,T173,Chris Riley,96,-0.28300000000000003
174,175,175,Vance Veazey,66,-0.27699999999999997
175,176,176,Paul Goydos,86,-0.273
176,177,177,Bernhard Langer,65,-0.26899999999999996
177,178,178,Richard Johnson,89,-0.26
178,T179,T179,Dudley Hart,66,-0.256
179,T179,T179,Gene Sauers,87,-0.256
180,181,181,Fred Funk,112,-0.253
181,182,182,John Maginnes,87,-0.252
182,183,183,Donnie Hammond,92,-0.225
183,T184,T184,Corey Pavin,88,-0.209
184,T184,T184,Mark Wilson,82,-0.209
185,186,186,Loren Roberts,87,-0.204
186,187,187,Steven Alker,87,-0.193
187,188,188,Mark Brooks,90,-0.15
188,189,189,Jeff Klein,60,-0.08800000000000001
189,190,190,Gavin Coles,69,0.033
