,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Vijay Singh,106,-0.262
1,2,2,Tiger Woods,74,-0.251
2,3,3,Davis Love III,85,-0.23600000000000002
3,4,4,Retief Goosen,69,-0.23
4,5,5,Robert Allenby,87,-0.22699999999999998
5,6,6,John Huston,76,-0.222
6,7,7,Hank Kuehne,73,-0.218
7,8,8,Jim Furyk,104,-0.21600000000000003
8,T9,T9,Stewart Cink,104,-0.215
9,T9,T9,Fred Couples,71,-0.215
10,11,11,Woody Austin,107,-0.21
11,12,12,Adam Scott,52,-0.20600000000000002
12,13,13,Chris DiMarco,98,-0.201
13,14,14,Jerry Kelly,108,-0.2
14,15,15,Aaron Baddeley,71,-0.196
15,16,16,Bob Tway,89,-0.19
16,17,17,Steve Flesch,110,-0.18899999999999997
17,18,18,Kenny Perry,98,-0.188
18,T19,T19,Justin Leonard,80,-0.187
19,T19,T19,Brett Quigley,92,-0.187
20,21,21,Robert Gamez,114,-0.18600000000000003
21,22,22,Rod Pampling,87,-0.185
22,T23,T23,Stephen Ames,91,-0.184
23,T23,T23,Chad Campbell,105,-0.184
24,25,25,Charles Howell III,120,-0.18
25,T26,T26,Ben Crane,94,-0.179
26,T26,T26,Jay Haas,89,-0.179
27,28,28,Ernie Els,65,-0.17800000000000002
28,T29,T29,Glen Day,103,-0.177
29,T29,T29,Jeff Sluman,106,-0.177
30,31,31,John Rollins,89,-0.175
31,T32,T32,Tom Pernice Jr.,105,-0.174
32,T32,T32,Scott Verplank,97,-0.174
33,34,34,Darren Clarke,61,-0.17300000000000001
34,35,35,Kirk Triplett,92,-0.172
35,T36,T36,Nick Price,65,-0.171
36,T36,T36,Mike Weir,80,-0.171
37,38,38,Brent Geiberger,51,-0.16899999999999998
38,T39,T39,Jeff Brehaut,110,-0.16699999999999998
39,T39,T39,Duffy Waldorf,90,-0.16699999999999998
40,T41,T41,Jonathan Byrd,101,-0.166
41,T41,T41,Bob Estes,92,-0.166
42,T41,T41,David Toms,90,-0.166
43,T44,T44,Stuart Appleby,90,-0.165
44,T44,T44,K.J. Choi,112,-0.165
45,T46,T46,Brad Faxon,97,-0.163
46,T46,T46,Tim Petrovic,108,-0.163
47,48,48,Rocco Mediate,80,-0.162
48,T49,T49,Billy Andrade,100,-0.161
49,T49,T49,Craig Barlow,95,-0.161
50,T49,T49,Carlos Franco,99,-0.161
51,T49,T49,Geoff Ogilvy,86,-0.161
52,53,53,Jonathan Kaye,91,-0.157
53,54,54,David Sutherland,77,-0.156
54,55,55,Deane Pappas,75,-0.153
55,T56,T56,Greg Chalmers,98,-0.151
56,T56,T56,Peter Lonard,96,-0.151
57,58,58,Tim Herron,102,-0.149
58,T59,T59,Brent Schwarzrock,60,-0.147
59,T59,T59,Kevin Sutherland,97,-0.147
60,T61,T61,David Frost,80,-0.146
61,T61,T61,Skip Kendall,110,-0.146
62,T61,T61,Jesper Parnevik,102,-0.146
63,T64,T64,Shaun Micheel,97,-0.145
64,T64,T64,Hidemichi Tanaka,112,-0.145
65,T66,T66,Briny Baird,113,-0.14400000000000002
66,T66,T66,Lee Janzen,83,-0.14400000000000002
67,T68,T68,Mark Calcavecchia,84,-0.14300000000000002
68,T68,T68,Tom Lehman,87,-0.14300000000000002
69,T68,T68,Steve Lowery,86,-0.14300000000000002
70,T71,T71,Dan Forsman,98,-0.142
71,T71,T71,Arron Oberholser,80,-0.142
72,73,73,Hal Sutton,81,-0.141
73,74,74,Carl Paulson,101,-0.14
74,75,75,Kent Jones,74,-0.138
75,T76,T76,Phil Mickelson,87,-0.13699999999999998
76,T76,T76,John Senden,111,-0.13699999999999998
77,T78,T78,Olin Browne,113,-0.136
78,T78,T78,J.P. Hayes,79,-0.136
79,T78,T78,Neal Lancaster,110,-0.136
80,T81,T81,Harrison Frazar,88,-0.135
81,T81,T81,J.L. Lewis,99,-0.135
82,T81,T81,Mike Sposa,72,-0.135
83,T84,T84,Todd Fischer,97,-0.134
84,T84,T84,Andrew Magee,91,-0.134
85,T86,T86,Mike Heinen,89,-0.133
86,T86,T86,Billy Mayfair,105,-0.133
87,T86,T86,Patrick Sheehan,101,-0.133
88,89,89,Marco Dawson,86,-0.132
89,T90,T90,Fred Funk,112,-0.131
90,T90,T90,Brandt Jobe,77,-0.131
91,T90,T90,Per-Ulrik Johansson,96,-0.131
92,T90,T90,Chris Riley,96,-0.131
93,T94,T94,Rich Beem,80,-0.13
94,T94,T94,Joe Durant,96,-0.13
95,T94,T94,Mike Grob,83,-0.13
96,T94,T94,Dean Wilson,82,-0.13
97,98,98,J.J. Henry,100,-0.129
98,99,99,Thomas Levet,85,-0.128
99,T100,T100,Shigeki Maruyama,87,-0.127
100,T100,T100,Dicky Pride,73,-0.127
101,T102,T102,Cameron Beckman,86,-0.126
102,T102,T102,Brenden Pappas,105,-0.126
103,T102,T102,Paul Stankowski,67,-0.126
104,T105,T105,Len Mattiace,94,-0.125
105,T105,T105,Scott McCarron,86,-0.125
106,107,107,Luke Donald,88,-0.124
107,T108,T108,Paul Goydos,86,-0.12300000000000001
108,T108,T108,David Peoples,96,-0.12300000000000001
109,T108,T108,John Riegger,55,-0.12300000000000001
110,111,111,Garrett Willis,97,-0.122
111,112,112,Jeff Maggert,81,-0.11800000000000001
112,113,113,Chris Anderson,96,-0.11699999999999999
113,T114,T114,Doug Barron,90,-0.115
114,T114,T114,Carl Pettersson,80,-0.115
115,T116,T116,David Gossett,92,-0.114
116,T116,T116,Paul Gow,62,-0.114
117,T116,T116,Rory Sabbatini,95,-0.114
118,T116,T116,Joey Sindelar,93,-0.114
119,T116,T116,Chris Smith,92,-0.114
120,121,121,Craig Perks,82,-0.113
121,T122,T122,Aaron Barber,94,-0.111
122,T122,T122,Tom Byrum,97,-0.111
123,T122,T122,Peter Jacobsen,75,-0.111
124,125,125,Mathew Goggin,90,-0.109
125,T126,T126,Paul Azinger,73,-0.10800000000000001
126,T126,T126,Jason Gore,83,-0.10800000000000001
127,T128,T128,Tim Clark,79,-0.107
128,T128,T128,Frank Lickliter II,94,-0.107
129,T130,T130,Tommy Armour III,66,-0.106
130,T130,T130,John Morgan,81,-0.106
131,T132,T132,Brian Bateman,70,-0.105
132,T132,T132,Pat Bates,111,-0.105
133,134,134,Spike McRoy,103,-0.10300000000000001
134,135,135,John Daly,56,-0.102
135,136,136,Cliff Kresge,102,-0.10099999999999999
136,T137,T137,Alex Cejka,98,-0.1
137,T137,T137,Darron Stiles,93,-0.1
138,T139,T139,Matt Kuchar,63,-0.099
139,T139,T139,Ian Leggatt,71,-0.099
140,141,141,Scott Laycock,71,-0.098
141,T142,T142,Richard Johnson,89,-0.09699999999999999
142,T142,T142,Bernhard Langer,65,-0.09699999999999999
143,T142,T142,Andy Miller,75,-0.09699999999999999
144,145,145,Todd Barranger,78,-0.096
145,146,146,Matt Gogel,77,-0.095
146,T147,T147,Brian Gay,100,-0.094
147,T147,T147,Tom Gillis,71,-0.094
148,149,149,Akio Sadakata,83,-0.092
149,150,150,Pat Perez,95,-0.091
150,151,151,Esteban Toledo,109,-0.08900000000000001
151,152,152,Heath Slocum,101,-0.08800000000000001
152,T153,T153,Jay Don Blake,77,-0.087
153,T153,T153,Robert Damron,96,-0.087
154,T153,T153,Jay Williamson,93,-0.087
155,156,156,Sergio Garcia,62,-0.084
156,T157,T157,Steve Allan,53,-0.083
157,T157,T157,Loren Roberts,87,-0.083
158,159,159,Corey Pavin,88,-0.081
159,160,160,Glen Hnatiuk,92,-0.079
160,161,161,Vance Veazey,66,-0.077
161,T162,T162,Donnie Hammond,92,-0.075
162,T162,T162,Mark O'Meara,69,-0.075
163,164,164,Brian Henninger,56,-0.07200000000000001
164,165,165,Jason Buha,61,-0.071
165,166,166,Joel Edwards,60,-0.07
166,167,167,Notah Begay III,92,-0.069
167,168,168,Mark Brooks,90,-0.068
168,T169,T169,Jim Carter,95,-0.067
169,T169,T169,Kenichi Kuboya,91,-0.067
170,171,171,Dudley Hart,66,-0.063
171,172,172,"Dave Stockton, Jr.",79,-0.06
172,173,173,Kaname Yokoo,56,-0.059000000000000004
173,174,174,Ben Curtis,69,-0.057999999999999996
174,T175,T175,Anthony Painter,87,-0.057
175,T175,T175,Kenneth Staton,59,-0.057
176,177,177,John Maginnes,87,-0.055999999999999994
177,178,178,Steve Stricker,59,-0.055
178,T179,T179,Steven Alker,87,-0.052000000000000005
179,T179,T179,Bob Burns,88,-0.052000000000000005
180,181,181,Mark Wilson,82,-0.051
181,182,182,Jason Caron,74,-0.05
182,183,183,Brad Elder,51,-0.049
183,184,184,Michael Clark II,54,-0.048
184,185,185,Ty Tryon,52,-0.039
185,186,186,Gene Sauers,87,-0.038
186,187,187,Cameron Yancey,58,-0.027999999999999997
187,188,188,José Coceres,62,-0.022000000000000002
188,189,189,Gavin Coles,69,0.005
189,190,190,Jeff Klein,60,0.013999999999999999
