,Approach_175-200_yards_RTP_Score_RANK THIS WEEK,Approach_175-200_yards_RTP_Score_RANK LAST WEEK,Approach_175-200_yards_RTP_Score_PLAYER NAME,Approach_175-200_yards_RTP_Score_ROUNDS,Approach_175-200_yards_RTP_Score_AVG RTP
0,1,1,Hank Kuehne,73,-.286
1,2,2,Adam Scott,52,-.231
2,3,3,Darren Clarke,61,-.227
3,4,4,Fred Couples,71,-.220
4,5,5,Davis Love III,85,-.190
5,6,6,Phil Mickelson,87,-.167
6,7,7,Rich Beem,80,-.164
7,8,8,Paul Stankowski,67,-.150
8,9,9,Retief Goosen,69,-.143
9,10,10,Craig Barlow,95,-.141
10,11,11,Robert Allenby,87,-.129
11,12,12,Mike Sposa,72,-.128
12,T13,T13,Stephen Ames,91,-.125
13,T13,T13,Vijay Singh,106,-.125
14,15,15,Ernie Els,65,-.114
15,16,16,Aaron Baddeley,71,-.111
16,17,17,Kirk Triplett,92,-.106
17,T18,T18,Brian Bateman,70,-.105
18,T18,T18,Duffy Waldorf,90,-.105
19,20,20,Tommy Armour III,66,-.104
20,21,21,Tom Pernice Jr.,105,-.103
21,22,22,Chad Campbell,105,-.102
22,23,23,Kenny Perry,98,-.101
23,24,24,Bob Tway,89,-.100
24,25,25,John Riegger,55,-.098
25,26,26,Tim Herron,102,-.094
26,27,27,Ben Crane,94,-.091
27,28,28,Brent Geiberger,51,-.088
28,T29,T29,Greg Chalmers,98,-.085
29,T29,T29,Jeff Sluman,106,-.085
30,31,31,K.J. Choi,112,-.083
31,32,32,Kent Jones,74,-.082
32,33,33,Brenden Pappas,105,-.081
33,34,34,John Daly,56,-.080
34,T35,T35,Jim Furyk,104,-.076
35,T35,T35,Jonathan Kaye,91,-.076
36,37,37,Todd Barranger,78,-.075
37,38,38,Rod Pampling,87,-.074
38,39,39,Stewart Cink,104,-.071
39,40,40,Charles Howell III,120,-.068
40,41,41,Paul Azinger,73,-.060
41,42,42,Scott McCarron,86,-.059
42,43,43,Steve Lowery,86,-.055
43,44,44,Geoff Ogilvy,86,-.054
44,T45,T45,Carl Pettersson,80,-.053
45,T45,T45,David Toms,90,-.053
46,47,47,Kenneth Staton,59,-.050
47,48,48,Patrick Sheehan,101,-.048
48,49,49,Mark Wilson,82,-.045
49,50,50,Neal Lancaster,110,-.041
50,51,51,Stuart Appleby,90,-.040
51,52,52,Robert Gamez,114,-.039
52,T53,T53,Carlos Franco,99,-.038
53,T53,T53,Hidemichi Tanaka,112,-.038
54,55,55,Sergio Garcia,62,-.037
55,T56,T56,J.J. Henry,100,-.036
