,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Kirk Triplett,92,"35' 3""",94,3310.667,-5.00
1,2,2,John Maginnes,87,"35' 4""",81,2862.75,+5.00
2,3,3,Chad Campbell,105,"35' 8""",98,3491.417,+2.00
3,4,4,Glen Day,103,"35' 9""",106,3785.167,+7.00
4,5,5,John Rollins,89,"35' 11""",72,2584.0,+9.00
5,6,6,Woody Austin,107,"36' 8""",146,5352.3330000000005,+15.00
6,7,7,John Riegger,55,"37' 11""",57,2161.25,+3.00
7,8,8,Brian Bateman,70,"38' 1""",74,2816.917,+10.00
8,9,9,Deane Pappas,75,"38' 7""",137,5285.0,-3.00
9,T10,T10,Todd Barranger,78,"38' 10""",146,5669.25,+25.00
10,T10,T10,Kent Jones,74,"38' 10""",85,3297.417,+7.00
11,12,12,Bob Burns,88,"38' 11""",87,3383.833,+19.00
12,T13,T13,Luke Donald,88,"39' 1""",61,2386.083,+11.00
13,T13,T13,Mike Weir,80,"39' 1""",85,3319.333,-2.00
14,15,15,John Morgan,81,"39' 2""",123,4819.583,+18.00
15,T16,T16,Andrew Magee,91,"39' 3""",155,6089.4169999999995,+7.00
16,T16,T16,Joey Sindelar,93,"39' 3""",103,4042.75,+13.00
17,18,18,Alex Cejka,98,"39' 8""",93,3692.833,+6.00
18,19,19,Brenden Pappas,105,"39' 11""",173,6911.3330000000005,+10.00
19,T20,T20,Cameron Beckman,86,"40' 1""",95,3806.167,+2.00
20,T20,T20,Glen Hnatiuk,92,"40' 1""",96,3845.417,+11.00
21,T22,T22,Michael Clark II,54,"40' 2""",89,3573.667,+9.00
22,T22,T22,Hank Kuehne,73,"40' 2""",134,5377.4169999999995,+4.00
23,24,24,John Huston,76,"40' 3""",94,3780.0,+11.00
24,25,25,Mike Heinen,89,"40' 5""",107,4327.917,+5.00
25,26,26,Frank Lickliter II,94,"40' 7""",113,4583.583,+23.00
26,T27,T27,Jeff Brehaut,110,"40' 10""",135,5517.0,+5.00
27,T27,T27,David Peoples,96,"40' 10""",98,4002.333,+14.00
28,29,29,David Toms,90,"41' 0""",100,4103.417,+9.00
29,T30,T30,Craig Barlow,95,"41' 1""",125,5137.333,+20.00
30,T30,T30,Brandt Jobe,77,"41' 1""",120,4928.167,+11.00
31,T30,T30,Ty Tryon,52,"41' 1""",79,3247.833,+8.00
32,33,33,Tommy Armour III,66,"41' 3""",76,3134.25,+9.00
33,34,34,Rory Sabbatini,95,"41' 5""",129,5343.8330000000005,+8.00
34,35,35,Pat Perez,95,"41' 8""",148,6167.5830000000005,+20.00
35,36,36,Garrett Willis,97,"41' 9""",109,4548.917,+27.00
36,T37,T37,Peter Lonard,96,"42' 0""",111,4658.0,+14.00
37,T37,T37,Paul Stankowski,67,"42' 0""",68,2858.75,+12.00
38,39,39,Brian Gay,100,"42' 1""",133,5599.5830000000005,+19.00
39,40,40,Shigeki Maruyama,87,"42' 2""",81,3412.25,+9.00
40,41,41,Esteban Toledo,109,"42' 3""",119,5031.583,+8.00
41,T42,T42,John Daly,56,"42' 5""",120,5088.75,+27.00
42,T42,T42,Vijay Singh,106,"42' 5""",160,6781.1669999999995,-9.00
43,T44,T44,Ian Leggatt,71,"42' 6""",98,4165.5,+19.00
44,T44,T44,Thomas Levet,85,"42' 6""",107,4549.167,+14.00
45,T44,T44,Mike Sposa,72,"42' 6""",104,4418.583,+2.00
46,47,47,Stewart Cink,104,"42' 7""",137,5838.5,+20.00
47,T48,T48,Lee Janzen,83,"42' 8""",90,3842.667,+13.00
48,T48,T48,Hal Sutton,81,"42' 8""",58,2472.583,+10.00
49,T50,T50,Joe Durant,96,"42' 10""",109,4673.0,+19.00
50,T50,T50,Robert Gamez,114,"42' 10""",158,6766.6669999999995,+24.00
51,T50,T50,Paul Gow,62,"42' 10""",124,5311.9169999999995,+7.00
52,53,53,Duffy Waldorf,90,"42' 11""",99,4252.167,+2.00
53,T54,T54,Retief Goosen,69,"43' 1""",81,3491.167,+2.00
54,T54,T54,Jerry Kelly,108,"43' 1""",94,4048.25,+8.00
55,T54,T54,Kenichi Kuboya,91,"43' 1""",129,5553.5,+18.00
56,T54,T54,Neal Lancaster,110,"43' 1""",174,7502.9169999999995,+15.00
57,T58,T58,J.P. Hayes,79,"43' 2""",81,3498.667,+15.00
58,T58,T58,Steve Lowery,86,"43' 2""",108,4662.5,+19.00
59,T60,T60,Chris DiMarco,98,"43' 3""",126,5444.5830000000005,+2.00
60,T60,T60,Matt Kuchar,63,"43' 3""",69,2985.583,+17.00
61,T62,T62,Ben Crane,94,"43' 5""",141,6123.5,+12.00
62,T62,T62,Jeff Sluman,106,"43' 5""",109,4734.667,+22.00
63,T64,T64,Stuart Appleby,90,"43' 6""",87,3783.667,+3.00
64,T64,T64,Tim Clark,79,"43' 6""",72,3130.833,+12.00
65,T66,T66,Steven Alker,87,"43' 8""",98,4278.083,+7.00
66,T66,T66,Mark Calcavecchia,84,"43' 8""",97,4237.667,+10.00
67,T68,T68,Dan Forsman,98,"43' 9""",124,5420.5830000000005,+8.00
68,T68,T68,Jason Gore,83,"43' 9""",143,6258.75,+16.00
69,T70,T70,Fred Funk,112,"43' 10""",76,3329.083,+11.00
70,T70,T70,Skip Kendall,110,"43' 10""",122,5348.1669999999995,+7.00
71,T70,T70,Rod Pampling,87,"43' 10""",101,4425.333,+13.00
72,T73,T73,Jason Caron,74,"43' 11""",118,5185.833,+29.00
73,T73,T73,Jay Haas,89,"43' 11""",114,5007.083,+19.00
74,T75,T75,Joel Edwards,60,"44' 0""",78,3430.583,+6.00
75,T75,T75,Steve Flesch,110,"44' 0""",142,6248.1669999999995,+23.00
76,T75,T75,Jim Furyk,104,"44' 0""",82,3606.333,+22.00
77,T75,T75,Phil Mickelson,87,"44' 0""",121,5322.25,+25.00
78,T79,T79,Jonathan Byrd,101,"44' 1""",133,5867.0830000000005,+21.00
79,T79,T79,Donnie Hammond,92,"44' 1""",120,5292.0830000000005,+31.00
80,T79,T79,Bernhard Langer,65,"44' 1""",63,2776.5,+14.00
81,T82,T82,Aaron Barber,94,"44' 2""",122,5386.6669999999995,+16.00
82,T82,T82,Pat Bates,111,"44' 2""",127,5607.0,+13.00
83,84,84,Darron Stiles,93,"44' 3""",100,4421.5,+12.00
84,T85,T85,Rich Beem,80,"44' 4""",80,3548.417,+9.00
85,T85,T85,Chris Smith,92,"44' 4""",100,4431.667,+17.00
86,87,87,Dudley Hart,66,"44' 5""",82,3641.75,+4.00
87,T88,T88,Paul Azinger,73,"44' 6""",102,4542.333,+29.00
88,T88,T88,Geoff Ogilvy,86,"44' 6""",128,5695.4169999999995,+12.00
89,T88,T88,Tim Petrovic,108,"44' 6""",116,5161.333,+17.00
90,T88,T88,John Senden,111,"44' 6""",143,6368.5830000000005,+19.00
91,T92,T92,Stephen Ames,91,"44' 7""",107,4773.667,+4.00
92,T92,T92,Briny Baird,113,"44' 7""",127,5663.8330000000005,+9.00
93,T92,T92,Jason Buha,61,"44' 7""",96,4282.083,+10.00
94,T95,T95,Mark Brooks,90,"44' 9""",108,4835.417,+25.00
95,T95,T95,José Coceres,62,"44' 9""",86,3848.167,+15.00
96,97,97,Kenny Perry,98,"44' 10""",91,4080.0,+17.00
97,T98,T98,Brad Elder,51,"45' 0""",61,2745.917,+18.00
98,T98,T98,J.J. Henry,100,"45' 0""",135,6080.4169999999995,+22.00
99,T98,T98,Hidemichi Tanaka,112,"45' 0""",111,4993.5,+23.00
100,T98,T98,Jay Williamson,93,"45' 0""",107,4810.583,+16.00
101,102,102,Greg Chalmers,98,"45' 1""",161,7262.5830000000005,+18.00
102,T103,T103,David Gossett,92,"45' 2""",110,4970.333,+14.00
103,T103,T103,Corey Pavin,88,"45' 2""",114,5152.667,+17.00
104,T103,T103,Nick Price,65,"45' 2""",78,3523.667,+23.00
105,T106,T106,Chris Anderson,96,"45' 3""",121,5470.4169999999995,+19.00
106,T106,T106,Jim Carter,95,"45' 3""",101,4571.833,+12.00
107,T106,T106,Rocco Mediate,80,"45' 3""",73,3305.083,+28.00
108,T106,T106,Brett Quigley,92,"45' 3""",146,6610.25,+27.00
109,T110,T110,Sergio Garcia,62,"45' 4""",59,2676.583,+13.00
110,T110,T110,Carl Pettersson,80,"45' 4""",109,4942.75,+27.00
111,T110,T110,Vance Veazey,66,"45' 4""",87,3945.417,+15.00
112,T113,T113,Doug Barron,90,"45' 5""",103,4673.75,+26.00
113,T113,T113,Paul Goydos,86,"45' 5""",91,4135.167,+14.00
114,T113,T113,Richard Johnson,89,"45' 5""",94,4271.917,+6.00
115,T113,T113,Dean Wilson,82,"45' 5""",78,3544.75,+22.00
116,T117,T117,Marco Dawson,86,"45' 7""",115,5238.25,+12.00
