,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Tiger Woods,74,68.22,88,129
1,2,2,Craig Barlow,95,61.73,100,162
2,3,3,Vijay Singh,106,60.12,98,163
3,4,4,Sergio Garcia,62,58.33,35,60
4,5,5,Darren Clarke,61,58.11,43,74
5,6,6,Robert Gamez,114,57.92,117,202
6,7,7,Paul Stankowski,67,57.39,66,115
7,8,8,Phil Mickelson,87,57.27,63,110
8,9,9,John Huston,76,55.12,70,127
9,10,10,Retief Goosen,69,54.9,56,102
10,11,11,Robert Allenby,87,54.89,73,133
11,12,12,Ty Tryon,52,54.84,51,93
12,13,13,Stuart Appleby,90,54.61,77,141
13,14,14,Chris Smith,92,54.27,89,164
14,15,15,Peter Lonard,96,54.23,77,142
15,16,16,Fred Couples,71,54.12,46,85
16,17,17,Carlos Franco,99,53.77,114,212
17,18,18,K.J. Choi,112,53.71,94,175
18,19,19,Stephen Ames,91,53.33,88,165
19,T20,T20,Hank Kuehne,73,53.28,73,137
20,T20,T20,Justin Leonard,80,53.28,73,137
21,22,22,Todd Barranger,78,53.15,76,143
22,23,23,Marco Dawson,86,53.1,77,145
23,24,24,Stewart Cink,104,53.02,79,149
24,25,25,Davis Love III,85,52.94,63,119
25,T26,T26,John Morgan,81,52.76,86,163
26,T26,T26,Geoff Ogilvy,86,52.76,86,163
27,28,28,Charles Howell III,120,52.58,102,194
28,29,29,Kevin Sutherland,97,52.56,82,156
29,30,30,Jeff Brehaut,110,52.42,119,227
30,T31,T31,Deane Pappas,75,52.38,77,147
31,T31,T31,David Toms,90,52.38,66,126
32,33,33,Neal Lancaster,110,52.28,103,197
33,34,34,Jonathan Byrd,101,52.13,98,188
34,35,35,Chad Campbell,105,52.1,87,167
35,36,36,Aaron Baddeley,71,52.07,63,121
36,37,37,Kent Jones,74,51.94,67,129
37,38,38,Brenden Pappas,105,51.72,105,203
38,39,39,Tim Herron,102,51.69,92,178
39,40,40,Dean Wilson,82,51.5,86,167
40,41,41,Andy Miller,75,51.02,75,147
41,42,42,Tom Lehman,87,50.99,77,151
42,43,43,Kenny Perry,98,50.97,79,155
43,T44,T44,Tommy Armour III,66,50.96,53,104
44,T44,T44,Brett Quigley,92,50.96,80,157
45,46,46,Steve Flesch,110,50.93,110,216
46,47,47,Tom Pernice Jr.,105,50.85,90,177
47,48,48,John Rollins,89,50.76,67,132
48,T49,T49,Ian Leggatt,71,50.38,67,133
49,T49,T49,Craig Perks,82,50.38,66,131
50,51,51,Mark Calcavecchia,84,50.35,71,141
51,52,52,Jason Gore,83,50.34,75,149
52,53,53,Harrison Frazar,88,50.28,89,177
53,T54,T54,Adam Scott,52,50.0,27,54
54,T54,T54,Patrick Sheehan,101,50.0,88,176
55,T54,T54,David Sutherland,77,50.0,78,156
56,57,57,John Senden,111,49.79,119,239
57,58,58,Rod Pampling,87,49.64,69,139
58,59,59,Brent Schwarzrock,60,49.62,65,131
59,60,60,Jesper Parnevik,102,49.21,93,189
60,61,61,J.J. Henry,100,49.2,92,187
61,62,62,Greg Chalmers,98,49.19,91,185
62,63,63,Mike Weir,80,49.17,59,120
63,64,64,David Gossett,92,49.15,87,177
64,65,65,Nick Price,65,48.96,47,96
65,66,66,Ernie Els,65,48.65,36,74
66,67,67,Chris DiMarco,98,48.62,88,181
67,68,68,Scott McCarron,86,48.53,66,136
68,69,69,Mike Sposa,72,48.51,65,134
69,70,70,Tim Petrovic,108,48.17,92,191
70,71,71,Kirk Triplett,92,47.88,79,165
71,72,72,Jonathan Kaye,91,47.79,65,136
72,73,73,Arron Oberholser,80,47.74,74,155
73,74,74,Shigeki Maruyama,87,47.73,63,132
74,75,75,Cliff Kresge,102,47.67,92,193
75,76,76,Duffy Waldorf,90,47.59,79,166
76,77,77,Lee Janzen,83,47.54,58,122
77,78,78,Mike Heinen,89,47.4,82,173
78,79,79,Brian Bateman,70,47.37,54,114
79,80,80,Carl Paulson,101,47.19,109,231
80,81,81,Andrew Magee,91,47.17,75,159
81,82,82,Jerry Kelly,108,47.09,97,206
82,83,83,"Dave Stockton, Jr.",79,47.06,64,136
83,T84,T84,Briny Baird,113,46.99,86,183
84,T84,T84,Brent Geiberger,51,46.99,39,83
85,86,86,Carl Pettersson,80,46.98,70,149
86,87,87,David Peoples,96,46.91,76,162
87,88,88,Kenneth Staton,59,46.61,55,118
88,89,89,John Daly,56,46.53,47,101
89,90,90,Bob Estes,92,46.48,66,142
90,91,91,J.L. Lewis,99,46.43,78,168
91,92,92,Shaun Micheel,97,46.3,75,162
92,93,93,Rory Sabbatini,95,46.26,68,147
93,94,94,Bob Tway,89,46.15,78,169
94,95,95,Billy Mayfair,105,46.08,94,204
95,96,96,Kenichi Kuboya,91,46.01,75,163
96,97,97,Per-Ulrik Johansson,96,45.9,84,183
97,98,98,Jay Haas,89,45.81,71,155
98,99,99,Garrett Willis,97,45.73,91,199
99,100,100,Dan Forsman,98,45.64,68,149
100,101,101,John Riegger,55,45.56,41,90
101,102,102,Cameron Yancey,58,45.3,53,117
102,103,103,Darron Stiles,93,45.12,74,164
103,104,104,Steve Stricker,59,45.05,50,111
104,105,105,Woody Austin,107,45.0,99,220
105,T106,T106,Cameron Beckman,86,44.94,71,158
106,T106,T106,Ben Crane,94,44.94,80,178
107,108,108,Mathew Goggin,90,44.86,83,185
108,109,109,Pat Perez,95,44.71,76,170
109,110,110,Brandt Jobe,77,44.59,70,157
110,111,111,Mike Grob,83,44.58,74,166
111,112,112,Anthony Painter,87,44.51,81,182
112,T113,T113,Todd Fischer,97,44.44,76,171
113,T113,T113,Jim Furyk,104,44.44,72,162
114,115,115,Jay Williamson,93,44.35,55,124
115,116,116,Skip Kendall,110,44.27,85,192
116,117,117,Dicky Pride,73,44.07,52,118
117,118,118,Jason Caron,74,44.0,55,125
118,119,119,Glen Day,103,43.92,83,189
119,120,120,José Coceres,62,43.8,60,137
120,121,121,Brian Gay,100,43.79,67,153
121,122,122,Rich Beem,80,43.7,52,119
122,123,123,Brad Elder,51,43.68,38,87
123,124,124,Brian Henninger,56,43.59,34,78
124,125,125,Thomas Levet,85,43.45,73,168
125,126,126,Billy Andrade,100,43.33,78,180
126,127,127,Spike McRoy,103,43.23,83,192
127,128,128,Joey Sindelar,93,42.86,81,189
128,129,129,Jim Carter,95,42.6,72,169
129,130,130,Jason Buha,61,42.57,43,101
130,131,131,Jeff Maggert,81,42.55,60,141
131,132,132,Joe Durant,96,42.53,74,174
132,133,133,Scott Verplank,97,42.13,75,178
133,134,134,Vance Veazey,66,42.06,53,126
134,135,135,Chris Anderson,96,42.04,66,157
135,136,136,Hidemichi Tanaka,112,41.89,93,222
136,137,137,Frank Lickliter II,94,41.72,68,163
137,138,138,Jay Don Blake,77,41.53,49,118
138,139,139,Hal Sutton,81,41.38,48,116
139,140,140,Jeff Sluman,106,41.11,74,180
140,T141,T141,Tom Gillis,71,41.09,53,129
141,T141,T141,Steve Lowery,86,41.09,53,129
142,143,143,Matt Gogel,77,41.03,48,117
143,144,144,Michael Clark II,54,41.0,41,100
144,145,145,Joel Edwards,60,40.95,43,105
145,146,146,Peter Jacobsen,75,40.74,44,108
146,147,147,Esteban Toledo,109,40.72,79,194
147,148,148,Robert Damron,96,40.66,74,182
148,149,149,Tom Byrum,97,40.65,63,155
149,150,150,Paul Gow,62,40.48,51,126
150,151,151,Luke Donald,88,40.14,57,142
151,152,152,Heath Slocum,101,39.88,67,168
152,153,153,Rocco Mediate,80,39.67,48,121
153,154,154,Paul Azinger,73,39.26,53,135
154,155,155,Alex Cejka,98,39.02,64,164
155,156,156,Matt Kuchar,63,38.98,46,118
156,157,157,Doug Barron,90,38.95,67,172
157,158,158,Pat Bates,111,38.86,75,193
158,159,159,Kaname Yokoo,56,38.83,40,103
159,160,160,Mark O'Meara,69,38.75,31,80
160,T161,T161,J.P. Hayes,79,38.46,45,117
161,T161,T161,Len Mattiace,94,38.46,55,143
162,163,163,Steve Allan,53,38.0,38,100
163,164,164,Akio Sadakata,83,37.78,51,135
164,165,165,Donnie Hammond,92,37.58,62,165
165,166,166,Aaron Barber,94,36.67,55,150
