,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Joe Durant,96,106.03,1125,1061,-229.0
1,2,2,Hal Sutton,81,103.33,931,901,-201.0
2,3,3,Kenny Perry,98,102.95,978,950,-246.0
3,T4,T4,Briny Baird,113,102.87,1326,1289,-297.0
4,T4,T4,David Sutherland,77,102.87,860,836,-189.0
5,6,6,Retief Goosen,69,102.69,610,594,-172.0
6,7,7,Chad Campbell,105,102.3,1111,1086,-297.0
7,8,8,Mike Heinen,89,102.28,1077,1053,-266.0
8,9,9,Robert Allenby,87,102.26,815,797,-226.0
9,10,10,Carlos Franco,99,101.79,1191,1170,-284.0
10,11,11,Jim Furyk,104,101.68,1030,1013,-299.0
11,T12,T12,Dan Forsman,98,101.63,1124,1106,-248.0
12,T12,T12,Tom Lehman,87,101.63,811,798,-187.0
13,T12,T12,Paul Stankowski,67,101.63,750,738,-202.0
14,15,15,Duffy Waldorf,90,101.5,947,933,-237.0
15,16,16,Jeff Brehaut,110,101.27,1276,1260,-275.0
16,17,17,David Peoples,96,101.08,1126,1114,-242.0
17,18,18,Davis Love III,85,101.03,781,773,-225.0
18,19,19,Vijay Singh,106,100.96,1050,1040,-320.0
19,20,20,Tiger Woods,74,100.73,692,687,-240.0
20,21,21,John Senden,111,100.71,1276,1267,-286.0
21,22,22,Charles Howell III,120,100.68,1182,1174,-303.0
22,23,23,Jerry Kelly,108,100.64,1093,1086,-272.0
23,24,24,Jeff Sluman,106,100.55,1106,1100,-256.0
24,T25,T25,Harrison Frazar,88,100.5,1005,1000,-231.0
25,T25,T25,Chris Smith,92,100.5,1009,1004,-230.0
26,T25,T25,Bob Tway,89,100.5,1007,1002,-242.0
27,T28,T28,John Huston,76,100.46,865,861,-247.0
28,T28,T28,Joey Sindelar,93,100.46,1103,1098,-237.0
29,30,30,Marco Dawson,86,100.45,884,880,-197.0
30,T31,T31,J.J. Henry,100,99.92,1192,1193,-260.0
31,T31,T31,Neal Lancaster,110,99.92,1278,1279,-276.0
32,33,33,Hidemichi Tanaka,112,99.85,1318,1320,-304.0
33,34,34,Pat Bates,111,99.77,1278,1281,-277.0
34,35,35,Kirk Triplett,92,99.69,976,979,-250.0
35,36,36,Brandt Jobe,77,99.66,877,880,-199.0
36,37,37,David Toms,90,99.39,820,825,-212.0
37,38,38,David Gossett,92,99.28,1096,1104,-244.0
38,39,39,Thomas Levet,85,99.27,946,953,-199.0
39,40,40,Skip Kendall,110,99.19,1222,1232,-298.0
40,41,41,Mathew Goggin,90,99.18,970,978,-195.0
41,42,42,Jonathan Kaye,91,99.05,934,943,-209.0
42,43,43,Fred Funk,112,98.92,1196,1209,-262.0
43,44,44,Ernie Els,65,98.9,540,546,-142.0
44,45,45,Tom Gillis,71,98.88,798,807,-170.0
45,46,46,Ian Leggatt,71,98.84,768,777,-161.0
46,47,47,K.J. Choi,112,98.81,1084,1097,-251.0
47,48,48,Mike Weir,80,98.75,711,720,-187.0
48,T49,T49,Cameron Beckman,86,98.72,1000,1013,-248.0
49,T49,T49,Brenden Pappas,105,98.72,1154,1169,-315.0
50,51,51,Steve Flesch,110,98.56,1232,1250,-327.0
51,T52,T52,Jeff Maggert,81,98.54,878,891,-205.0
52,T52,T52,John Riegger,55,98.54,608,617,-145.0
53,54,54,Billy Mayfair,105,98.5,1114,1131,-253.0
54,55,55,Chris DiMarco,98,98.44,947,962,-286.0
55,56,56,Stewart Cink,104,98.4,1108,1126,-310.0
56,57,57,Shaun Micheel,97,98.39,1103,1121,-236.0
57,58,58,Per-Ulrik Johansson,96,98.36,1082,1100,-235.0
58,59,59,Akio Sadakata,83,98.33,885,900,-174.0
59,60,60,Rocco Mediate,80,98.17,803,818,-198.0
60,61,61,Andrew Magee,91,98.15,1009,1028,-242.0
61,62,62,Stephen Ames,91,98.14,1055,1075,-286.0
62,63,63,Woody Austin,107,98.11,1145,1167,-311.0
63,64,64,Jay Don Blake,77,98.04,751,766,-160.0
64,65,65,Kent Jones,74,97.98,824,841,-212.0
65,66,66,Lee Janzen,83,97.91,751,767,-200.0
66,67,67,Bob Estes,92,97.9,932,952,-253.0
67,68,68,Arron Oberholser,80,97.89,976,997,-212.0
