,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Phil Mickelson,87,23.39,29,124
1,2,2,Brandt Jobe,77,22.78,18,79
2,3,3,Kent Jones,74,21.79,17,78
3,4,4,Hank Kuehne,73,21.48,29,135
4,5,5,David Toms,90,20.45,18,88
5,6,6,Davis Love III,85,20.22,18,89
6,7,7,Dean Wilson,82,19.86,28,141
7,8,8,Robert Allenby,87,19.74,15,76
8,9,9,Harrison Frazar,88,19.57,18,92
9,10,10,Charles Howell III,120,19.53,25,128
10,11,11,Sergio Garcia,62,19.4,13,67
11,12,12,David Sutherland,77,19.23,15,78
12,13,13,Fred Couples,71,19.05,12,63
13,14,14,Woody Austin,107,18.95,29,153
14,15,15,Kevin Sutherland,97,18.85,23,122
15,16,16,Notah Begay III,92,18.75,15,80
16,17,17,John Senden,111,18.7,23,123
17,18,18,Chris Riley,96,18.69,20,107
18,19,19,Ty Tryon,52,18.67,14,75
19,20,20,Mike Sposa,72,18.52,20,108
20,21,21,Bob Estes,92,18.31,13,71
21,22,22,Geoff Ogilvy,86,18.26,21,115
22,T23,T23,Ernie Els,65,18.18,10,55
23,T23,T23,John Riegger,55,18.18,10,55
24,T23,T23,Mark Wilson,82,18.18,16,88
25,26,26,Jason Gore,83,18.1,21,116
26,27,27,Steve Stricker,59,18.09,17,94
27,28,28,Mark Calcavecchia,84,18.0,18,100
28,29,29,Patrick Sheehan,101,17.83,23,129
29,30,30,Nick Price,65,17.74,11,62
30,31,31,Carlos Franco,99,17.71,31,175
31,32,32,Andy Miller,75,17.65,21,119
32,33,33,Paul Azinger,73,17.59,19,108
33,34,34,Jeff Sluman,106,17.5,21,120
34,35,35,Darren Clarke,61,17.39,8,46
35,36,36,Brian Bateman,70,17.35,17,98
36,37,37,Cameron Yancey,58,17.33,13,75
37,38,38,Aaron Baddeley,71,17.0,17,100
38,39,39,Carl Paulson,101,16.92,22,130
