,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Briny Baird,113,82.12,854,1040
1,2,2,Retief Goosen,69,81.85,451,551
2,3,3,Chad Campbell,105,81.73,801,980
3,4,4,Paul Stankowski,67,81.63,480,588
4,5,5,Marco Dawson,86,81.35,589,724
5,6,6,Dan Forsman,98,81.01,751,927
6,7,7,Robert Allenby,87,80.9,614,759
7,8,8,Tom Lehman,87,80.26,610,760
8,9,9,Joe Durant,96,80.16,792,988
9,10,10,Brett Quigley,92,80.14,553,690
10,11,11,Ian Leggatt,71,79.97,483,604
11,12,12,Shaun Micheel,97,79.64,673,845
12,13,13,Ernie Els,65,79.61,410,515
13,14,14,Jonathan Kaye,91,79.44,622,783
14,15,15,Kenny Perry,98,79.29,739,932
15,16,16,J.J. Henry,100,79.15,706,892
16,17,17,Stephen Ames,91,79.04,645,816
17,18,18,Jim Furyk,104,78.73,844,1072
18,19,19,Davis Love III,85,78.6,551,701
19,20,20,David Sutherland,77,78.52,519,661
20,21,21,Mike Sposa,72,78.46,459,585
21,22,22,Tim Herron,102,78.33,705,900
22,23,23,David Toms,90,78.27,569,727
23,24,24,Tiger Woods,74,78.22,467,597
24,25,25,Kevin Sutherland,97,78.2,653,835
25,26,26,Chris Smith,92,78.16,655,838
26,27,27,Bob Tway,89,78.14,615,787
27,28,28,Rod Pampling,87,78.04,604,774
28,29,29,Charles Howell III,120,77.99,783,1004
29,30,30,Mathew Goggin,90,77.98,588,754
30,T31,T31,Vijay Singh,106,77.9,698,896
31,T31,T31,Jeff Sluman,106,77.9,786,1009
32,33,33,John Huston,76,77.78,560,720
33,34,34,K.J. Choi,112,77.57,695,896
34,T35,T35,Billy Andrade,100,77.56,643,829
35,T35,T35,Hidemichi Tanaka,112,77.56,895,1154
36,37,37,David Gossett,92,77.4,668,863
37,38,38,Phil Mickelson,87,77.37,417,539
38,39,39,Craig Barlow,95,77.36,673,870
39,40,40,Duffy Waldorf,90,77.31,627,811
40,41,41,Andrew Magee,91,77.28,575,744
41,42,42,John Senden,111,77.21,803,1040
42,43,43,Carlos Franco,99,77.18,619,802
43,44,44,Woody Austin,107,77.0,693,900
44,45,45,Jerry Kelly,108,76.91,786,1022
45,46,46,Robert Gamez,114,76.88,808,1051
46,47,47,Carl Pettersson,80,76.83,534,695
47,48,48,Tom Gillis,71,76.81,520,677
48,49,49,Bob Estes,92,76.8,672,875
49,50,50,Kent Jones,74,76.69,523,682
50,51,51,Justin Leonard,80,76.64,548,715
51,52,52,David Peoples,96,76.62,721,941
52,53,53,Thomas Levet,85,76.5,560,732
53,54,54,Steve Flesch,110,76.48,738,965
54,55,55,Spike McRoy,103,76.42,742,971
55,56,56,Aaron Barber,94,76.37,685,897
56,T57,T57,Brent Geiberger,51,76.35,326,427
57,T57,T57,Neal Lancaster,110,76.35,694,909
58,59,59,Per-Ulrik Johansson,96,76.32,680,891
59,60,60,John Riegger,55,76.31,393,515
60,61,61,Tim Petrovic,108,76.11,739,971
61,T62,T62,Chris DiMarco,98,76.05,670,881
62,T62,T62,Billy Mayfair,105,76.05,794,1044
63,T64,T64,Glen Day,103,76.0,757,996
64,T64,T64,Kirk Triplett,92,76.0,687,904
65,66,66,Harrison Frazar,88,75.97,604,795
66,T67,T67,Darren Clarke,61,75.91,375,494
67,T67,T67,Brenden Pappas,105,75.91,643,847
68,69,69,Luke Donald,88,75.9,655,863
69,70,70,Fred Couples,71,75.84,408,538
70,71,71,Mike Weir,80,75.79,501,661
71,T72,T72,Brian Bateman,70,75.78,463,611
72,T72,T72,Rocco Mediate,80,75.78,582,768
73,T74,T74,Tommy Armour III,66,75.75,456,602
74,T74,T74,Brent Schwarzrock,60,75.75,406,536
75,76,76,Cameron Beckman,86,75.74,590,779
76,T77,T77,Jeff Brehaut,110,75.73,777,1026
77,T77,T77,J.L. Lewis,99,75.73,677,894
78,79,79,Sergio Garcia,62,75.65,348,460
79,80,80,Stewart Cink,104,75.64,624,825
80,81,81,Pat Bates,111,75.54,806,1067
81,82,82,Paul Gow,62,75.52,401,531
