,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Hank Kuehne,73,138.4,2296596.0,461
1,2,2,John Daly,56,139.9,1637038.0,325
2,3,3,Craig Perks,82,141.1,2555176.0,503
3,4,4,Phil Mickelson,87,141.2,2027621.0,399
4,T5,T5,Deane Pappas,75,142.2,2575425.0,503
5,T5,T5,Kenneth Staton,59,142.2,2175375.0,425
6,7,7,Adam Scott,52,142.4,1378685.0,269
7,8,8,Sergio Garcia,62,142.6,1386029.0,270
8,T9,T9,Tommy Armour III,66,142.8,2266657.0,441
9,T9,T9,Vijay Singh,106,142.8,3135094.0,610
10,11,11,Ty Tryon,52,143.0,1626278.0,316
11,T12,T12,Fred Couples,71,143.4,1682442.0,326
12,T12,T12,John Morgan,81,143.4,2812719.0,545
13,T12,T12,Rod Pampling,87,143.4,2761661.0,535
14,15,15,Todd Barranger,78,143.6,2490967.0,482
15,16,16,Craig Barlow,95,144.0,3354492.0,647
16,T17,T17,Stuart Appleby,90,144.7,2760817.0,530
17,T17,T17,Jason Caron,74,144.7,2657281.0,510
18,T17,T17,Mike Sposa,72,144.7,2739581.0,526
19,20,20,Brian Henninger,56,144.8,2142689.0,411
20,21,21,John Huston,76,144.9,2670794.0,512
21,22,22,Brenden Pappas,105,145.1,3625856.0,694
22,T23,T23,Marco Dawson,86,145.3,2865546.0,548
23,T23,T23,John Riegger,55,145.3,2034537.0,389
24,T23,T23,Jay Williamson,93,145.3,3644759.0,697
25,26,26,Chris Smith,92,145.4,2982721.0,570
26,27,27,Patrick Sheehan,101,145.5,3782764.0,722
27,28,28,Brett Quigley,92,145.8,3244107.0,618
28,29,29,Neal Lancaster,110,146.0,4184753.0,796
