,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Davis Love III,85,37.06,53,143,-52,52 Under
1,2,2,Darren Clarke,61,35.35,35,99,-40,40 Under
2,3,3,Retief Goosen,69,33.87,42,124,-46,46 Under
3,4,4,Jason Gore,83,32.21,48,149,-47,47 Under
4,5,5,Tiger Woods,74,32.17,46,143,-53,53 Under
5,6,6,Fred Couples,71,32.1,26,81,-25,25 Under
6,7,7,Jonathan Kaye,91,31.69,45,142,-49,49 Under
7,8,8,Vijay Singh,106,31.55,65,206,-67,67 Under
8,9,9,Lee Janzen,83,31.19,34,109,-41,41 Under
9,10,10,K.J. Choi,112,31.07,55,177,-62,62 Under
10,11,11,Paul Stankowski,67,31.01,40,129,-44,44 Under
11,12,12,Robert Gamez,114,30.92,64,207,-68,68 Under
12,13,13,Stephen Ames,91,30.46,46,151,-48,48 Under
13,14,14,Brian Bateman,70,30.4,38,125,-40,40 Under
14,15,15,Sergio Garcia,62,30.0,27,90,-28,28 Under
15,16,16,Steve Flesch,110,29.89,55,184,-54,54 Under
16,17,17,Hank Kuehne,73,29.76,61,205,-63,63 Under
17,18,18,Nick Price,65,29.73,22,74,-22,22 Under
18,19,19,Kenneth Staton,59,29.57,34,115,-30,30 Under
19,20,20,Adam Scott,52,29.51,18,61,-21,21 Under
20,21,21,Jonathan Byrd,101,29.47,56,190,-55,55 Under
21,22,22,Briny Baird,113,29.44,53,180,-54,54 Under
22,23,23,Duffy Waldorf,90,29.41,45,153,-44,44 Under
23,24,24,Robert Allenby,87,29.33,44,150,-46,46 Under
24,25,25,Mike Heinen,89,29.19,61,209,-55,55 Under
25,26,26,John Morgan,81,29.17,49,168,-51,51 Under
26,27,27,J.J. Henry,100,29.08,57,196,-63,63 Under
27,28,28,Ian Leggatt,71,28.79,38,132,-33,33 Under
28,29,29,Stewart Cink,104,28.67,41,143,-40,40 Under
29,30,30,Brent Geiberger,51,28.57,24,84,-24,24 Under
30,31,31,David Toms,90,28.46,37,130,-37,37 Under
31,32,32,Ernie Els,65,28.42,27,95,-33,33 Under
32,33,33,Shigeki Maruyama,87,28.18,31,110,-37,37 Under
33,34,34,Tom Lehman,87,28.15,38,135,-41,41 Under
34,35,35,Kent Jones,74,28.13,36,128,-35,35 Under
35,36,36,Phil Mickelson,87,28.0,35,125,-37,37 Under
36,37,37,Craig Barlow,95,27.87,51,183,-54,54 Under
37,38,38,Kenny Perry,98,27.81,42,151,-40,40 Under
38,39,39,Chad Campbell,105,27.75,48,173,-57,57 Under
39,40,40,Steve Allan,53,27.72,28,101,-23,23 Under
40,41,41,Harrison Frazar,88,27.68,49,177,-50,50 Under
41,42,42,Jeff Brehaut,110,27.65,60,217,-58,58 Under
42,43,43,Patrick Sheehan,101,27.49,47,171,-54,54 Under
43,44,44,David Sutherland,77,27.46,39,142,-40,40 Under
44,45,45,Joey Sindelar,93,27.27,45,165,-44,44 Under
45,46,46,Shaun Micheel,97,27.22,43,158,-46,46 Under
46,47,47,John Senden,111,27.19,59,217,-58,58 Under
47,48,48,Cliff Kresge,102,27.12,48,177,-53,53 Under
48,T49,T49,Bob Estes,92,27.1,29,107,-30,30 Under
49,T49,T49,Bob Tway,89,27.1,42,155,-45,45 Under
50,51,51,Jim Furyk,104,27.01,37,137,-44,44 Under
51,52,52,Tommy Armour III,66,27.0,27,100,-30,30 Under
52,53,53,Carlos Franco,99,26.97,65,241,-67,67 Under
53,54,54,Peter Lonard,96,26.9,39,145,-40,40 Under
54,55,55,Brenden Pappas,105,26.79,56,209,-60,60 Under
55,56,56,Mike Grob,83,26.76,38,142,-37,37 Under
56,57,57,Todd Barranger,78,26.75,42,157,-48,48 Under
57,58,58,Geoff Ogilvy,86,26.62,41,154,-41,41 Under
58,59,59,Kirk Triplett,92,26.32,35,133,-36,36 Under
59,60,60,Brent Schwarzrock,60,26.28,36,137,-29,29 Under
60,61,61,Deane Pappas,75,26.22,43,164,-39,39 Under
61,62,62,Steve Stricker,59,26.14,23,88,-22,22 Under
62,63,63,Vance Veazey,66,26.09,30,115,-30,30 Under
63,64,64,Chris Smith,92,25.97,47,181,-47,47 Under
64,T65,T65,Tim Clark,79,25.93,21,81,-22,22 Under
65,T65,T65,Hal Sutton,81,25.93,28,108,-30,30 Under
66,67,67,Per-Ulrik Johansson,96,25.86,45,174,-45,45 Under
67,68,68,Aaron Baddeley,71,25.83,31,120,-31,31 Under
68,69,69,Tim Herron,102,25.82,47,182,-44,44 Under
69,70,70,Steve Lowery,86,25.53,36,141,-40,40 Under
70,71,71,Pat Bates,111,25.49,39,153,-39,39 Under
71,72,72,Rich Beem,80,25.38,33,130,-30,30 Under
72,73,73,J.L. Lewis,99,25.31,41,162,-43,43 Under
73,74,74,Jesper Parnevik,102,25.15,43,171,-44,44 Under
74,T75,T75,Matt Gogel,77,25.0,25,100,-24,24 Under
75,T75,T75,David Gossett,92,25.0,42,168,-43,43 Under
76,T75,T75,Darron Stiles,93,25.0,42,168,-47,47 Under
77,T75,T75,Cameron Yancey,58,25.0,26,104,-28,28 Under
78,79,79,Woody Austin,107,24.89,55,221,-55,55 Under
79,80,80,Scott Verplank,97,24.65,35,142,-35,35 Under
80,81,81,Carl Pettersson,80,24.59,30,122,-31,31 Under
81,82,82,Charles Howell III,120,24.51,50,204,-53,53 Under
82,83,83,Jeff Sluman,106,24.5,37,151,-33,33 Under
83,84,84,Mark Calcavecchia,84,24.44,33,135,-30,30 Under
84,85,85,Rory Sabbatini,95,24.36,38,156,-34,34 Under
85,86,86,John Daly,56,24.06,32,133,-36,36 Under
86,87,87,Dicky Pride,73,24.04,25,104,-23,23 Under
87,88,88,Mike Sposa,72,24.0,30,125,-33,33 Under
88,89,89,David Frost,80,23.76,24,101,-26,26 Under
89,90,90,Andy Miller,75,23.72,37,156,-41,41 Under
90,91,91,Greg Chalmers,98,23.67,40,169,-45,45 Under
91,T92,T92,Neal Lancaster,110,23.65,48,203,-54,54 Under
92,T92,T92,Rod Pampling,87,23.65,35,148,-35,35 Under
93,94,94,John Rollins,89,23.58,29,123,-28,28 Under
94,95,95,Arron Oberholser,80,23.57,33,140,-35,35 Under
95,96,96,Mathew Goggin,90,23.38,47,201,-46,46 Under
96,97,97,Craig Perks,82,23.2,29,125,-32,32 Under
97,98,98,Marco Dawson,86,23.19,32,138,-26,26 Under
98,99,99,Bob Burns,88,23.15,25,108,-25,25 Under
99,100,100,Mark O'Meara,69,23.08,12,52,-14,14 Under
100,101,101,John Huston,76,22.95,28,122,-31,31 Under
