,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Lee Janzen,83,68.2,30,44,-6.00
1,2,2,Retief Goosen,69,67.9,19,28,-1.00
2,3,3,Phil Mickelson,87,65.1,28,43,-5.00
3,4,4,Loren Roberts,87,64.7,22,34,-1.00
4,5,5,Mike Heinen,89,62.5,25,40,-6.00
5,6,6,Esteban Toledo,109,61.6,45,73,-4.00
6,7,7,Steve Stricker,59,61.0,25,41,-5.00
7,T8,T8,Vijay Singh,106,60.6,20,33,-4.00
8,T8,T8,Kirk Triplett,92,60.6,20,33,-3.00
9,10,10,Peter Jacobsen,75,60.5,23,38,-6.00
10,11,11,Neal Lancaster,110,59.4,38,64,-8.00
11,12,12,Jeff Brehaut,110,59.3,32,54,-3.00
12,13,13,John Senden,111,58.9,33,56,-10.00
13,14,14,Jay Haas,89,58.5,31,53,-9.00
14,T15,T15,Geoff Ogilvy,86,58.1,18,31,-8.00
15,T15,T15,Kenneth Staton,59,58.1,18,31,-3.00
16,17,17,Brenden Pappas,105,57.9,33,57,-8.00
17,18,18,David Toms,90,57.4,27,47,-10.00
18,T19,T19,Billy Andrade,100,57.1,36,63,-8.00
19,T19,T19,Sergio Garcia,62,57.1,16,28,-7.00
20,T19,T19,Brian Henninger,56,57.1,12,21,-3.00
21,T19,T19,John Riegger,55,57.1,12,21,-4.00
22,23,23,Brett Quigley,92,56.9,29,51,-5.00
23,24,24,Mike Weir,80,56.8,21,37,-4.00
24,25,25,John Huston,76,56.4,22,39,-5.00
25,26,26,Briny Baird,113,56.3,36,64,-6.00
26,T27,T27,Stephen Ames,91,55.7,39,70,-14.00
27,T27,T27,Carlos Franco,99,55.7,34,61,-12.00
28,29,29,Stewart Cink,104,55.4,41,74,-4.00
29,T30,T30,Kenichi Kuboya,91,55.0,22,40,-5.00
30,T30,T30,Frank Lickliter II,94,55.0,22,40,-5.00
31,32,32,Scott McCarron,86,54.8,23,42,-7.00
32,33,33,Craig Perks,82,54.7,35,64,-8.00
33,34,34,Pat Bates,111,54.4,37,68,-2.00
34,35,35,Justin Leonard,80,54.3,19,35,-3.00
35,36,36,Kevin Sutherland,97,54.2,26,48,-5.00
36,T37,T37,Robert Gamez,114,54.1,33,61,-4.00
37,T37,T37,Joey Sindelar,93,54.1,33,61,-10.00
38,T39,T39,Steven Alker,87,53.8,21,39,E
39,T39,T39,David Peoples,96,53.8,21,39,-3.00
40,T39,T39,Adam Scott,52,53.8,7,13,-3.00
41,42,42,Tom Pernice Jr.,105,53.7,44,82,-12.00
42,T43,T43,Jeff Maggert,81,53.6,15,28,-3.00
43,T43,T43,Tim Petrovic,108,53.6,37,69,-19.00
44,45,45,Mike Grob,83,53.3,16,30,-7.00
45,T46,T46,Brian Bateman,70,53.1,17,32,-6.00
46,T46,T46,Jay Don Blake,77,53.1,17,32,-1.00
47,T46,T46,Mathew Goggin,90,53.1,26,49,-3.00
48,T46,T46,Mark O'Meara,69,53.1,17,32,-3.00
49,50,50,John Daly,56,52.9,9,17,-1.00
50,51,51,Cameron Beckman,86,52.7,29,55,-10.00
51,52,52,K.J. Choi,112,52.6,30,57,-9.00
52,T53,T53,Paul Azinger,73,52.5,21,40,-4.00
53,T53,T53,Tom Lehman,87,52.5,21,40,+3.00
54,T55,T55,Chad Campbell,105,52.4,22,42,-5.00
55,T55,T55,Robert Damron,96,52.4,22,42,-2.00
56,T55,T55,Todd Fischer,97,52.4,33,63,-7.00
57,58,58,Steve Lowery,86,52.1,25,48,-6.00
58,59,59,David Frost,80,52.0,26,50,-9.00
59,T60,T60,Olin Browne,113,51.9,27,52,-6.00
60,T60,T60,David Gossett,92,51.9,28,54,-1.00
61,T60,T60,J.L. Lewis,99,51.9,28,54,-6.00
62,T60,T60,Tiger Woods,74,51.9,14,27,-1.00
63,64,64,Davis Love III,85,51.6,16,31,-2.00
64,65,65,Steve Flesch,110,51.5,35,68,-6.00
65,66,66,Bernhard Langer,65,51.4,18,35,-5.00
66,67,67,Jay Williamson,93,51.2,22,43,-6.00
67,68,68,Andrew Magee,91,51.1,23,45,-6.00
68,T69,T69,Scott Laycock,71,51.0,26,51,-4.00
69,T69,T69,Dean Wilson,82,51.0,25,49,-5.00
70,71,71,Cliff Kresge,102,50.9,29,57,-5.00
71,72,72,Patrick Sheehan,101,50.7,35,69,-7.00
72,T73,T73,Doug Barron,90,50.0,23,46,-5.00
73,T73,T73,Alex Cejka,98,50.0,19,38,E
74,T73,T73,Tim Clark,79,50.0,18,36,-3.00
75,T73,T73,Ernie Els,65,50.0,13,26,-1.00
76,T73,T73,Harrison Frazar,88,50.0,20,40,-3.00
77,T73,T73,Brent Geiberger,51,50.0,18,36,-3.00
78,T73,T73,J.P. Hayes,79,50.0,23,46,-6.00
79,T73,T73,Charles Howell III,120,50.0,29,58,-8.00
80,T73,T73,Rod Pampling,87,50.0,23,46,-5.00
81,T82,T82,Mark Calcavecchia,84,49.1,27,55,-6.00
82,T82,T82,Dan Forsman,98,49.1,26,53,-3.00
83,T84,T84,Skip Kendall,110,48.9,22,45,-5.00
84,T84,T84,Thomas Levet,85,48.9,23,47,-3.00
85,T84,T84,John Maginnes,87,48.9,23,47,E
86,T87,T87,Paul Gow,62,48.6,17,35,-7.00
87,T87,T87,Glen Hnatiuk,92,48.6,18,37,-5.00
88,89,89,Fred Couples,71,48.5,16,33,-2.00
89,90,90,Dicky Pride,73,48.3,14,29,+1.00
90,T91,T91,Hank Kuehne,73,48.0,12,25,-4.00
91,T91,T91,Billy Mayfair,105,48.0,24,50,-2.00
92,93,93,Paul Goydos,86,47.7,21,44,-9.00
93,T94,T94,Ben Curtis,69,47.5,19,40,-1.00
94,T94,T94,Jerry Kelly,108,47.5,19,40,-2.00
95,96,96,Bob Tway,89,47.4,18,38,-7.00
96,T97,T97,J.J. Henry,100,47.3,26,55,-3.00
97,T97,T97,Carl Paulson,101,47.3,26,55,-3.00
98,T99,T99,Bob Burns,88,47.2,17,36,-5.00
99,T99,T99,Per-Ulrik Johansson,96,47.2,25,53,-4.00
100,T99,T99,Ian Leggatt,71,47.2,17,36,-2.00
101,T102,T102,Robert Allenby,87,47.1,8,17,-4.00
102,T102,T102,Glen Day,103,47.1,24,51,-9.00
103,T104,T104,Rory Sabbatini,95,46.9,23,49,+1.00
104,T104,T104,Hidemichi Tanaka,112,46.9,23,49,-2.00
105,T106,T106,Joe Durant,96,46.8,22,47,-4.00
106,T106,T106,Matt Gogel,77,46.8,22,47,-6.00
107,T106,T106,Chris Smith,92,46.8,22,47,-1.00
108,109,109,Jason Caron,74,46.4,26,56,+1.00
109,T110,T110,Marco Dawson,86,46.3,25,54,-4.00
110,T110,T110,Jonathan Kaye,91,46.3,19,41,-8.00
111,T110,T110,Shaun Micheel,97,46.3,31,67,-4.00
112,T113,T113,Brad Elder,51,46.2,6,13,-1.00
113,T113,T113,Jeff Sluman,106,46.2,24,52,-2.00
114,115,115,Bob Estes,92,45.9,17,37,-3.00
115,T116,T116,Brian Gay,100,45.8,27,59,-7.00
116,T116,T116,Jason Gore,83,45.8,22,48,-2.00
117,T116,T116,Corey Pavin,88,45.8,11,24,E
118,119,119,Greg Chalmers,98,45.7,32,70,-10.00
119,T120,T120,Brad Faxon,97,45.6,31,68,-8.00
120,T120,T120,Gene Sauers,87,45.6,26,57,-3.00
121,T122,T122,Darron Stiles,93,45.5,20,44,-1.00
122,T122,T122,Kaname Yokoo,56,45.5,10,22,-1.00
123,124,124,Duffy Waldorf,90,45.3,24,53,-4.00
124,125,125,Craig Barlow,95,45.0,27,60,-8.00
125,126,126,Mark Wilson,82,44.9,22,49,-6.00
126,127,127,Chris Riley,96,44.6,25,56,-3.00
127,T128,T128,José Coceres,62,44.4,12,27,-5.00
128,T128,T128,Paul Stankowski,67,44.4,16,36,-7.00
129,130,130,Aaron Baddeley,71,43.9,18,41,-6.00
130,131,131,Kenny Perry,98,43.8,14,32,E
131,T132,T132,Stuart Appleby,90,43.3,26,60,-6.00
132,T132,T132,Jim Carter,95,43.3,26,60,-4.00
133,T132,T132,Tom Gillis,71,43.3,13,30,-5.00
134,135,135,Jesper Parnevik,102,43.2,19,44,-5.00
135,T136,T136,Jonathan Byrd,101,43.1,22,51,-3.00
136,T136,T136,Anthony Painter,87,43.1,22,51,-4.00
