,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Mark O'Meara,69,"37' 8""",70,2636.5,+9.00
1,2,2,Mark Calcavecchia,84,"38' 0""",100,3796.583,+7.00
2,3,3,Stewart Cink,104,"38' 2""",134,5119.5,+8.00
3,T4,T4,Craig Perks,82,"38' 5""",104,3995.0,+26.00
4,T4,T4,Duffy Waldorf,90,"38' 5""",97,3726.25,+7.00
5,6,6,Tom Gillis,71,"39' 3""",74,2901.417,E
6,7,7,Jonathan Kaye,91,"39' 5""",130,5118.917,+24.00
7,8,8,Neal Lancaster,110,"39' 9""",172,6833.1669999999995,+14.00
8,T9,T9,Todd Barranger,78,"39' 10""",106,4224.917,+29.00
9,T9,T9,Thomas Levet,85,"39' 10""",114,4540.667,+15.00
10,T9,T9,Jay Williamson,93,"39' 10""",101,4025.0,+18.00
11,T12,T12,Per-Ulrik Johansson,96,"39' 11""",107,4270.833,+16.00
12,T12,T12,Skip Kendall,110,"39' 11""",92,3675.333,+11.00
13,T14,T14,Joe Durant,96,"40' 0""",73,2917.25,+12.00
14,T14,T14,Geoff Ogilvy,86,"40' 0""",115,4601.417,+8.00
15,16,16,Woody Austin,107,"40' 5""",153,6188.75,+1.00
16,17,17,Tim Clark,79,"40' 6""",60,2431.417,+14.00
17,18,18,Robert Damron,96,"40' 8""",86,3494.083,+18.00
18,19,19,Tommy Armour III,66,"40' 9""",78,3177.667,+7.00
19,T20,T20,Chad Campbell,105,"40' 10""",118,4820.333,+11.00
20,T20,T20,Kent Jones,74,"40' 10""",78,3186.5,-4.00
21,T20,T20,Chris Riley,96,"40' 10""",107,4369.333,+12.00
22,T23,T23,Marco Dawson,86,"41' 0""",100,4096.75,+15.00
23,T23,T23,Vance Veazey,66,"41' 0""",113,4628.5,+20.00
24,T25,T25,Harrison Frazar,88,"41' 1""",92,3780.583,+5.00
25,T25,T25,Spike McRoy,103,"41' 1""",137,5631.9169999999995,+19.00
26,27,27,Brandt Jobe,77,"41' 2""",79,3252.083,-7.00
27,T28,T28,Davis Love III,85,"41' 4""",89,3681.0,+15.00
28,T28,T28,Joey Sindelar,93,"41' 4""",105,4338.167,+16.00
29,T30,T30,Ian Leggatt,71,"41' 5""",93,3850.083,+14.00
30,T30,T30,Steve Lowery,86,"41' 5""",91,3768.25,+11.00
31,T32,T32,Paul Gow,62,"41' 6""",72,2987.583,+5.00
32,T32,T32,Hidemichi Tanaka,112,"41' 6""",122,5066.667,+20.00
33,T32,T32,Scott Verplank,97,"41' 6""",69,2864.75,+11.00
34,35,35,Brian Gay,100,"41' 7""",104,4325.75,+12.00
35,T36,T36,Jason Buha,61,"41' 8""",72,2998.417,+11.00
36,T36,T36,Tom Pernice Jr.,105,"41' 8""",126,5246.9169999999995,+11.00
37,T36,T36,Adam Scott,52,"41' 8""",56,2334.833,+11.00
38,39,39,Tom Byrum,97,"41' 10""",100,4179.333,+16.00
39,T40,T40,Pat Bates,111,"42' 0""",109,4581.667,+2.00
40,T40,T40,Dicky Pride,73,"42' 0""",87,3653.583,+15.00
41,T42,T42,Carlos Franco,99,"42' 2""",175,7378.1669999999995,+9.00
42,T42,T42,Frank Lickliter II,94,"42' 2""",114,4807.917,+25.00
43,T44,T44,Cameron Beckman,86,"42' 4""",119,5033.667,+19.00
44,T44,T44,Jay Don Blake,77,"42' 4""",84,3558.667,+25.00
45,T44,T44,David Gossett,92,"42' 4""",116,4914.417,+15.00
46,T44,T44,Charles Howell III,120,"42' 4""",128,5423.5,+5.00
47,T44,T44,John Huston,76,"42' 4""",96,4064.75,+13.00
48,T44,T44,Phil Mickelson,87,"42' 4""",124,5253.0,-5.00
49,T50,T50,Briny Baird,113,"42' 5""",130,5516.9169999999995,+1.00
50,T50,T50,Tim Petrovic,108,"42' 5""",130,5515.4169999999995,+11.00
51,52,52,Aaron Baddeley,71,"42' 9""",100,4274.75,+1.00
52,T53,T53,Rich Beem,80,"42' 10""",107,4578.75,+22.00
53,T53,T53,Hal Sutton,81,"42' 10""",79,3381.917,+13.00
54,55,55,John Rollins,89,"42' 11""",77,3302.333,+18.00
55,T56,T56,Rod Pampling,87,"43' 2""",88,3798.917,+16.00
56,T56,T56,Carl Paulson,101,"43' 2""",130,5614.9169999999995,+27.00
57,T56,T56,Vijay Singh,106,"43' 2""",101,4356.333,-2.00
58,T59,T59,Bob Burns,88,"43' 3""",101,4365.333,+29.00
59,T59,T59,Steve Flesch,110,"43' 3""",145,6274.5830000000005,+18.00
60,T59,T59,Andy Miller,75,"43' 3""",119,5148.833,+10.00
61,62,62,Retief Goosen,69,"43' 4""",68,2944.333,+6.00
62,T63,T63,Paul Azinger,73,"43' 5""",108,4689.0,+16.00
63,T63,T63,Gavin Coles,69,"43' 5""",48,2085.25,+14.00
64,T63,T63,Donnie Hammond,92,"43' 5""",101,4382.25,+14.00
65,T63,T63,Arron Oberholser,80,"43' 5""",124,5379.4169999999995,+15.00
66,T63,T63,Gene Sauers,87,"43' 5""",104,4515.583,+24.00
67,T68,T68,Brian Bateman,70,"43' 6""",98,4263.667,+10.00
68,T68,T68,J.P. Hayes,79,"43' 6""",82,3566.75,+22.00
69,T68,T68,Peter Jacobsen,75,"43' 6""",71,3085.75,+16.00
70,T71,T71,Jason Caron,74,"43' 7""",103,4485.25,+9.00
71,T71,T71,Brenden Pappas,105,"43' 7""",142,6192.25,+19.00
72,73,73,Kirk Triplett,92,"43' 8""",89,3884.667,+10.00
73,T74,T74,Stuart Appleby,90,"43' 9""",121,5289.5830000000005,+14.00
74,T74,T74,José Coceres,62,"43' 9""",54,2360.333,+11.00
75,T74,T74,Carl Pettersson,80,"43' 9""",104,4547.0,+11.00
76,T74,T74,Nick Price,65,"43' 9""",62,2713.417,+3.00
77,T78,T78,Stephen Ames,91,"43' 10""",116,5085.667,+17.00
78,T78,T78,Jonathan Byrd,101,"43' 10""",103,4515.333,+23.00
79,T80,T80,Jeff Brehaut,110,"43' 11""",146,6413.5,+31.00
80,T80,T80,Scott Laycock,71,"43' 11""",78,3426.583,+8.00
81,T80,T80,Ty Tryon,52,"43' 11""",75,3292.833,+6.00
