,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Ty Tryon,52,133.1,536554.0,112
1,2,2,Phil Mickelson,87,134.9,621724.0,128
2,3,3,Sergio Garcia,62,135.2,442834.0,91
3,4,4,Hank Kuehne,73,135.4,633870.0,130
4,5,5,Todd Barranger,78,135.5,926740.0,190
5,6,6,Brian Henninger,56,136.7,570912.0,116
6,7,7,Stuart Appleby,90,137.5,698123.0,141
7,8,8,Greg Chalmers,98,138.0,1052915.0,212
8,9,9,Brian Gay,100,138.1,914728.0,184
9,10,10,Peter Lonard,96,138.3,791652.0,159
10,11,11,Rich Beem,80,138.8,704796.0,141
11,T12,T12,Brad Elder,51,138.9,540055.0,108
12,T12,T12,Mike Sposa,72,138.9,710274.0,142
13,14,14,Craig Barlow,95,139.2,926827.0,185
14,15,15,Deane Pappas,75,139.3,706836.0,141
15,16,16,Paul Stankowski,67,139.9,680061.0,135
16,17,17,Vijay Singh,106,140.0,569351.0,113
17,18,18,Brent Geiberger,51,140.1,433826.0,86
18,19,19,Tim Herron,102,140.5,895003.0,177
19,T20,T20,John Daly,56,140.6,561749.0,111
20,T20,T20,Jason Gore,83,140.6,891042.0,176
21,T22,T22,Brent Schwarzrock,60,140.7,577621.0,114
22,T22,T22,Jay Williamson,93,140.7,891435.0,176
23,T24,T24,Robert Gamez,114,141.0,989868.0,195
24,T24,T24,Steve Lowery,86,141.0,715496.0,141
25,26,26,Kent Jones,74,141.1,589110.0,116
26,27,27,Andy Miller,75,141.4,860100.0,169
27,28,28,Ian Leggatt,71,141.5,687839.0,135
28,29,29,Cliff Kresge,102,141.6,841250.0,165
29,T30,T30,Steve Allan,53,141.8,525793.0,103
30,T30,T30,Brian Bateman,70,141.8,668746.0,131
31,T30,T30,Lee Janzen,83,141.8,668817.0,131
32,33,33,Cameron Beckman,86,141.9,791740.0,155
33,34,34,Mark Calcavecchia,84,142.1,711302.0,139
34,35,35,Tommy Armour III,66,142.2,634814.0,124
35,36,36,Stephen Ames,91,142.5,785106.0,153
36,37,37,Peter Jacobsen,75,142.7,693481.0,135
37,38,38,Charles Howell III,120,143.0,818364.0,159
38,39,39,Dean Wilson,82,143.2,752767.0,146
39,40,40,Brett Quigley,92,143.4,784816.0,152
40,41,41,Carl Pettersson,80,143.5,893568.0,173
41,T42,T42,K.J. Choi,112,143.6,925618.0,179
42,T42,T42,Neal Lancaster,110,143.6,1023434.0,198
