,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Mark Brooks,90,147.3,986547.0,186
1,2,2,Tim Clark,79,149.5,979714.0,182
2,3,3,J.P. Hayes,79,151.0,1081918.0,199
3,4,4,Gavin Coles,69,151.8,606767.0,111
4,5,5,Aaron Barber,94,152.7,1292000.0,235
5,6,6,David Frost,80,152.9,1211261.0,220
6,7,7,Paul Goydos,86,153.3,1291473.0,234
7,8,8,Loren Roberts,87,154.8,980534.0,176
8,9,9,Jeff Klein,60,155.7,666889.0,119
9,10,10,Luke Donald,88,155.8,1234303.0,220
10,11,11,Ben Curtis,69,156.1,831846.0,148
11,12,12,Joel Edwards,60,156.4,850338.0,151
12,13,13,Jay Williamson,93,156.6,1228763.0,218
13,14,14,Steve Lowery,86,156.9,1101345.0,195
14,15,15,Steven Alker,87,157.1,1046571.0,185
15,16,16,Hal Sutton,81,157.2,1137464.0,201
16,17,17,John Maginnes,87,157.4,1031390.0,182
17,18,18,Rory Sabbatini,95,157.5,1264609.0,223
18,19,19,Brian Henninger,56,157.6,777157.0,137
19,20,20,Bernhard Langer,65,157.8,789494.0,139
20,21,21,Mark Wilson,82,157.9,1051425.0,185
21,T22,T22,Skip Kendall,110,158.1,1650842.0,290
22,T22,T22,Chris Riley,96,158.1,1189513.0,209
23,T24,T24,Glen Day,103,158.9,1716510.0,300
24,T24,T24,Peter Jacobsen,75,158.9,1041059.0,182
25,26,26,Heath Slocum,101,159.1,1523843.0,266
26,T27,T27,Bob Burns,88,159.3,957416.0,167
27,T27,T27,Matt Kuchar,63,159.3,843180.0,147
28,29,29,Dudley Hart,66,159.5,832365.0,145
29,T30,T30,Olin Browne,113,159.6,1580422.0,275
30,T30,T30,Donnie Hammond,92,159.6,1224055.0,213
31,32,32,Mark O'Meara,69,159.9,690715.0,120
32,33,33,Jim Furyk,104,160.1,1504036.0,261
33,34,34,Brent Geiberger,51,160.6,751419.0,130
34,T35,T35,Richard Johnson,89,160.7,1191626.0,206
35,T35,T35,Len Mattiace,94,160.7,1134037.0,196
36,37,37,Rod Pampling,87,160.8,1267989.0,219
37,38,38,Hank Kuehne,73,161.0,1274786.0,220
38,T39,T39,Chris Anderson,96,161.2,1334777.0,230
39,T39,T39,Michael Clark II,54,161.2,824174.0,142
40,T39,T39,Shigeki Maruyama,87,161.2,1189782.0,205
41,42,42,Fred Funk,112,161.3,1561832.0,269
42,43,43,Darron Stiles,93,161.5,1308025.0,225
43,T44,T44,Tommy Armour III,66,161.7,972232.0,167
44,T44,T44,Bob Estes,92,161.7,1350879.0,232
45,T46,T46,Brad Faxon,97,161.9,1293831.0,222
46,T46,T46,Brian Gay,100,161.9,1305866.0,224
47,48,48,Pat Bates,111,162.0,1586181.0,272
48,49,49,Scott Verplank,97,162.1,1499316.0,257
49,50,50,Rocco Mediate,80,162.3,1080941.0,185
50,51,51,Matt Gogel,77,162.5,947527.0,162
51,T52,T52,Briny Baird,113,162.7,1716365.0,293
52,T52,T52,John Rollins,89,162.7,1182986.0,202
53,T54,T54,Stewart Cink,104,162.8,1658809.0,283
54,T54,T54,Jeff Maggert,81,162.8,1201831.0,205
55,56,56,Akio Sadakata,83,162.9,1114196.0,190
56,57,57,Scott Laycock,71,163.0,956530.0,163
57,58,58,Doug Barron,90,163.1,1303612.0,222
58,59,59,David Peoples,96,163.3,1381611.0,235
59,T60,T60,Glen Hnatiuk,92,163.4,1252687.0,213
60,T60,T60,Jeff Sluman,106,163.4,1494163.0,254
61,62,62,Frank Lickliter II,94,163.5,1282768.0,218
62,T63,T63,Mark Calcavecchia,84,163.6,1348585.0,229
63,T63,T63,John Huston,76,163.6,1360110.0,231
64,65,65,Adam Scott,52,163.9,655037.0,111
65,66,66,Ernie Els,65,164.2,732900.0,124
66,67,67,Cameron Beckman,86,164.4,1390977.0,235
67,T68,T68,Dan Forsman,98,164.5,1415243.0,239
68,T68,T68,Shaun Micheel,97,164.5,1468439.0,248
69,70,70,Andrew Magee,91,164.6,1345217.0,227
70,71,71,Tom Gillis,71,164.9,1044810.0,176
71,72,72,Dicky Pride,73,165.1,1034444.0,174
72,73,73,Vance Veazey,66,165.2,939596.0,158
73,T74,T74,John Daly,56,165.3,719885.0,121
74,T74,T74,Joe Durant,96,165.3,1380668.0,232
75,T76,T76,Woody Austin,107,165.6,1758845.0,295
76,T76,T76,Alex Cejka,98,165.6,1240370.0,208
77,T76,T76,Esteban Toledo,109,165.6,1537801.0,258
78,79,79,Vijay Singh,106,165.7,1717750.0,288
79,80,80,Rich Beem,80,165.8,955069.0,160
80,T81,T81,Stephen Ames,91,165.9,1689831.0,283
81,T81,T81,Tom Byrum,97,165.9,1271788.0,213
82,T81,T81,Paul Gow,62,165.9,949345.0,159
83,T81,T81,Kenichi Kuboya,91,165.9,1307728.0,219
84,85,85,Fred Couples,71,166.3,856199.0,143
85,86,86,Kenny Perry,98,166.4,1383647.0,231
86,T87,T87,Gene Sauers,87,166.5,1108620.0,185
87,T87,T87,Kaname Yokoo,56,166.5,743284.0,124
88,89,89,Brian Bateman,70,166.6,1019859.0,170
89,T90,T90,Billy Andrade,100,166.7,1506736.0,251
90,T90,T90,Jonathan Kaye,91,166.7,1254328.0,209
91,T90,T90,Craig Perks,82,166.7,1110003.0,185
92,T90,T90,Patrick Sheehan,101,166.7,1703851.0,284
93,94,94,Todd Fischer,97,166.8,1435236.0,239
94,95,95,Mike Weir,80,166.9,1081310.0,180
95,96,96,Neal Lancaster,110,167.0,1671239.0,278
96,97,97,Tom Pernice Jr.,105,167.2,1637178.0,272
97,T98,T98,Notah Begay III,92,167.3,1295205.0,215
98,T98,T98,Phil Mickelson,87,167.3,1048024.0,174
99,T98,T98,Mike Sposa,72,167.3,1132038.0,188
100,T98,T98,Kirk Triplett,92,167.3,1469658.0,244
101,T102,T102,Stuart Appleby,90,167.5,1368860.0,227
102,T102,T102,John Riegger,55,167.5,801818.0,133
103,104,104,David Toms,90,167.7,1207227.0,200
104,T105,T105,Mike Heinen,89,168.0,1487703.0,246
105,T105,T105,Lee Janzen,83,168.0,1046393.0,173
106,107,107,Steve Flesch,110,168.1,1894444.0,313
107,T108,T108,Jay Don Blake,77,168.2,908395.0,150
108,T108,T108,Peter Lonard,96,168.2,1326468.0,219
109,T110,T110,Jason Caron,74,168.3,902924.0,149
110,T110,T110,David Gossett,92,168.3,1538516.0,254
111,112,112,Spike McRoy,103,168.6,1498978.0,247
112,113,113,K.J. Choi,112,168.7,1543011.0,254
113,114,114,Tim Petrovic,108,168.9,1702178.0,280
114,T115,T115,Harrison Frazar,88,169.1,1448857.0,238
115,T115,T115,Brett Quigley,92,169.1,1394396.0,229
116,117,117,Corey Pavin,88,169.3,1139983.0,187
117,T118,T118,J.L. Lewis,99,169.4,1396306.0,229
118,T118,T118,Chris Smith,92,169.4,1451559.0,238
119,120,120,Jay Haas,89,169.5,1312034.0,215
120,T121,T121,Greg Chalmers,98,169.6,1672678.0,274
121,T121,T121,Sergio Garcia,62,169.6,665387.0,109
122,T123,T123,Carl Pettersson,80,169.8,1307919.0,214
123,T123,T123,Steve Stricker,59,169.8,813015.0,133
124,T123,T123,Garrett Willis,97,169.8,1619775.0,265
125,T126,T126,Chris DiMarco,98,170.0,1578993.0,258
126,T126,T126,Tim Herron,102,170.0,1658456.0,271
127,T126,T126,Geoff Ogilvy,86,170.0,1456656.0,238
128,129,129,Pat Perez,95,170.1,1249212.0,204
129,T130,T130,Jason Buha,61,170.3,827737.0,135
130,T130,T130,Robert Damron,96,170.3,1311734.0,214
131,132,132,Mike Grob,83,170.5,1295314.0,211
132,133,133,Davis Love III,85,170.6,1228465.0,200
133,134,134,Per-Ulrik Johansson,96,170.7,1499675.0,244
134,135,135,Bob Tway,89,170.8,1463445.0,238
135,T136,T136,Jonathan Byrd,101,170.9,1563022.0,254
136,T136,T136,Ben Crane,94,170.9,1489070.0,242
137,138,138,Arron Oberholser,80,171.0,1304964.0,212
138,T139,T139,Thomas Levet,85,171.2,1257581.0,204
139,T139,T139,Nick Price,65,171.2,875242.0,142
140,141,141,Duffy Waldorf,90,171.3,1467503.0,238
141,142,142,Paul Azinger,73,171.4,999866.0,162
142,143,143,Chad Campbell,105,171.5,1672843.0,271
143,144,144,Deane Pappas,75,171.7,1248786.0,202
144,145,145,Hidemichi Tanaka,112,171.8,1793956.0,290
145,146,146,Darren Clarke,61,171.9,810719.0,131
146,147,147,Scott McCarron,86,172.0,1145248.0,185
147,148,148,Andy Miller,75,172.1,1152446.0,186
148,149,149,Billy Mayfair,105,172.2,1574942.0,254
149,150,150,Jim Carter,95,172.3,1315069.0,212
150,151,151,Kent Jones,74,172.4,1266138.0,204
151,T152,T152,Robert Allenby,87,172.5,1360172.0,219
152,T152,T152,Retief Goosen,69,172.5,949863.0,153
153,154,154,Ian Leggatt,71,172.7,976078.0,157
154,T155,T155,Cliff Kresge,102,172.8,1418749.0,228
155,T155,T155,Cameron Yancey,58,172.8,839810.0,135
156,157,157,Charles Howell III,120,173.0,1768631.0,284
157,158,158,Jason Gore,83,173.1,1246115.0,200
158,T159,T159,Justin Leonard,80,173.5,1286733.0,206
159,T159,T159,John Morgan,81,173.5,1223974.0,196
160,T161,T161,Steve Allan,53,173.6,706020.0,113
161,T161,T161,Craig Barlow,95,173.6,1631597.0,261
162,T163,T163,Brad Elder,51,173.7,681613.0,109
163,T163,T163,Brenden Pappas,105,173.7,1757008.0,281
164,165,165,Robert Gamez,114,173.8,2002628.0,320
165,166,166,David Sutherland,77,173.9,1301988.0,208
166,167,167,Jerry Kelly,108,174.1,1716885.0,274
167,168,168,Carl Paulson,101,174.4,1814077.0,289
168,169,169,Jeff Brehaut,110,174.8,1875083.0,298
169,170,170,Todd Barranger,78,174.9,1177351.0,187
170,T171,T171,Brent Schwarzrock,60,175.0,970449.0,154
171,T171,T171,Joey Sindelar,93,175.0,1429712.0,227
172,173,173,Brandt Jobe,77,175.3,1255674.0,199
173,174,174,"Dave Stockton, Jr.",79,175.4,1111622.0,176
174,175,175,Jesper Parnevik,102,175.6,1523119.0,241
175,176,176,Dean Wilson,82,175.9,1304660.0,206
176,177,177,Carlos Franco,99,176.7,1794353.0,282
177,178,178,José Coceres,62,176.8,923010.0,145
178,T179,T179,Marco Dawson,86,176.9,1248468.0,196
179,T179,T179,Kevin Sutherland,97,176.9,1286296.0,202
180,181,181,Paul Stankowski,67,177.0,1184906.0,186
181,182,182,Mathew Goggin,90,177.1,1262575.0,198
182,183,183,Ty Tryon,52,177.2,765405.0,120
183,184,184,Tom Lehman,87,177.7,1228172.0,192
184,T185,T185,Aaron Baddeley,71,177.8,1120392.0,175
185,T185,T185,J.J. Henry,100,177.8,1593911.0,249
186,187,187,John Senden,111,178.8,1866712.0,290
187,188,188,Kenneth Staton,59,179.3,851846.0,132
188,189,189,Anthony Painter,87,180.5,1260317.0,194
189,190,190,Tiger Woods,74,181.7,1288733.0,197
