,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Tim Clark,79,"30' 5""",25397.917,836,101
1,2,2,John Huston,76,"30' 6""",26042.583,854,20
2,3,3,Chad Campbell,105,"31' 5""",33818.167,1076,4
3,4,4,Jim Furyk,104,"31' 7""",31781.667,1007,6
4,5,5,Stewart Cink,104,"31' 10""",35710.667,1121,98
5,6,6,Jay Williamson,93,"32' 0""",34919.083,1091,116
6,7,7,Scott Verplank,97,"32' 2""",33868.083,1054,53
7,8,8,Fred Funk,112,"32' 4""",38859.167,1201,57
8,T9,T9,Joe Durant,96,"32' 5""",33898.917,1047,1
9,T9,T9,Brian Gay,100,"32' 5""",35097.833,1083,163
10,T9,T9,Joey Sindelar,93,"32' 5""",35282.917,1088,17
11,T9,T9,Hal Sutton,81,"32' 5""",28981.25,895,24
12,T13,T13,Luke Donald,88,"32' 6""",33106.083,1018,94
13,T13,T13,Jeff Sluman,106,"32' 6""",35629.5,1096,24
14,T15,T15,Mark Calcavecchia,84,"32' 7""",29231.75,896,126
15,T15,T15,Bob Estes,92,"32' 7""",30998.333,951,60
16,17,17,Briny Baird,113,"32' 8""",41674.333,1277,2
17,18,18,Rod Pampling,87,"32' 9""",28780.25,879,79
18,T19,T19,Kenny Perry,98,"32' 10""",30859.5,939,20
19,T19,T19,Adam Scott,52,"32' 10""",15129.083,461,168
20,T21,T21,Stephen Ames,91,"32' 11""",35214.833,1069,34
21,T21,T21,Skip Kendall,110,"32' 11""",40456.417,1229,72
22,T21,T21,Kirk Triplett,92,"32' 11""",32042.167,973,19
23,T24,T24,Sergio Garcia,62,"33' 0""",15515.5,470,78
24,T24,T24,John Riegger,55,"33' 0""",20044.167,607,38
25,T24,T24,Vijay Singh,106,"33' 0""",33331.917,1011,12
26,T27,T27,Cameron Beckman,86,"33' 1""",33522.917,1013,55
27,T27,T27,Marco Dawson,86,"33' 1""",29165.333,882,32
28,T27,T27,Robert Gamez,114,"33' 1""",42148.75,1273,67
29,T30,T30,Pat Bates,111,"33' 3""",42419.0,1277,37
30,T30,T30,John Maginnes,87,"33' 3""",30587.25,920,147
31,T32,T32,Tommy Armour III,66,"33' 4""",24400.0,732,80
32,T32,T32,Brian Bateman,70,"33' 4""",25701.167,772,53
33,T34,T34,Aaron Barber,94,"33' 5""",36087.333,1081,81
34,T34,T34,Retief Goosen,69,"33' 5""",19029.667,570,9
35,T34,T34,Nick Price,65,"33' 5""",21410.583,641,154
36,T37,T37,Harrison Frazar,88,"33' 6""",33258.583,994,51
37,T37,T37,Chris Riley,96,"33' 6""",31632.0,944,176
38,T39,T39,Bob Burns,88,"33' 7""",30146.75,898,142
39,T39,T39,Glen Day,103,"33' 7""",40788.0,1216,46
40,T39,T39,J.P. Hayes,79,"33' 7""",28828.417,859,83
41,T39,T39,Bernhard Langer,65,"33' 7""",21511.333,641,166
42,T39,T39,Davis Love III,85,"33' 7""",25754.917,766,30
