,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,74,55.56,10,18,E
1,2,2,Chad Campbell,105,55.17,16,29,E
2,3,3,Scott McCarron,86,54.55,12,22,+0.17
3,4,4,Mike Grob,83,52.0,26,50,-0.19
4,5,5,Tim Petrovic,108,51.61,32,62,+0.03
5,6,6,Woody Austin,107,50.0,19,38,-0.26
6,7,7,Kirk Triplett,92,49.21,31,63,-0.03
7,8,8,Joe Durant,96,48.72,19,39,-0.11
8,9,9,Marco Dawson,86,48.28,14,29,+0.14
9,10,10,Stephen Ames,91,47.5,19,40,-0.16
10,11,11,Glen Hnatiuk,92,45.98,40,87,E
11,12,12,Mike Heinen,89,44.44,8,18,+0.13
12,13,13,Matt Kuchar,63,43.86,25,57,-0.04
13,14,14,Cliff Kresge,102,43.75,21,48,+0.05
14,15,15,Scott Verplank,97,43.59,34,78,-0.03
15,16,16,Jason Buha,61,43.33,13,30,-0.08
16,17,17,Nick Price,65,42.86,18,42,-0.06
17,18,18,Tom Gillis,71,41.67,15,36,-0.07
18,19,19,Dean Wilson,82,41.27,26,63,-0.31
19,20,20,Retief Goosen,69,41.18,7,17,-0.29
20,21,21,Billy Mayfair,105,41.07,23,56,E
21,22,22,Mark Calcavecchia,84,41.03,16,39,-0.19
22,23,23,John Senden,111,40.91,27,66,-0.04
23,24,24,José Coceres,62,40.38,21,52,-0.14
24,25,25,Olin Browne,113,40.21,39,97,+0.05
25,T26,T26,J.P. Hayes,79,40.0,22,55,+0.09
26,T26,T26,John Huston,76,40.0,12,30,-0.08
27,T26,T26,Per-Ulrik Johansson,96,40.0,22,55,+0.05
28,T26,T26,Kent Jones,74,40.0,12,30,E
29,30,30,Brian Bateman,70,39.29,11,28,-0.09
30,T31,T31,Jeff Brehaut,110,39.22,20,51,+0.10
31,T31,T31,Fred Funk,112,39.22,40,102,+0.08
32,T31,T31,J.L. Lewis,99,39.22,20,51,+0.10
