,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Joe Durant,96,72.86,1259,1728,-0.24
1,2,2,Briny Baird,113,72.17,1416,1962,-0.27
2,3,3,Dan Forsman,98,71.88,1268,1764,-0.24
3,4,4,Chad Campbell,105,71.79,1318,1836,-0.28
4,5,5,Tom Lehman,87,70.51,1028,1458,-0.27
5,6,6,Jim Furyk,104,70.3,1278,1818,-0.3
6,7,7,John Senden,111,69.97,1335,1908,-0.25
7,8,8,Mike Heinen,89,69.86,1094,1566,-0.28
8,9,9,Retief Goosen,69,69.79,804,1152,-0.3
9,10,10,David Sutherland,77,69.75,904,1296,-0.24
10,11,11,Bob Tway,89,69.74,1067,1530,-0.27
11,12,12,Vijay Singh,106,69.47,1263,1818,-0.33
12,13,13,David Peoples,96,69.36,1186,1710,-0.25
13,14,14,Paul Stankowski,67,69.32,836,1206,-0.31
14,15,15,Robert Allenby,87,69.31,998,1440,-0.28
15,16,16,Jeff Brehaut,110,69.29,1322,1908,-0.26
16,17,17,Joey Sindelar,93,69.17,1133,1638,-0.24
17,18,18,Chris Smith,92,68.96,1142,1656,-0.25
18,19,19,Kirk Triplett,92,68.91,1104,1602,-0.27
19,T20,T20,J.J. Henry,100,68.81,1189,1728,-0.24
20,T20,T20,John Huston,76,68.81,929,1350,-0.33
21,T20,T20,Kenny Perry,98,68.81,1189,1728,-0.26
22,23,23,Shaun Micheel,97,68.79,1164,1692,-0.25
23,T24,T24,Jeff Sluman,106,68.75,1287,1872,-0.26
24,T24,T24,Hal Sutton,81,68.75,990,1440,-0.25
25,26,26,Tiger Woods,74,68.63,840,1224,-0.34
26,27,27,Spike McRoy,103,68.54,1246,1818,-0.24
27,28,28,Ernie Els,65,68.52,740,1080,-0.29
28,29,29,Carlos Franco,99,68.5,1196,1746,-0.26
29,30,30,Davis Love III,85,68.45,961,1404,-0.31
30,31,31,David Gossett,92,68.38,1120,1638,-0.26
31,32,32,Marco Dawson,86,68.34,1021,1494,-0.25
32,33,33,Hidemichi Tanaka,112,68.25,1376,2016,-0.26
33,T34,T34,Stephen Ames,91,68.23,1093,1602,-0.31
34,T34,T34,Jerry Kelly,108,68.23,1265,1854,-0.28
35,36,36,Duffy Waldorf,90,68.15,1055,1548,-0.28
36,37,37,Pat Bates,111,68.12,1312,1926,-0.24
37,38,38,John Riegger,55,68.08,625,918,-0.26
38,39,39,Andrew Magee,91,67.99,1077,1584,-0.26
39,40,40,David Toms,90,67.97,991,1458,-0.27
40,41,41,Kent Jones,74,67.95,844,1242,-0.28
41,42,42,Ian Leggatt,71,67.89,831,1224,-0.24
42,43,43,Charles Howell III,120,67.87,1405,2070,-0.27
43,44,44,Kevin Sutherland,97,67.86,1136,1674,-0.27
44,45,45,Mathew Goggin,90,67.84,1038,1530,-0.23
45,46,46,Glen Day,103,67.83,1221,1800,-0.29
46,47,47,Brandt Jobe,77,67.75,939,1386,-0.25
47,48,48,Woody Austin,107,67.64,1254,1854,-0.29
48,49,49,Thomas Levet,85,67.6,1010,1494,-0.22
49,50,50,Tom Gillis,71,67.57,827,1224,-0.25
50,51,51,Harrison Frazar,88,67.52,1033,1530,-0.28
51,52,52,Jonathan Kaye,91,67.49,1069,1584,-0.26
52,T53,T53,Brian Bateman,70,67.42,801,1188,-0.26
53,T53,T53,Scott Verplank,97,67.42,1165,1728,-0.31
54,55,55,Cameron Beckman,86,67.34,1006,1494,-0.28
55,56,56,Rocco Mediate,80,67.32,921,1368,-0.26
56,57,57,Fred Funk,112,67.23,1319,1962,-0.25
57,58,58,Brenden Pappas,105,67.21,1234,1836,-0.31
58,59,59,Heath Slocum,101,67.18,1185,1764,-0.25
59,60,60,Bob Estes,92,67.09,1099,1638,-0.28
60,61,61,Chris DiMarco,98,67.08,1123,1674,-0.32
61,62,62,Peter Jacobsen,75,67.04,905,1350,-0.26
62,63,63,Neal Lancaster,110,66.98,1278,1908,-0.26
63,64,64,Mike Grob,83,66.94,976,1458,-0.25
64,65,65,Craig Barlow,95,66.85,1119,1674,-0.29
65,66,66,Alex Cejka,98,66.73,1093,1638,-0.26
66,T67,T67,K.J. Choi,112,66.67,1248,1872,-0.26
67,T67,T67,Robert Gamez,114,66.67,1356,2034,-0.32
68,69,69,Billy Mayfair,105,66.46,1256,1890,-0.25
69,70,70,Steve Flesch,110,66.35,1266,1908,-0.29
70,71,71,Carl Paulson,101,66.34,1206,1818,-0.28
71,72,72,Skip Kendall,110,66.31,1301,1962,-0.29
72,73,73,Glen Hnatiuk,92,66.29,1062,1602,-0.23
73,74,74,Brent Schwarzrock,60,66.28,680,1026,-0.25
74,75,75,Akio Sadakata,83,66.25,954,1440,-0.23
75,76,76,Olin Browne,113,66.21,1299,1962,-0.26
76,77,77,Michael Clark II,54,66.14,631,954,-0.25
77,78,78,Sergio Garcia,62,66.08,678,1026,-0.26
78,79,79,Rod Pampling,87,66.06,975,1476,-0.31
79,80,80,Tommy Armour III,66,66.05,749,1134,-0.27
80,81,81,Aaron Barber,94,65.95,1104,1674,-0.26
81,82,82,J.L. Lewis,99,65.92,1151,1746,-0.26
82,83,83,J.P. Hayes,79,65.89,937,1422,-0.29
83,84,84,Esteban Toledo,109,65.88,1257,1908,-0.25
