,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Tiger Woods,63,3.092,132.97299999999998,102.345,30.625999999999998,43
1,2,2,Phil Mickelson,73,1.597,83.069,74.94800000000001,8.119,52
2,3,3,Ernie Els,59,1.578,69.44,70.788,-1.345,44
3,4,4,Steve Stricker,81,1.486,96.609,75.67399999999999,20.936999999999998,65
4,5,5,Sergio Garcia,68,1.4609999999999999,80.351,65.563,14.787,55
5,6,6,K.J. Choi,87,1.392,94.67299999999999,59.452,35.22,68
6,7,7,Vijay Singh,102,1.379,113.04299999999999,114.954,-1.911,82
7,8,8,Rory Sabbatini,81,1.265,79.723,45.108999999999995,34.615,63
8,9,9,Adam Scott,69,1.234,66.645,59.652,6.992000000000001,54
9,10,10,Arron Oberholser,69,1.183,62.7,43.495,19.204,53
10,11,11,Sean O'Hair,98,1.1520000000000001,95.648,80.67399999999999,14.974,83
11,12,12,Jim Furyk,84,1.119,73.87,79.322,-5.447,66
12,13,13,Zach Johnson,76,1.074,64.42399999999999,24.883000000000003,39.541,60
13,14,14,Aaron Baddeley,83,1.064,70.23,28.728,41.504,66
14,15,15,Freddie Jacobson,70,1.012,68.84100000000001,23.978,44.863,68
15,16,16,Tim Clark,66,0.988,52.349,15.509,36.839,53
16,T17,T17,Bo Van Pelt,104,0.9490000000000001,92.053,76.516,15.54,97
17,T17,T17,Camilo Villegas,82,0.9490000000000001,65.495,62.323,3.173,69
18,19,19,Scott Verplank,82,0.943,55.614,69.565,-13.949000000000002,59
19,20,20,Luke Donald,69,0.927,46.348,24.471,21.877,50
20,21,21,Padraig Harrington,64,0.9259999999999999,42.583999999999996,30.618000000000002,11.968,46
21,22,22,Ian Poulter,63,0.92,35.878,37.378,-1.499,39
22,23,23,David Toms,80,0.89,56.06399999999999,38.562,17.506,63
23,24,24,Jeff Overton,60,0.882,47.65,44.386,3.264,54
24,25,25,Heath Slocum,101,0.879,81.768,61.281000000000006,20.491,93
25,26,26,Justin Rose,63,0.878,34.225,31.831999999999997,2.394,39
26,27,27,Steve Elkington,87,0.83,60.553999999999995,36.873000000000005,23.685,73
27,T28,T28,Geoff Ogilvy,84,0.821,52.571000000000005,47.938,4.635,64
28,T28,T28,Carl Pettersson,111,0.821,75.52199999999999,54.143,21.381,92
29,30,30,Lucas Glover,98,0.731,57.055,48.263000000000005,8.796,78
30,31,31,Alex Cejka,80,0.728,53.85,89.31,-35.455,74
31,32,32,Mike Weir,82,0.711,42.665,60.305,-17.641,60
32,33,33,Anthony Kim,93,0.6729999999999999,53.852,63.534,-9.679,80
33,34,34,Brandt Snedeker,105,0.672,57.81399999999999,13.869000000000002,43.946000000000005,86
