,Round_4_Scoring_Average_RANK THIS WEEK,Round_4_Scoring_Average_RANK LAST WEEK,Round_4_Scoring_Average_PLAYER NAME,Round_4_Scoring_Average_AVG,Round_4_Scoring_Average_TOTAL STROKES,Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,68.8,1032,15
1,2,2,Jonathan Byrd,69.15,899,13
2,3,3,Ian Poulter,69.31,901,13
3,4,4,Anthony Kim,69.55,1391,20
4,5,5,Alex Cejka,69.56,1113,16
5,6,6,Phil Mickelson,69.6,1044,15
6,7,7,Heath Slocum,69.64,1532,22
7,8,8,Bo Van Pelt,69.68,1533,22
8,9,9,Rory Sabbatini,69.71,1185,17
9,10,10,Brandt Snedeker,69.78,1605,23
10,11,11,Ernie Els,69.79,977,14
11,12,12,Pat Perez,69.94,1119,16
12,13,13,Jim Furyk,69.95,1329,19
13,14,14,Robert Allenby,70.06,1191,17
14,15,15,Chris Stroud,70.11,631,9
15,16,16,Billy Mayfair,70.16,1333,19
16,17,17,Hunter Mahan,70.17,1263,18
17,18,18,Jeff Overton,70.18,772,11
18,19,19,Matt Kuchar,70.19,1123,16
19,20,20,Tom Byrum,70.2,351,5
20,21,21,Jeff Sluman,70.22,632,9
21,22,22,Marco Dawson,70.23,913,13
22,23,23,Darron Stiles,70.38,563,8
23,24,24,David Toms,70.39,1267,18
24,T25,T25,Mark Calcavecchia,70.42,1338,19
25,T25,T25,Joe Ogilvie,70.42,1338,19
26,T27,T27,Brett Wetterich,70.44,1127,16
27,T27,T27,Dean Wilson,70.44,1268,18
28,29,29,Vijay Singh,70.46,1691,24
29,30,30,John Senden,70.48,1480,21
30,T31,T31,K.J. Choi,70.5,1269,18
31,T31,T31,Davis Love III,70.5,846,12
32,33,33,Sergio Garcia,70.53,1058,15
33,34,34,Justin Rose,70.57,988,14
34,35,35,Mathew Goggin,70.58,1341,19
35,T36,T36,J.J. Henry,70.59,1200,17
36,T36,T36,Camilo Villegas,70.59,1200,17
37,T38,T38,Daniel Chopra,70.6,1412,20
38,T38,T38,Dicky Pride,70.6,706,10
39,40,40,Jason Gore,70.63,1130,16
40,41,41,Rocco Mediate,70.64,989,14
41,42,42,Woody Austin,70.65,1413,20
42,T43,T43,Bob Heintz,70.67,1060,15
43,T43,T43,Freddie Jacobson,70.67,1060,15
44,T43,T43,Peter Lonard,70.67,1060,15
45,T43,T43,Steve Stricker,70.67,1272,18
46,T47,T47,Lucas Glover,70.71,1485,21
47,T47,T47,Tim Petrovic,70.71,1485,21
48,T49,T49,Ryan Moore,70.72,1273,18
49,T49,T49,Mike Weir,70.72,1273,18
50,51,51,Bart Bryant,70.79,1345,19
51,52,52,Doug LaBelle II,70.84,1346,19
52,53,53,Richard Johnson,70.87,1063,15
53,54,54,Frank Lickliter II,70.89,1276,18
54,55,55,Nathan Green,70.91,1560,22
55,56,56,Andrew Buckle,70.92,851,12
56,T57,T57,Zach Johnson,70.94,1206,17
57,T57,T57,Justin Leonard,70.94,1277,18
58,59,59,Stewart Cink,70.95,1419,20
59,60,60,Ken Duke,70.96,1703,24
60,T61,T61,Tim Clark,71.0,994,14
61,T61,T61,Luke Donald,71.0,994,14
62,T61,T61,Padraig Harrington,71.0,994,14
63,T61,T61,Tim Herron,71.0,1562,22
64,T61,T61,Jarrod Lyle,71.0,994,14
65,T66,T66,Rod Pampling,71.05,1492,21
66,T66,T66,Boo Weekley,71.05,1492,21
67,T68,T68,Tommy Armour III,71.06,1137,16
68,T68,T68,Charles Howell III,71.06,1208,17
69,T68,T68,Adam Scott,71.06,1137,16
70,71,71,John Rollins,71.09,1564,22
71,T72,T72,Steve Elkington,71.11,1280,18
72,T72,T72,Michael Sim,71.11,640,9
73,T72,T72,Mark Wilson,71.11,1280,18
74,T75,T75,Stephen Leaney,71.13,1138,16
75,T75,T75,Kevin Na,71.13,1138,16
76,T75,T75,Arron Oberholser,71.13,1138,16
77,T78,T78,Ryan Armour,71.14,1494,21
78,T78,T78,Jerry Kelly,71.14,1565,22
79,T78,T78,Paul Stankowski,71.14,498,7
80,T81,T81,Robert Gamez,71.15,925,13
81,T81,T81,Parker McLachlin,71.15,925,13
82,83,83,Greg Owen,71.17,854,12
83,T84,T84,Mathias Grönberg,71.18,1210,17
84,T84,T84,Jesper Parnevik,71.18,1210,17
85,T84,T84,Kenny Perry,71.18,1210,17
86,T87,T87,Glen Day,71.19,1139,16
87,T87,T87,Sean O'Hair,71.19,1495,21
88,89,89,Chris Couch,71.2,712,10
89,90,90,Paul Gow,71.22,641,9
