,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Phil Mickelson,73,55.56,120,216
1,2,2,Tiger Woods,63,51.7,91,176
2,3,3,Adam Scott,69,51.44,107,208
3,4,4,Mark Calcavecchia,93,49.65,141,284
4,5,5,Bubba Watson,80,49.62,131,264
5,6,6,Jonathan Byrd,73,49.34,113,229
6,7,7,Bill Haas,93,49.0,147,300
7,8,8,Jason Bohn,57,48.59,86,177
8,9,9,Aaron Baddeley,83,48.13,116,241
9,10,10,Pat Perez,84,47.81,109,228
10,11,11,John Daly,59,47.54,87,183
11,12,12,Sergio Garcia,68,47.4,91,192
12,13,13,Nathan Green,103,46.88,150,320
13,14,14,Robert Allenby,90,46.77,123,263
14,15,15,Justin Rose,63,46.63,76,163
15,16,16,Anthony Kim,93,46.59,130,279
16,17,17,Rich Beem,89,46.57,129,277
17,18,18,Vijay Singh,102,46.44,137,295
18,19,19,Nick Watney,87,46.21,128,277
19,20,20,Carl Pettersson,111,46.06,158,343
20,21,21,John Senden,97,45.93,141,307
21,22,22,Vaughn Taylor,91,45.91,129,281
22,23,23,Charles Warren,101,45.85,149,325
23,T24,T24,Ernie Els,59,45.83,77,168
24,T24,T24,Rod Pampling,92,45.83,121,264
25,26,26,Kevin Sutherland,85,45.82,126,275
26,27,27,Craig Barlow,52,45.81,82,179
27,28,28,Steve Marino,106,45.77,157,343
28,29,29,K.J. Choi,87,45.7,117,256
29,30,30,Alex Cejka,80,45.38,118,260
30,31,31,Jesper Parnevik,88,45.26,129,285
31,32,32,J.J. Henry,86,45.02,113,251
32,33,33,Charlie Wi,90,44.78,133,297
33,34,34,Bo Van Pelt,104,44.62,141,316
34,35,35,Kevin Na,84,44.57,123,276
35,T36,T36,Troy Matteson,87,44.44,120,270
36,T36,T36,Jeff Overton,60,44.44,88,198
37,38,38,Charles Howell III,89,44.36,118,266
38,39,39,Lucas Glover,98,44.24,142,321
39,40,40,Charley Hoffman,97,44.16,140,317
40,41,41,Jim Furyk,84,44.13,109,247
41,42,42,J.B. Holmes,71,44.1,101,229
42,43,43,Brett Wetterich,88,44.06,115,261
43,44,44,Hunter Mahan,91,43.89,115,262
44,45,45,Darron Stiles,65,43.75,91,208
45,46,46,Briny Baird,115,43.63,161,369
46,47,47,Johnson Wagner,97,43.34,140,323
47,48,48,D.J. Trahan,99,43.13,135,313
48,49,49,Mathias Grönberg,95,42.99,135,314
49,50,50,Steve Lowery,74,42.97,107,249
50,51,51,Joe Ogilvie,102,42.95,137,319
51,52,52,Sean O'Hair,98,42.9,130,303
52,53,53,Tag Ridings,52,42.86,78,182
53,54,54,Cameron Beckman,96,42.77,136,318
54,55,55,Billy Andrade,88,42.71,126,295
55,56,56,Billy Mayfair,98,42.57,126,296
56,57,57,Tim Petrovic,106,42.55,140,329
57,58,58,Paul Stankowski,52,42.53,74,174
58,59,59,Tom Johnson,74,42.51,105,247
59,60,60,Scott Gutschewski,67,42.2,92,218
60,61,61,John Merrick,92,42.18,124,294
61,62,62,Kenny Perry,83,42.13,107,254
62,63,63,Tom Pernice Jr.,104,42.11,136,323
63,64,64,Davis Love III,66,42.05,82,195
64,65,65,Daniel Chopra,106,42.02,150,357
65,66,66,Brendon de Jonge,76,42.0,105,250
66,67,67,Jerry Kelly,101,41.84,123,294
67,68,68,Steve Stricker,81,41.81,97,232
68,69,69,Bart Bryant,87,41.73,116,278
69,70,70,Steve Wheatcroft,73,41.7,103,247
70,T71,T71,Ryan Moore,92,41.69,123,295
71,T71,T71,John Rollins,102,41.69,128,307
72,73,73,Michael Allen,74,41.67,100,240
73,74,74,Rich Barcelo,80,41.6,109,262
74,75,75,Kent Jones,97,41.59,136,327
75,76,76,Ryuji Imada,104,41.42,140,338
76,T77,T77,Harrison Frazar,88,41.4,118,285
77,T77,T77,Jason Gore,86,41.4,118,285
78,79,79,Ted Purdy,102,41.14,137,333
79,80,80,Craig Bowden,78,41.13,109,265
80,81,81,Matt Hendrix,63,41.04,87,212
81,T82,T82,Brandt Snedeker,105,41.03,128,312
82,T82,T82,Chris Tidland,59,41.03,80,195
83,84,84,Michael Putnam,96,40.94,122,298
84,85,85,Mathew Goggin,97,40.91,126,308
85,86,86,Robert Garrigus,95,40.89,128,313
86,87,87,Heath Slocum,101,40.86,123,301
87,88,88,Stewart Cink,91,40.84,107,262
88,89,89,John Mallinger,96,40.78,126,309
89,T90,T90,Will MacKenzie,100,40.71,127,312
90,T90,T90,Geoff Ogilvy,84,40.71,92,226
91,92,92,J.P. Hayes,89,40.48,119,294
92,93,93,Matt Kuchar,85,40.37,109,270
93,T94,T94,Ryan Palmer,91,40.33,121,300
94,T94,T94,Ian Poulter,63,40.33,73,181
95,96,96,Jason Schultz,63,40.29,83,206
96,T97,T97,Andrew Buckle,77,40.09,93,232
97,T97,T97,Freddie Jacobson,70,40.09,89,222
98,T99,T99,Steve Elkington,87,40.07,109,272
99,T99,T99,Bob Estes,88,40.07,111,277
100,T101,T101,Stuart Appleby,74,40.0,88,220
101,T101,T101,Tim Herron,98,40.0,116,290
102,T101,T101,Kevin Stadler,95,40.0,126,315
103,104,104,Jarrod Lyle,77,39.84,98,246
104,105,105,Paul Gow,70,39.74,91,229
105,106,106,Chris Stroud,66,39.72,85,214
106,107,107,Rory Sabbatini,81,39.66,94,237
107,108,108,Frank Lickliter II,95,39.53,117,296
108,109,109,Peter Lonard,85,39.38,102,259
