,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Tiger Woods,63,1.86,253,136
1,2,2,Jeff Overton,60,1.44,226,157
2,3,3,Alex Cejka,80,1.41,295,209
3,T4,T4,Freddie Jacobson,70,1.39,283,203
4,T4,T4,Heath Slocum,101,1.39,363,261
5,6,6,Jim Furyk,84,1.38,299,216
6,7,7,Steve Stricker,81,1.37,294,214
7,8,8,Phil Mickelson,73,1.36,274,202
8,9,9,Bo Van Pelt,104,1.32,384,292
9,T10,T10,K.J. Choi,87,1.31,307,235
10,T10,T10,Jesper Parnevik,88,1.31,346,264
11,T10,T10,Jay Williamson,50,1.31,186,142
12,13,13,Kevin Na,84,1.3,323,248
13,T14,T14,Jonathan Byrd,73,1.29,290,225
14,T14,T14,Daniel Chopra,106,1.29,394,305
15,T14,T14,Lucas Glover,98,1.29,375,290
16,T14,T14,Rory Sabbatini,81,1.29,295,229
17,T18,T18,Cameron Beckman,96,1.28,353,276
18,T18,T18,Justin Rose,63,1.28,230,180
19,T20,T20,Briny Baird,115,1.27,418,330
20,T20,T20,Chris Riley,59,1.27,212,167
21,T22,T22,Vijay Singh,102,1.26,373,297
22,T22,T22,Charlie Wi,90,1.26,322,256
23,T24,T24,Ernie Els,59,1.25,219,175
24,T24,T24,Sergio Garcia,68,1.25,244,195
25,26,26,Brandt Snedeker,105,1.24,359,289
26,T27,T27,Tommy Armour III,81,1.23,275,223
27,T27,T27,Tim Clark,66,1.23,227,184
28,T27,T27,Brian Davis,101,1.23,369,300
29,T27,T27,Matt Kuchar,85,1.23,284,231
30,T31,T31,Bart Bryant,87,1.22,312,255
31,T31,T31,Anthony Kim,93,1.22,350,287
32,T31,T31,Sean O'Hair,98,1.22,363,298
33,T31,T31,Michael Sim,52,1.22,176,144
34,T35,T35,Ken Duke,112,1.2,383,319
35,T35,T35,Brian Gay,107,1.2,374,312
36,T35,T35,Charles Warren,101,1.2,395,328
37,T38,T38,Stewart Cink,91,1.19,320,269
38,T38,T38,Steve Marino,106,1.19,386,325
39,T38,T38,Tag Ridings,52,1.19,192,162
40,T38,T38,John Senden,97,1.19,344,290
41,T42,T42,Woody Austin,95,1.18,339,288
42,T42,T42,Nathan Green,103,1.18,366,310
43,T42,T42,Bob Heintz,85,1.18,314,266
44,T42,T42,Ryuji Imada,104,1.18,386,327
45,T46,T46,Mark Calcavecchia,93,1.17,367,313
46,T46,T46,Stephen Leaney,82,1.17,263,225
47,T46,T46,Kenny Perry,83,1.17,290,247
48,T46,T46,Adam Scott,69,1.17,267,229
49,T46,T46,Scott Verplank,82,1.17,274,234
50,T46,T46,Bubba Watson,80,1.17,303,259
51,T52,T52,Aaron Baddeley,83,1.16,292,252
52,T52,T52,Jason Gore,86,1.16,313,269
53,T52,T52,Bill Haas,93,1.16,334,287
54,T52,T52,Billy Mayfair,98,1.16,336,290
55,T52,T52,Joe Ogilvie,102,1.16,388,335
56,T57,T57,Craig Bowden,78,1.15,269,234
57,T57,T57,Ryan Moore,92,1.15,332,288
58,T57,T57,Carl Pettersson,111,1.15,409,356
59,T57,T57,Camilo Villegas,82,1.15,296,257
60,T57,T57,Nick Watney,87,1.15,321,278
61,T62,T62,Padraig Harrington,64,1.14,222,195
62,T62,T62,Zach Johnson,76,1.14,246,216
63,T62,T62,Kent Jones,97,1.14,351,309
64,T62,T62,Cliff Kresge,107,1.14,369,324
65,T62,T62,Hunter Mahan,91,1.14,332,290
66,T62,T62,Tim Petrovic,106,1.14,383,335
67,T68,T68,Steve Allan,63,1.13,241,213
68,T68,T68,Craig Barlow,52,1.13,189,167
69,T68,T68,J.P. Hayes,89,1.13,323,285
70,T68,T68,Peter Lonard,85,1.13,287,254
