,Round_1_Scoring_Average_RANK THIS WEEK,Round_1_Scoring_Average_RANK LAST WEEK,Round_1_Scoring_Average_PLAYER NAME,Round_1_Scoring_Average_AVG,Round_1_Scoring_Average_TOTAL STROKES,Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Jim Furyk,69.45,1528,22
1,T2,T2,Justin Rose,69.6,1044,15
2,T2,T2,Tiger Woods,69.6,1044,15
3,4,4,Jeff Overton,69.74,1325,19
4,5,5,Scott Verplank,69.77,1535,22
5,6,6,K.J. Choi,69.96,1679,24
6,7,7,Freddie Jacobson,70.0,1400,20
7,8,8,Jay Williamson,70.14,982,14
8,9,9,Craig Kanada,70.18,2386,34
9,10,10,Kevin Na,70.19,1825,26
10,11,11,Cliff Kresge,70.23,2107,30
11,T12,T12,Briny Baird,70.26,2178,31
12,T12,T12,Arron Oberholser,70.26,1335,19
13,14,14,Rory Sabbatini,70.27,1546,22
14,T15,T15,Tim Clark,70.28,1265,18
15,T15,T15,Sergio Garcia,70.28,1265,18
16,17,17,Ernie Els,70.33,1055,15
17,18,18,Cameron Beckman,70.34,2040,29
18,19,19,Brian Gay,70.38,2252,32
19,20,20,Steve Stricker,70.41,1549,22
20,T21,T21,Ryuji Imada,70.42,2183,31
21,T21,T21,Camilo Villegas,70.42,1690,24
22,23,23,Carl Pettersson,70.43,2113,30
23,T24,T24,Jesper Parnevik,70.44,1902,27
24,T24,T24,Charlie Wi,70.44,1902,27
25,26,26,Michael Allen,70.45,1550,22
26,27,27,Heath Slocum,70.46,1973,28
27,28,28,Charles Warren,70.48,2044,29
28,T29,T29,Anders Hansen,70.53,1199,17
29,T29,T29,Tom Lehman,70.53,1340,19
30,31,31,Kenny Perry,70.54,1693,24
31,32,32,Rocco Mediate,70.55,1552,22
32,T33,T33,Alex Cejka,70.58,1694,24
33,T33,T33,Daniel Chopra,70.58,2329,33
34,35,35,Woody Austin,70.59,1906,27
35,T36,T36,Stewart Cink,70.63,1695,24
36,T36,T36,Will MacKenzie,70.63,2119,30
37,38,38,Michael Sim,70.65,1201,17
38,39,39,Bob Heintz,70.67,1908,27
39,40,40,Corey Pavin,70.68,1767,25
40,T41,T41,Nathan Green,70.69,2050,29
41,T41,T41,Matt Kuchar,70.69,1838,26
42,43,43,Padraig Harrington,70.71,1202,17
43,T44,T44,Steve Allan,70.72,1273,18
44,T44,T44,Brandt Snedeker,70.72,2051,29
45,T46,T46,Marco Dawson,70.74,1627,23
46,T46,T46,Hunter Mahan,70.74,1910,27
47,T46,T46,John Senden,70.74,1910,27
48,T49,T49,Craig Barlow,70.75,1132,16
49,T49,T49,Rich Beem,70.75,1981,28
50,T49,T49,Brian Davis,70.75,1981,28
51,T49,T49,Sean O'Hair,70.75,1981,28
52,53,53,Steve Flesch,70.77,2194,31
53,54,54,Tommy Armour III,70.79,1699,24
54,55,55,Robert Garrigus,70.86,1984,28
55,T56,T56,Steve Elkington,70.88,1772,25
56,T56,T56,Chris Riley,70.88,1205,17
57,T58,T58,Jason Gore,70.89,1914,27
58,T58,T58,Tag Ridings,70.89,1276,18
59,60,60,Jeff Quinney,70.9,2056,29
60,T61,T61,Bart Bryant,70.92,1702,24
61,T61,T61,Rod Pampling,70.92,1702,24
62,T63,T63,Lucas Glover,70.93,1915,27
63,T63,T63,Frank Lickliter II,70.93,2057,29
64,T63,T63,Peter Lonard,70.93,1915,27
65,T63,T63,John Rollins,70.93,1986,28
66,67,67,Aaron Baddeley,70.95,1561,22
67,T68,T68,Bob Estes,70.96,1987,28
68,T68,T68,Nick Watney,70.96,1845,26
69,T70,T70,Jason Dufner,70.97,2271,32
70,T70,T70,Steve Marino,70.97,2200,31
71,T72,T72,Robert Allenby,71.0,1917,27
72,T72,T72,D.J. Brigman,71.0,1562,22
73,T72,T72,José Coceres,71.0,1207,17
74,T72,T72,Phil Mickelson,71.0,1420,20
75,T72,T72,Kevin Sutherland,71.0,1775,25
76,T77,T77,John Merrick,71.03,2060,29
77,T77,T77,Bo Van Pelt,71.03,2131,30
78,T79,T79,Andrew Buckle,71.04,1847,26
79,T79,T79,Jeff Maggert,71.04,1776,25
80,81,81,Jarrod Lyle,71.08,1706,24
81,82,82,Brendon de Jonge,71.12,1849,26
82,T83,T83,Ryan Armour,71.13,2276,32
83,T83,T83,Jonathan Byrd,71.13,1636,23
84,T83,T83,Brett Quigley,71.13,1707,24
85,T86,T86,Ryan Moore,71.14,1992,28
86,T86,T86,Michael Putnam,71.14,2063,29
87,88,88,Vijay Singh,71.15,1850,26
88,89,89,Justin Leonard,71.17,2064,29
89,90,90,Steve Lowery,71.18,1566,22
90,91,91,Kent Jones,71.2,2136,30
91,T92,T92,John Mallinger,71.21,2065,29
92,T92,T92,Vaughn Taylor,71.21,1994,28
93,94,94,Gavin Coles,71.22,1923,27
94,95,95,Bill Haas,71.23,2137,30
95,T96,T96,Mathew Goggin,71.24,2066,29
96,T96,T96,Doug LaBelle II,71.24,2351,33
97,T96,T96,Chris Tidland,71.24,1496,21
98,99,99,Trevor Immelman,71.25,1425,20
99,T100,T100,Charley Hoffman,71.27,2138,30
100,T100,T100,Stephen Leaney,71.27,1853,26
101,T100,T100,Jason Schultz,71.27,1568,22
102,103,103,Mark Hensby,71.28,1782,25
103,T104,T104,Zach Johnson,71.29,1497,21
104,T104,T104,Craig Lile,71.29,1711,24
105,106,106,George McNeill,71.3,2139,30
106,T107,T107,Jerry Kelly,71.32,1997,28
107,T107,T107,Joe Ogilvie,71.32,2211,31
108,T107,T107,Dicky Pride,71.32,1783,25
109,T110,T110,Mark Brooks,71.33,1284,18
110,T110,T110,Pat Perez,71.33,1926,27
111,T110,T110,Darron Stiles,71.33,1712,24
112,T110,T110,Brett Wetterich,71.33,1926,27
113,114,114,Ted Purdy,71.34,2283,32
114,115,115,Adam Scott,71.39,1285,18
115,116,116,Craig Bowden,71.4,1785,25
116,T117,T117,Jason Bohn,71.41,1214,17
117,T117,T117,Scott Gutschewski,71.41,1571,22
118,T119,T119,J.P. Hayes,71.43,2000,28
119,T119,T119,David Toms,71.43,1500,21
120,121,121,Tim Herron,71.44,1929,27
121,122,122,Johnson Wagner,71.45,2358,33
122,T123,T123,J.J. Henry,71.48,1787,25
123,T123,T123,Charles Howell III,71.48,1787,25
124,T123,T123,Joey Sindelar,71.48,1787,25
125,126,126,Brian Bateman,71.5,1287,18
126,T127,T127,Geoff Ogilvy,71.52,1502,21
127,T127,T127,Kirk Triplett,71.52,1788,25
128,T127,T127,Duffy Waldorf,71.52,1645,23
129,130,130,Billy Mayfair,71.53,2146,30
130,T131,T131,Greg Owen,71.55,2075,29
131,T131,T131,Boo Weekley,71.55,2075,29
132,T133,T133,Richard Johnson,71.56,2290,32
133,T133,T133,Bob Tway,71.56,2290,32
