,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Tiger Woods,63,69.14,2904,42
1,2,2,Ernie Els,59,69.94,2308,33
2,3,3,Rory Sabbatini,81,70.02,2941,42
3,T4,T4,Billy Mayfair,98,70.1,3575,51
4,T4,T4,Phil Mickelson,73,70.1,2874,41
5,6,6,Steve Stricker,81,70.11,3225,46
6,7,7,Sergio Garcia,68,70.13,2735,39
7,T8,T8,Kenny Perry,83,70.24,2950,42
8,T8,T8,Heath Slocum,101,70.24,3793,54
9,10,10,Cameron Beckman,96,70.27,3162,45
10,11,11,Jay Williamson,50,70.3,1617,23
11,12,12,Jeff Overton,60,70.34,2251,32
12,T13,T13,K.J. Choi,87,70.37,3800,54
13,T13,T13,Kevin Na,84,70.37,2885,41
14,T15,T15,Jim Furyk,84,70.4,3520,50
15,T15,T15,Bo Van Pelt,104,70.4,3379,48
16,17,17,Tom Lehman,62,70.42,2183,31
17,18,18,Michael Allen,74,70.44,2395,34
18,19,19,Justin Rose,63,70.47,2396,34
19,20,20,John Senden,97,70.48,3101,44
20,T21,T21,Tommy Armour III,81,70.5,2820,40
21,T21,T21,Woody Austin,95,70.5,2961,42
22,23,23,Freddie Jacobson,70,70.52,2962,42
23,24,24,Tag Ridings,52,70.54,1693,24
24,25,25,Jonathan Byrd,73,70.57,2611,37
25,26,26,Charles Howell III,89,70.6,2824,40
26,27,27,Ken Duke,112,70.62,3531,50
27,28,28,Nathan Green,103,70.63,3673,52
28,29,29,Alex Cejka,80,70.64,2543,36
29,T30,T30,Adam Scott,69,70.65,2826,40
30,T30,T30,Vijay Singh,102,70.65,4027,57
31,T32,T32,Aaron Baddeley,83,70.7,3323,47
32,T32,T32,Jason Gore,86,70.7,3252,46
33,T32,T32,Sean O'Hair,98,70.7,3747,53
34,35,35,Jesper Parnevik,88,70.71,2970,42
35,36,36,Camilo Villegas,82,70.73,2900,41
36,37,37,Zach Johnson,76,70.74,2688,38
37,38,38,Joe Ogilvie,102,70.76,3467,49
38,39,39,Stephen Leaney,82,70.77,2760,39
39,T40,T40,Pat Perez,84,70.79,3327,47
40,T40,T40,Carl Pettersson,111,70.79,4106,58
41,T40,T40,David Toms,80,70.79,2690,38
42,43,43,Ryuji Imada,104,70.81,3824,54
43,44,44,Steve Allan,63,70.87,2197,31
44,T45,T45,Stewart Cink,91,70.92,3404,48
45,T45,T45,Scott Verplank,82,70.92,3404,48
46,T47,T47,Steve Marino,106,70.93,4114,58
47,T47,T47,Ryan Moore,92,70.93,2979,42
48,T47,T47,Jeff Quinney,95,70.93,3050,43
49,T47,T47,Michael Sim,52,70.93,1986,28
50,51,51,Will MacKenzie,100,70.94,3405,48
51,T52,T52,Brian Davis,101,70.95,3051,43
52,T52,T52,Peter Lonard,85,70.95,3051,43
53,54,54,Ian Poulter,63,70.96,1987,28
54,T55,T55,Daniel Chopra,106,70.98,3691,52
55,T55,T55,Shigeki Maruyama,84,70.98,3123,44
56,T55,T55,Brandt Snedeker,105,70.98,3975,56
57,T55,T55,Nick Watney,87,70.98,3052,43
58,T55,T55,Mike Weir,82,70.98,2839,40
59,T60,T60,José Coceres,50,71.0,1917,27
60,T60,T60,Tom Johnson,74,71.0,2343,33
61,T60,T60,Jarrod Lyle,77,71.0,2272,32
62,T60,T60,Hunter Mahan,91,71.0,3266,46
63,64,64,Boo Weekley,101,71.02,3480,49
64,65,65,Dicky Pride,71,71.03,2273,32
65,T66,T66,Lucas Glover,98,71.04,3623,51
66,T66,T66,D.J. Trahan,99,71.04,3268,46
67,68,68,Briny Baird,115,71.05,4050,57
68,T69,T69,Steve Elkington,87,71.07,3056,43
69,T69,T69,Anthony Kim,93,71.07,3127,44
70,T69,T69,John Rollins,102,71.07,3127,44
71,72,72,Jason Dufner,100,71.08,3412,48
