,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Tiger Woods,63,27.69,157,567
1,2,2,Adam Scott,69,26.43,189,715
2,3,3,Phil Mickelson,73,24.92,162,650
3,4,4,Rory Sabbatini,81,24.69,197,798
4,5,5,Jonathan Byrd,73,24.57,201,818
5,6,6,Freddie Jacobson,70,24.34,222,912
6,7,7,Mark Calcavecchia,93,24.29,238,980
7,8,8,Lucas Glover,98,24.25,259,1068
8,9,9,Aaron Baddeley,83,24.12,206,854
9,10,10,Brendon de Jonge,76,24.09,205,851
10,11,11,Carl Pettersson,111,24.03,286,1190
11,12,12,Sergio Garcia,68,24.02,165,687
12,13,13,Steve Stricker,81,23.98,217,905
13,14,14,K.J. Choi,87,23.87,216,905
14,15,15,Camilo Villegas,82,23.8,214,899
15,16,16,Vijay Singh,102,23.75,248,1044
16,T17,T17,Tim Clark,66,23.52,179,761
17,T17,T17,Charles Warren,101,23.52,298,1267
18,T19,T19,Ernie Els,59,23.49,132,562
19,T19,T19,Sean O'Hair,98,23.49,264,1124
20,21,21,Justin Rose,63,23.42,126,538
21,22,22,Joe Ogilvie,102,23.12,265,1146
22,23,23,Jesper Parnevik,88,23.08,228,988
23,24,24,Chris Riley,59,23.06,169,733
24,25,25,Stewart Cink,91,22.94,217,946
25,26,26,Kevin Na,84,22.93,233,1016
26,27,27,Michael Allen,74,22.72,199,876
27,28,28,Luke Donald,69,22.68,164,723
28,29,29,Ryuji Imada,104,22.63,260,1149
29,30,30,Nick Watney,87,22.6,205,907
30,31,31,Pat Perez,84,22.59,192,850
31,32,32,Anthony Kim,93,22.54,234,1038
32,33,33,J.P. Hayes,89,22.47,238,1059
33,34,34,Steve Allan,63,22.46,157,699
34,35,35,Briny Baird,115,22.44,329,1466
35,36,36,Hunter Mahan,91,22.41,229,1022
36,37,37,Rocco Mediate,72,22.32,208,932
37,38,38,Tom Lehman,62,22.29,152,682
38,39,39,Brett Wetterich,88,22.26,199,894
39,T40,T40,Billy Andrade,88,22.22,226,1017
40,T40,T40,Vaughn Taylor,91,22.22,220,990
41,42,42,Tim Petrovic,106,22.12,271,1225
42,43,43,Bob Estes,88,22.1,244,1104
43,44,44,Rich Beem,89,22.09,211,955
44,T45,T45,Bob Heintz,85,22.08,217,983
45,T45,T45,Geoff Ogilvy,84,22.08,187,847
46,T47,T47,Robert Allenby,90,22.02,216,981
47,T47,T47,Frank Lickliter II,95,22.02,262,1190
48,49,49,John Senden,97,21.98,255,1160
49,50,50,Alex Cejka,80,21.97,225,1024
50,51,51,Will MacKenzie,100,21.96,260,1184
51,52,52,Mathias Grönberg,95,21.93,241,1099
52,T53,T53,Ryan Palmer,91,21.85,232,1062
53,T53,T53,David Toms,80,21.85,189,865
54,55,55,Michael Putnam,96,21.84,225,1030
55,56,56,Nathan Green,103,21.82,249,1141
56,57,57,Jim Furyk,84,21.81,215,986
57,58,58,Bo Van Pelt,104,21.8,281,1289
58,59,59,Charles Howell III,89,21.78,171,785
59,60,60,Chad Campbell,96,21.77,216,992
60,61,61,Charley Hoffman,97,21.75,231,1062
61,62,62,Jeff Overton,60,21.73,156,718
62,63,63,Tom Pernice Jr.,104,21.67,252,1163
63,64,64,Jay Williamson,50,21.57,148,686
64,65,65,Steve Marino,106,21.56,257,1192
65,T66,T66,Brian Davis,101,21.53,268,1245
66,T66,T66,Jarrod Lyle,77,21.53,188,873
67,T68,T68,Robert Garrigus,95,21.52,221,1027
68,T68,T68,Troy Matteson,87,21.52,213,990
69,T68,T68,Charlie Wi,90,21.52,249,1157
70,71,71,John Daly,59,21.5,112,521
71,72,72,John Merrick,92,21.46,232,1081
72,73,73,Steve Lowery,74,21.4,196,916
73,T74,T74,Woody Austin,95,21.37,241,1128
74,T74,T74,J.J. Henry,86,21.37,200,936
75,T76,T76,Kent Jones,97,21.35,268,1255
76,T76,T76,Ryan Moore,92,21.35,215,1007
77,78,78,Cameron Beckman,96,21.31,250,1173
78,79,79,Brett Quigley,79,21.3,170,798
79,80,80,Darron Stiles,65,21.29,162,761
80,81,81,Rich Barcelo,80,21.28,186,874
81,T82,T82,Jerry Kelly,101,21.23,225,1060
82,T82,T82,Michael Sim,52,21.23,142,669
83,84,84,Daniel Chopra,106,21.2,248,1170
84,85,85,Billy Mayfair,98,21.19,256,1208
85,86,86,Andrew Buckle,77,21.18,180,850
86,87,87,Rod Pampling,92,21.17,210,992
87,T88,T88,Bart Bryant,87,21.16,223,1054
88,T88,T88,Tag Ridings,52,21.16,120,567
89,T88,T88,Chris Stroud,66,21.16,160,756
90,91,91,Zach Johnson,76,21.13,187,885
91,T92,T92,Jeff Maggert,79,21.1,223,1057
92,T92,T92,Kenny Perry,83,21.1,219,1038
93,94,94,Brian Gay,107,21.08,300,1423
94,T95,T95,Bill Haas,93,21.07,224,1063
95,T95,T95,Paul Stankowski,52,21.07,114,541
96,T97,T97,Anders Hansen,55,21.05,100,475
97,T97,T97,Bubba Watson,80,21.05,173,822
98,99,99,Craig Lile,77,20.93,190,908
99,100,100,Heath Slocum,101,20.91,284,1358
100,101,101,Brandt Snedeker,105,20.9,238,1139
101,102,102,Ryan Armour,107,20.81,276,1326
102,T103,T103,Paul Goydos,60,20.77,140,674
103,T103,T103,Jeff Quinney,95,20.77,249,1199
104,105,105,Boo Weekley,101,20.74,220,1061
105,106,106,Tim Herron,98,20.71,226,1091
106,T107,T107,Scott Gutschewski,67,20.64,148,717
107,T107,T107,George McNeill,95,20.64,220,1066
108,109,109,Jason Gore,86,20.62,218,1057
109,110,110,Harrison Frazar,88,20.56,183,890
110,111,111,Craig Barlow,52,20.55,120,584
111,112,112,Tommy Armour III,81,20.52,206,1004
112,T113,T113,Robert Gamez,88,20.47,220,1075
113,T113,T113,Davis Love III,66,20.47,138,674
114,115,115,Jason Schultz,63,20.46,142,694
115,T116,T116,Ian Poulter,63,20.45,109,533
116,T116,T116,Dean Wilson,92,20.45,211,1032
117,118,118,Arron Oberholser,69,20.43,144,705
118,119,119,Johnson Wagner,97,20.4,236,1157
119,120,120,Stuart Appleby,74,20.38,161,790
120,T121,T121,John Rollins,102,20.37,232,1139
121,T121,T121,Mike Weir,82,20.37,166,815
122,123,123,Parker McLachlin,83,20.35,188,924
123,T124,T124,Matt Kuchar,85,20.33,199,979
124,T124,T124,Scott Verplank,82,20.33,173,851
125,126,126,Shaun Micheel,91,20.25,198,978
126,127,127,Jeff Brehaut,59,20.2,139,688
127,128,128,Nick O'Hern,72,20.19,152,753
128,T129,T129,Tripp Isenhour,86,20.12,203,1009
129,T129,T129,Justin Leonard,95,20.12,238,1183
130,T131,T131,Chris Couch,76,20.07,184,917
131,T131,T131,Marco Dawson,73,20.07,171,852
132,133,133,Dicky Pride,71,20.05,165,823
133,134,134,Stephen Leaney,82,20.04,206,1028
134,T135,T135,Craig Bowden,78,20.0,192,960
135,T135,T135,Craig Kanada,109,20.0,261,1305
136,137,137,Ken Duke,112,19.98,260,1301
137,138,138,Steve Flesch,100,19.97,246,1232
138,139,139,Steve Elkington,87,19.92,212,1064
139,140,140,Shigeki Maruyama,84,19.91,216,1085
140,141,141,Padraig Harrington,64,19.83,115,580
141,T142,T142,Mark Hensby,81,19.82,194,979
142,T142,T142,Kevin Sutherland,85,19.82,176,888
143,144,144,Jason Bohn,57,19.81,143,722
144,145,145,John Mallinger,96,19.78,237,1198
145,146,146,Glen Day,85,19.77,210,1062
146,T147,T147,Cliff Kresge,107,19.73,263,1333
