,Round_2_Scoring_Average_RANK THIS WEEK,Round_2_Scoring_Average_RANK LAST WEEK,Round_2_Scoring_Average_PLAYER NAME,Round_2_Scoring_Average_AVG,Round_2_Scoring_Average_TOTAL STROKES,Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,69.27,1039,15
1,2,2,Vijay Singh,69.42,1805,26
2,3,3,Freddie Jacobson,69.75,1395,20
3,4,4,Jeff Gove,69.77,2093,30
4,5,5,Stephen Ames,69.95,1469,21
5,6,6,Craig Bowden,70.04,1681,24
6,7,7,Phil Mickelson,70.05,1401,20
7,8,8,Heath Slocum,70.07,1962,28
8,T9,T9,Rich Barcelo,70.08,1822,26
9,T9,T9,Alex Cejka,70.08,1682,24
10,11,11,Mike Weir,70.1,1472,21
11,12,12,Bill Haas,70.17,2105,30
12,13,13,Charlie Wi,70.19,1825,26
13,T14,T14,Sean O'Hair,70.26,1897,27
14,T14,T14,Jeff Overton,70.26,1335,19
15,16,16,Glen Day,70.31,1828,26
16,17,17,Mathias Grönberg,70.33,2110,30
17,18,18,Jay Williamson,70.36,985,14
18,19,19,Tim Clark,70.39,1267,18
19,T20,T20,Tag Ridings,70.41,1197,17
20,T20,T20,Chris Riley,70.41,1197,17
21,T22,T22,Tommy Armour III,70.42,1690,24
22,T22,T22,Briny Baird,70.42,2183,31
23,24,24,Kenny Perry,70.43,1620,23
24,T25,T25,Michael Allen,70.45,1550,22
25,T25,T25,Ken Duke,70.45,2184,31
26,T25,T25,Steve Lowery,70.45,1550,22
27,T28,T28,Ryan Armour,70.47,2255,32
28,T28,T28,Brian Gay,70.47,2255,32
29,T28,T28,Billy Mayfair,70.47,2114,30
30,T31,T31,Nathan Green,70.48,2044,29
31,T31,T31,Mark Hensby,70.48,1621,23
32,T31,T31,Joe Ogilvie,70.48,2185,31
33,T31,T31,Michael Putnam,70.48,2044,29
34,T35,T35,Billy Andrade,70.54,1834,26
35,T35,T35,Brian Davis,70.54,1975,28
36,T35,T35,Daisuke Maruyama,70.54,1834,26
37,38,38,Aaron Baddeley,70.55,1552,22
38,T39,T39,Tim Herron,70.56,1905,27
39,T39,T39,Tim Petrovic,70.56,2258,32
40,T39,T39,Bob Tway,70.56,2258,32
41,42,42,Jesper Parnevik,70.58,1835,26
42,43,43,Jason Gore,70.6,1765,25
43,44,44,Jerry Kelly,70.61,1977,28
44,45,45,Charles Warren,70.62,2048,29
45,T46,T46,Bart Bryant,70.63,1695,24
46,T46,T46,Stephen Leaney,70.63,1695,24
47,48,48,Jason Bohn,70.65,1201,17
48,T49,T49,Craig Lile,70.67,1696,24
49,T49,T49,Justin Rose,70.67,1060,15
50,T51,T51,Cameron Beckman,70.68,1979,28
51,T51,T51,Jim Furyk,70.68,1555,22
52,T51,T51,Scott Verplank,70.68,1555,22
53,T54,T54,J.P. Hayes,70.7,1909,27
54,T54,T54,Cliff Kresge,70.7,2121,30
55,56,56,Jarrod Lyle,70.71,1697,24
56,57,57,Steve Allan,70.72,1273,18
57,58,58,Bo Van Pelt,70.73,2122,30
58,T59,T59,Tripp Isenhour,70.74,1910,27
59,T59,T59,Tom Pernice Jr.,70.74,2193,31
60,61,61,Daniel Chopra,70.75,2264,32
61,62,62,Kevin Sutherland,70.76,1769,25
62,63,63,Anthony Kim,70.81,1841,26
63,64,64,Adam Scott,70.83,1275,18
64,65,65,Kevin Na,70.84,1771,25
65,T66,T66,John Mallinger,70.86,2055,29
66,T66,T66,Ryan Moore,70.86,1984,28
67,T68,T68,Mark Calcavecchia,70.88,1843,26
68,T68,T68,Stewart Cink,70.88,1701,24
69,T68,T68,Bubba Watson,70.88,1772,25
70,71,71,Tom Lehman,70.89,1347,19
71,T72,T72,Steve Marino,70.9,2198,31
72,T72,T72,John Merrick,70.9,2056,29
73,T72,T72,David Toms,70.9,1418,20
74,T75,T75,K.J. Choi,70.91,1631,23
75,T75,T75,Steve Stricker,70.91,1560,22
76,T77,T77,Jason Dufner,70.94,2270,32
77,T77,T77,Ryuji Imada,70.94,2199,31
78,T77,T77,Craig Kanada,70.94,2412,34
79,T77,T77,Michael Sim,70.94,1206,17
80,81,81,Michael Boyd,70.95,1490,21
81,82,82,Pat Perez,70.96,1774,25
82,83,83,Mathew Goggin,70.97,2058,29
83,T84,T84,Gavin Coles,71.0,1917,27
84,T84,T84,Shigeki Maruyama,71.0,1917,27
85,T84,T84,Geoff Ogilvy,71.0,1491,21
86,87,87,Boo Weekley,71.03,2060,29
87,T88,T88,J.B. Holmes,71.04,1634,23
88,T88,T88,Jeff Maggert,71.04,1705,24
89,T88,T88,George McNeill,71.04,1989,28
90,T91,T91,D.J. Brigman,71.05,1563,22
91,T91,T91,Zach Johnson,71.05,1421,20
92,T91,T91,Rocco Mediate,71.05,1492,21
93,T94,T94,Vaughn Taylor,71.08,1848,26
94,T94,T94,Nick Watney,71.08,1848,26
95,96,96,Chris Stroud,71.09,1635,23
96,97,97,Mark Wilson,71.12,1778,25
97,T98,T98,John Rollins,71.14,1992,28
98,T98,T98,Brandt Snedeker,71.14,2063,29
99,100,100,Troy Matteson,71.15,1850,26
100,101,101,Kent Jones,71.2,2136,30
101,102,102,Rod Pampling,71.21,1709,24
102,103,103,John Senden,71.22,1923,27
103,104,104,D.J. Trahan,71.23,2137,30
104,T105,T105,Padraig Harrington,71.24,1211,17
105,T105,T105,Will MacKenzie,71.24,2066,29
106,T105,T105,Johnson Wagner,71.24,2351,33
107,T108,T108,Craig Barlow,71.27,1069,15
108,T108,T108,Ernie Els,71.27,1069,15
109,T108,T108,Carl Pettersson,71.27,2138,30
110,111,111,Sergio Garcia,71.28,1283,18
111,112,112,Ted Purdy,71.29,2210,31
112,T113,T113,Joe Durant,71.3,1925,27
113,T113,T113,Lucas Glover,71.3,1925,27
114,T113,T113,Bob Heintz,71.3,1925,27
115,116,116,Matt Kuchar,71.31,1854,26
116,T117,T117,Charles Howell III,71.32,1783,25
117,T117,T117,Parker McLachlin,71.32,1997,28
118,T117,T117,Steve Wheatcroft,71.32,1783,25
119,T120,T120,Woody Austin,71.33,1926,27
120,T120,T120,Peter Lonard,71.33,1926,27
121,122,122,Frank Lickliter II,71.34,2069,29
122,123,123,Duffy Waldorf,71.35,1641,23
123,T124,T124,Chad Campbell,71.37,1927,27
124,T124,T124,Luke Donald,71.37,1356,19
125,T124,T124,Steve Flesch,71.37,2141,30
126,T124,T124,Richard Johnson,71.37,2141,30
127,T128,T128,Tom Johnson,71.38,1713,24
128,T128,T128,Camilo Villegas,71.38,1713,24
129,130,130,Paul Goydos,71.39,1285,18
130,131,131,Fred Funk,71.42,1357,19
131,T132,T132,Jeff Brehaut,71.43,1500,21
132,T132,T132,Jonathan Byrd,71.43,1643,23
133,134,134,Arron Oberholser,71.47,1215,17
134,T135,T135,Hunter Mahan,71.48,1930,27
135,T135,T135,Dean Wilson,71.48,1930,27
136,137,137,Brendon de Jonge,71.5,1859,26
137,138,138,Shaun Micheel,71.52,1931,27
138,139,139,José Coceres,71.53,1073,15
139,140,140,Bob Estes,71.54,2003,28
140,141,141,Harrison Frazar,71.56,2290,32
141,T142,T142,Eric Axley,71.57,2505,35
142,T142,T142,Marco Dawson,71.57,1646,23
143,144,144,Joey Sindelar,71.58,1718,24
144,145,145,Justin Leonard,71.59,2076,29
145,T146,T146,Steve Elkington,71.6,1790,25
146,T146,T146,Charley Hoffman,71.6,2148,30
147,148,148,Ryan Palmer,71.63,2149,30
148,149,149,Stuart Appleby,71.64,1576,22
149,150,150,Doug LaBelle II,71.67,2365,33
150,151,151,Robert Garrigus,71.68,2007,28
151,152,152,Robert Gamez,71.7,2151,30
152,153,153,Paul Gow,71.71,1721,24
153,154,154,Ian Poulter,71.75,1148,16
154,155,155,Rory Sabbatini,71.77,1579,22
155,156,156,Lee Janzen,71.79,1723,24
156,157,157,Corey Pavin,71.8,1795,25
157,158,158,Jason Schultz,71.82,1580,22
158,T159,T159,David Branshaw,71.83,2155,30
159,T159,T159,Kevin Stadler,71.83,2155,30
160,161,161,Bubba Dickerson,71.84,1365,19
161,T162,T162,Rich Beem,71.88,1797,25
162,T162,T162,J.J. Henry,71.88,1797,25
163,164,164,Jaco Van Zyl,71.9,1510,21
164,165,165,Paul Stankowski,71.94,1295,18
165,166,166,Davis Love III,71.95,1439,20
166,T167,T167,Chris DiMarco,71.96,1655,23
167,T167,T167,Dicky Pride,71.96,1799,25
168,169,169,Jeff Quinney,71.97,2087,29
169,T170,T170,Robert Allenby,72.0,1944,27
170,T170,T170,Matt Hendrix,72.0,1728,24
171,172,172,Scott Gutschewski,72.05,1585,22
172,173,173,Retief Goosen,72.08,937,13
173,174,174,Nick O'Hern,72.14,1515,21
174,175,175,Trevor Immelman,72.15,1443,20
175,T176,T176,Chris Couch,72.19,1949,27
176,T176,T176,Kyle Reifers,72.19,1877,26
177,178,178,Darron Stiles,72.25,1734,24
178,179,179,Brian Bateman,72.28,1301,18
179,180,180,Mark Brooks,72.33,1302,18
180,181,181,Kirk Triplett,72.4,1810,25
181,182,182,Brett Wetterich,72.41,1955,27
182,183,183,Brett Quigley,72.54,1741,24
183,184,184,Tom Byrum,72.68,1381,19
184,T185,T185,Anders Hansen,72.71,1236,17
185,T185,T185,Chris Tidland,72.71,1527,21
186,187,187,Andrew Buckle,72.73,1891,26
187,188,188,John Daly,72.74,1382,19
188,189,189,Bryce Molder,72.75,1455,20
