,Par_3_Performance_RANK THIS WEEK,Par_3_Performance_RANK LAST WEEK,Par_3_Performance_PLAYER NAME,Par_3_Performance_ROUNDS,Par_3_Performance_STATUS,Par_3_Performance_PAR 3 AVG,Par_3_Performance_TOTAL PAR
0,1,1,Tim Clark,66,-11,2.96,780
1,2,2,Justin Rose,63,-4,2.98,699
2,3,3,Tiger Woods,63,E,3.0,708
3,4,4,José Coceres,50,+2,3.01,600
4,5,5,Henrik Stenson,52,+3,3.02,546
5,6,6,Steve Elkington,87,+4,3.01,1068
6,T7,T7,Jonathan Byrd,73,+5,3.02,879
7,T7,T7,Craig Kanada,109,+5,3.01,1320
8,T9,T9,Tommy Armour III,81,+6,3.02,978
9,T9,T9,Kenny Perry,83,+6,3.02,1023
10,T9,T9,Heath Slocum,101,+6,3.01,1233
11,T12,T12,Michael Allen,74,+7,3.02,903
12,T12,T12,Jay Williamson,50,+7,3.04,600
13,T14,T14,Sergio Garcia,68,+8,3.03,792
14,T14,T14,Retief Goosen,50,+8,3.04,564
15,T14,T14,Freddie Jacobson,70,+8,3.03,828
16,T14,T14,Scott Verplank,82,+8,3.02,963
17,T18,T18,Jim Furyk,84,+9,3.03,963
18,T18,T18,Tom Lehman,62,+9,3.04,747
19,T18,T18,Jeff Overton,60,+9,3.04,729
20,T18,T18,Dicky Pride,71,+9,3.03,855
21,T22,T22,Arron Oberholser,69,+10,3.04,813
22,T22,T22,Michael Sim,52,+10,3.05,618
23,T24,T24,Mark Brooks,53,+11,3.05,642
24,T24,T24,Anders Hansen,55,+11,3.05,651
25,T24,T24,Dean Wilson,92,+11,3.03,1110
26,27,27,Padraig Harrington,64,+13,3.05,735
27,T28,T28,Ernie Els,59,+14,3.06,684
28,T28,T28,Mark Hensby,81,+14,3.04,984
29,30,30,Stewart Cink,91,+15,3.04,1044
30,T31,T31,Rocco Mediate,72,+16,3.05,873
31,T31,T31,Rory Sabbatini,81,+16,3.05,933
32,T33,T33,Fred Funk,65,+17,3.07,783
33,T33,T33,Brian Gay,107,+17,3.04,1293
34,T35,T35,Craig Barlow,52,+18,3.09,633
35,T35,T35,George McNeill,95,+18,3.05,1167
36,T35,T35,Chris Stroud,66,+18,3.07,789
37,38,38,Kevin Na,84,+19,3.06,1011
38,T39,T39,Bart Bryant,87,+20,3.06,1035
39,T39,T39,Matt Kuchar,85,+20,3.06,1014
40,T39,T39,Steve Stricker,81,+20,3.06,954
41,T42,T42,K.J. Choi,87,+21,3.06,1011
42,T42,T42,Daniel Chopra,106,+21,3.05,1284
43,T42,T42,Marco Dawson,73,+21,3.07,885
44,T42,T42,Lee Janzen,66,+21,3.08,798
45,T42,T42,Phil Mickelson,73,+21,3.07,852
46,T42,T42,David Toms,80,+21,3.07,906
47,T48,T48,Briny Baird,115,+22,3.05,1395
48,T48,T48,Steve Flesch,100,+22,3.05,1209
49,T48,T48,Richard Johnson,93,+22,3.06,1140
50,T48,T48,Stephen Leaney,82,+22,3.07,1005
51,T48,T48,Craig Lile,77,+22,3.07,921
52,T48,T48,John Mallinger,96,+22,3.06,1176
53,T48,T48,José María Olazábal,52,+22,3.11,603
54,T48,T48,Jeff Quinney,95,+22,3.06,1143
55,T48,T48,Jaco Van Zyl,51,+22,3.11,615
56,T57,T57,Steve Allan,63,+23,3.09,771
57,T57,T57,Ken Duke,112,+23,3.05,1350
58,T57,T57,Paul Goydos,60,+23,3.09,732
59,T57,T57,Bob Heintz,85,+23,3.07,1044
60,T57,T57,Zach Johnson,76,+23,3.08,900
61,T62,T62,Glen Day,85,+24,3.07,1035
62,T62,T62,Lucas Glover,98,+24,3.06,1155
63,T62,T62,Tag Ridings,52,+24,3.11,633
64,T65,T65,Michael Boyd,61,+25,3.1,729
65,T65,T65,Gavin Coles,87,+25,3.07,1059
66,T65,T65,Ryuji Imada,104,+25,3.06,1257
67,T65,T65,Ryan Palmer,91,+25,3.07,1107
68,T65,T65,Adam Scott,69,+25,3.09,792
69,T65,T65,Boo Weekley,101,+25,3.06,1212
70,T71,T71,Aaron Baddeley,83,+26,3.08,945
71,T71,T71,Jason Bohn,57,+26,3.11,699
72,T71,T71,J.P. Hayes,89,+26,3.07,1089
73,T71,T71,Shaun Micheel,91,+26,3.07,1053
74,T75,T75,Tom Byrum,50,+27,3.13,609
75,T75,T75,Luke Donald,69,+27,3.1,783
76,T75,T75,Jeff Maggert,79,+27,3.09,948
77,T78,T78,Stephen Ames,81,+28,3.09,897
78,T78,T78,Tom Pernice Jr.,104,+28,3.07,1248
79,T78,T78,Paul Stankowski,52,+28,3.13,636
80,T78,T78,Mark Wilson,87,+28,3.08,1074
81,T82,T82,D.J. Brigman,67,+29,3.11,807
82,T82,T82,Scott Gutschewski,67,+29,3.11,807
83,T82,T82,Charley Hoffman,97,+29,3.07,1170
84,T82,T82,Trevor Immelman,74,+29,3.11,804
85,T82,T82,Justin Leonard,95,+29,3.08,1134
86,T82,T82,John Merrick,92,+29,3.08,1107
87,T82,T82,John Senden,97,+29,3.08,1155
88,T82,T82,Camilo Villegas,82,+29,3.09,1011
