,Par_4_Eagle_Leaders_RANK THIS WEEK,Par_4_Eagle_Leaders_RANK LAST WEEK,Par_4_Eagle_Leaders_PLAYER NAME,Par_4_Eagle_Leaders_ROUNDS,Par_4_Eagle_Leaders_TOTAL,Par_4_Eagle_Leaders_TOTAL PAR 4 HOLES,Par_4_Eagle_Leaders_TOTAL HOLE OUTS
0,T1,T1,Ken Duke,112,4,1201,3.0
1,T1,T1,Scott Verplank,82,4,907,2.0
2,T3,T3,K.J. Choi,87,3,937,3.0
3,T3,T3,Ryuji Imada,104,3,1115,3.0
4,T3,T3,Kenny Perry,83,3,899,3.0
5,T6,T6,Stuart Appleby,74,2,806,1.0
6,T6,T6,Eric Axley,107,2,1155,2.0
7,T6,T6,Rich Beem,89,2,972,2.0
8,T6,T6,Brian Davis,101,2,1089,2.0
9,T6,T6,Lucas Glover,98,2,1040,2.0
10,T6,T6,Jeff Gove,103,2,1095,1.0
11,T6,T6,Lee Janzen,66,2,697,2.0
12,T6,T6,Cliff Kresge,107,2,1163,2.0
13,T6,T6,Steve Lowery,74,2,790,2.0
14,T6,T6,Jarrod Lyle,77,2,829,2.0
15,T6,T6,Hunter Mahan,91,2,1012,2.0
16,T6,T6,Daisuke Maruyama,86,2,931,2.0
17,T6,T6,George McNeill,95,2,1017,1.0
18,T6,T6,Joe Ogilvie,102,2,1099,1.0
19,T6,T6,Ryan Palmer,91,2,969,1.0
20,T6,T6,Rod Pampling,92,2,1004,2.0
21,T6,T6,Brett Quigley,79,2,852,2.0
22,T6,T6,Joey Sindelar,75,2,787,2.0
23,T6,T6,Steve Stricker,81,2,890,2.0
24,T6,T6,Bo Van Pelt,104,2,1133,1.0
25,T6,T6,Charlie Wi,90,2,958,
26,T27,T27,Michael Allen,74,1,791,1.0
27,T27,T27,Briny Baird,115,1,1236,1.0
28,T27,T27,David Branshaw,83,1,883,
29,T27,T27,Jeff Brehaut,59,1,627,1.0
30,T27,T27,Tom Byrum,50,1,534,1.0
31,T27,T27,Chad Campbell,96,1,997,1.0
32,T27,T27,Alex Cejka,80,1,855,1.0
33,T27,T27,Daniel Chopra,106,1,1123,1.0
34,T27,T27,Tim Clark,66,1,700,1.0
35,T27,T27,Gavin Coles,87,1,931,1.0
36,T27,T27,Chris Couch,76,1,818,1.0
37,T27,T27,John Daly,59,1,646,
38,T27,T27,Marco Dawson,73,1,785,1.0
39,T27,T27,Brendon de Jonge,76,1,811,1.0
40,T27,T27,Chris DiMarco,79,1,842,1.0
41,T27,T27,Ernie Els,59,1,648,1.0
42,T27,T27,Harrison Frazar,88,1,947,1.0
43,T27,T27,Fred Funk,65,1,726,1.0
44,T27,T27,Robert Garrigus,95,1,1015,1.0
45,T27,T27,Brian Gay,107,1,1153,1.0
46,T27,T27,Mathew Goggin,97,1,1043,
47,T27,T27,Paul Gow,70,1,749,1.0
48,T27,T27,Paul Goydos,60,1,642,
49,T27,T27,Bill Haas,93,1,997,1.0
50,T27,T27,J.B. Holmes,71,1,765,
51,T27,T27,Trevor Immelman,74,1,748,
52,T27,T27,Zach Johnson,76,1,821,1.0
53,T27,T27,Kent Jones,97,1,1027,1.0
54,T27,T27,Craig Kanada,109,1,1169,1.0
55,T27,T27,Jerry Kelly,101,1,1124,1.0
56,T27,T27,Matt Kuchar,85,1,922,1.0
57,T27,T27,Tom Lehman,62,1,684,1.0
58,T27,T27,Justin Leonard,95,1,1048,1.0
59,T27,T27,Frank Lickliter II,95,1,1031,1.0
60,T27,T27,Will MacKenzie,100,1,1084,1.0
61,T27,T27,Jeff Maggert,79,1,850,1.0
62,T27,T27,Shigeki Maruyama,84,1,915,1.0
63,T27,T27,Troy Matteson,87,1,945,
64,T27,T27,Billy Mayfair,98,1,1069,
65,T27,T27,Phil Mickelson,73,1,778,1.0
66,T27,T27,Ryan Moore,92,1,991,1.0
67,T27,T27,Kevin Na,84,1,899,1.0
68,T27,T27,Arron Oberholser,69,1,759,1.0
69,T27,T27,Corey Pavin,81,1,876,1.0
70,T27,T27,Pat Perez,84,1,947,
71,T27,T27,Tom Pernice Jr.,104,1,1133,1.0
72,T27,T27,Ian Poulter,63,1,662,1.0
73,T27,T27,Ted Purdy,102,1,1093,
74,T27,T27,Michael Putnam,96,1,1047,
75,T27,T27,John Rollins,102,1,1108,1.0
76,T27,T27,Jim Rutledge,59,1,633,1.0
77,T27,T27,Rory Sabbatini,81,1,874,1.0
78,T27,T27,John Senden,97,1,1054,1.0
79,T27,T27,Vijay Singh,102,1,1108,1.0
80,T27,T27,Heath Slocum,101,1,1106,1.0
81,T27,T27,Brandt Snedeker,105,1,1152,1.0
82,T27,T27,Darron Stiles,65,1,701,1.0
83,T27,T27,Kevin Sutherland,85,1,911,1.0
84,T27,T27,Chris Tidland,59,1,628,1.0
85,T27,T27,David Toms,80,1,859,1.0
86,T27,T27,Nick Watney,87,1,939,1.0
87,T27,T27,Bubba Watson,80,1,850,
88,T27,T27,Boo Weekley,101,1,1116,1.0
89,T27,T27,Mike Weir,82,1,893,1.0
90,T27,T27,Mark Wilson,87,1,939,1.0
91,T27,T27,Tiger Woods,63,1,668,
