,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Tiger Woods,63,9.35,23,246
1,2,2,Mark Brooks,53,10.87,15,138
2,3,3,Stephen Leaney,82,11.98,29,242
3,4,4,John Rollins,102,12.27,40,326
4,5,5,Heath Slocum,101,12.87,44,342
5,6,6,Billy Mayfair,98,12.97,41,316
6,T7,T7,Anders Hansen,55,13.07,20,153
7,T7,T7,Jay Williamson,50,13.07,23,176
8,9,9,Jim Furyk,84,13.12,37,282
9,10,10,Lee Janzen,66,13.3,27,203
10,11,11,Rocco Mediate,72,13.33,32,240
11,12,12,Sergio Garcia,68,13.48,31,230
12,13,13,Steve Stricker,81,13.55,37,273
13,14,14,K.J. Choi,87,13.56,40,295
14,15,15,Nick O'Hern,72,13.57,27,199
15,16,16,Fred Funk,65,13.61,26,191
16,17,17,David Toms,80,13.73,35,255
17,18,18,Ken Duke,112,13.93,51,366
18,19,19,Woody Austin,95,14.02,45,321
19,20,20,Bo Van Pelt,104,14.13,51,361
20,21,21,Nathan Green,103,14.16,48,339
21,22,22,Chris Riley,59,14.21,28,197
22,23,23,Phil Mickelson,73,14.23,37,260
23,24,24,Justin Leonard,95,14.24,42,295
24,25,25,Padraig Harrington,64,14.29,30,210
25,26,26,J.P. Hayes,89,14.33,43,300
26,T27,T27,Mark Hensby,81,14.34,36,251
27,T27,T27,Richard Johnson,93,14.34,36,251
28,29,29,Jeff Brehaut,59,14.37,25,174
29,30,30,Scott Verplank,82,14.56,38,261
30,31,31,Robert Garrigus,95,14.58,50,343
31,32,32,Jeff Quinney,95,14.68,48,327
32,33,33,Chris Stroud,66,14.75,32,217
33,T34,T34,Matt Kuchar,85,14.76,40,271
34,T34,T34,Kenny Perry,83,14.76,40,271
35,36,36,Michael Putnam,96,14.8,45,304
36,37,37,Cliff Kresge,107,14.83,51,344
37,38,38,Zach Johnson,76,14.89,35,235
38,39,39,Michael Sim,52,14.97,25,167
39,40,40,Marco Dawson,73,15.06,36,239
40,41,41,Bart Bryant,87,15.07,44,292
41,42,42,Tommy Armour III,81,15.12,39,258
42,43,43,Paul Goydos,60,15.29,26,170
43,44,44,Tim Petrovic,106,15.3,56,366
44,45,45,Arron Oberholser,69,15.31,32,209
45,46,46,Tim Clark,66,15.32,34,222
46,T47,T47,Bill Haas,93,15.34,48,313
47,T47,T47,Ian Poulter,63,15.34,29,189
48,49,49,Doug LaBelle II,104,15.36,45,293
49,50,50,Lucas Glover,98,15.41,55,357
50,T51,T51,Stewart Cink,91,15.44,46,298
51,T51,T51,Ryan Palmer,91,15.44,44,285
52,53,53,Trevor Immelman,74,15.46,30,194
53,54,54,Michael Boyd,61,15.47,28,181
54,55,55,Ryan Moore,92,15.48,48,310
55,T56,T56,Craig Kanada,109,15.56,54,347
56,T56,T56,George McNeill,95,15.56,49,315
57,58,58,Mark Wilson,87,15.61,42,269
58,59,59,Carl Pettersson,111,15.63,60,384
59,60,60,Parker McLachlin,83,15.67,42,268
60,61,61,Charlie Wi,90,15.74,48,305
61,62,62,Hunter Mahan,91,15.76,49,311
62,63,63,Sean O'Hair,98,15.9,55,346
63,64,64,Justin Rose,63,15.91,35,220
64,65,65,Mathew Goggin,97,15.92,50,314
65,66,66,Aaron Baddeley,83,15.93,43,270
66,67,67,Steve Elkington,87,15.94,44,276
67,68,68,Scott Gutschewski,67,15.98,35,219
68,69,69,Robert Gamez,88,16.0,44,275
69,70,70,Tim Herron,98,16.01,49,306
70,71,71,Freddie Jacobson,70,16.04,43,268
71,72,72,Gavin Coles,87,16.09,42,261
72,73,73,Kevin Na,84,16.12,49,304
73,74,74,John Mallinger,96,16.17,49,303
74,75,75,Kyle Reifers,71,16.18,33,204
75,76,76,Joe Durant,88,16.19,40,247
76,77,77,Vijay Singh,102,16.2,58,358
77,78,78,Tripp Isenhour,86,16.22,42,259
78,79,79,Jason Dufner,100,16.41,53,323
79,80,80,Cameron Beckman,96,16.42,55,335
80,81,81,Kevin Stadler,95,16.43,47,286
81,T82,T82,Steve Lowery,74,16.47,41,249
82,T82,T82,Paul Stankowski,52,16.47,28,170
83,84,84,Daniel Chopra,106,16.49,61,370
84,T85,T85,Luke Donald,69,16.51,36,218
85,T85,T85,Steve Flesch,100,16.51,52,315
86,T85,T85,Jeff Overton,60,16.51,35,212
87,T85,T85,Dicky Pride,71,16.51,36,218
88,89,89,Brian Gay,107,16.52,58,351
89,90,90,Brandt Snedeker,105,16.57,57,344
90,T91,T91,John Senden,97,16.62,54,325
91,T91,T91,Charles Warren,101,16.62,62,373
92,T93,T93,D.J. Brigman,67,16.67,35,210
93,T93,T93,J.B. Holmes,71,16.67,43,258
94,T93,T93,Frank Lickliter II,95,16.67,53,318
95,T93,T93,Pat Perez,84,16.67,48,288
96,97,97,Ernie Els,59,16.83,35,208
97,98,98,Steve Marino,106,16.85,61,362
98,99,99,Craig Lile,77,16.87,41,243
99,T100,T100,Jarrod Lyle,77,16.99,44,259
100,T100,T100,Daisuke Maruyama,86,16.99,44,259
101,102,102,Andrew Buckle,77,17.0,42,247
102,103,103,Bob Tway,103,17.02,56,329
103,104,104,Adam Scott,69,17.05,44,258
104,105,105,Alex Cejka,80,17.1,46,269
105,106,106,José Coceres,50,17.11,26,152
106,107,107,Jeff Gove,103,17.13,56,327
107,108,108,Troy Matteson,87,17.2,48,279
108,109,109,Joe Ogilvie,102,17.3,64,370
109,110,110,Jonathan Byrd,73,17.33,48,277
110,111,111,Chris Tidland,59,17.34,30,173
111,112,112,Bob Heintz,85,17.35,51,294
112,113,113,Boo Weekley,101,17.37,58,334
113,114,114,Robert Allenby,90,17.49,53,303
114,115,115,Stephen Ames,81,17.52,41,234
115,116,116,Ted Purdy,102,17.59,57,324
116,117,117,Tom Byrum,50,17.6,22,125
117,118,118,Vaughn Taylor,91,17.65,57,323
118,T119,T119,J.J. Henry,86,17.67,47,266
119,T119,T119,Brett Wetterich,88,17.67,53,300
120,121,121,Jesper Parnevik,88,17.68,58,328
121,122,122,Jerry Kelly,101,17.7,57,322
122,123,123,Briny Baird,115,17.72,70,395
123,124,124,Brendon de Jonge,76,17.74,47,265
124,125,125,Brian Davis,101,17.78,61,343
125,126,126,Matt Hendrix,63,17.84,33,185
126,127,127,Camilo Villegas,82,17.88,49,274
127,128,128,Johnson Wagner,97,17.89,56,313
128,129,129,Mike Weir,82,17.91,48,268
129,T130,T130,Tom Pernice Jr.,104,17.93,59,329
130,T130,T130,Dean Wilson,92,17.93,52,290
131,132,132,Kent Jones,97,17.96,60,334
132,133,133,D.J. Trahan,99,17.97,55,306
133,134,134,Jeff Maggert,79,18.04,46,255
134,135,135,Ryuji Imada,104,18.06,65,360
135,136,136,Charley Hoffman,97,18.08,62,343
136,T137,T137,Jim Rutledge,59,18.12,27,149
137,T137,T137,Jaco Van Zyl,51,18.12,25,138
138,139,139,Glen Day,85,18.15,49,270
139,140,140,Michael Allen,74,18.18,44,242
140,141,141,Geoff Ogilvy,84,18.21,51,280
141,142,142,Rory Sabbatini,81,18.22,49,269
142,143,143,Jason Schultz,63,18.38,34,185
143,144,144,Craig Bowden,78,18.4,46,250
144,145,145,Brett Quigley,79,18.41,44,239
145,146,146,Rod Pampling,92,18.44,52,282
146,T147,T147,Eric Axley,107,18.61,59,317
147,T147,T147,John Merrick,92,18.61,59,317
148,149,149,Jason Gore,86,18.64,55,295
149,150,150,Shigeki Maruyama,84,18.73,50,267
150,151,151,Mathias Grönberg,95,18.81,60,319
151,T152,T152,Stuart Appleby,74,18.83,42,223
152,T152,T152,Anthony Kim,93,18.83,61,324
153,154,154,Tom Lehman,62,18.88,37,196
