,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,63,67.794,4146,- 78.353,60
1,2,2,Ernie Els,59,69.294,4089,- 69.954,58
2,3,3,Justin Rose,63,69.301,4144,- 55.268,59
3,4,4,Steve Stricker,81,69.39399999999999,5615,- 63.470,80
4,5,5,Phil Mickelson,73,69.456,4998,- 66.655,71
5,6,6,Jim Furyk,84,69.47399999999999,5757,- 60.147,82
6,7,7,Sergio Garcia,68,69.48100000000001,4650,- 64.224,66
7,8,8,Vijay Singh,102,69.48899999999999,7039,- 90.060,100
8,9,9,K.J. Choi,87,69.611,5984,- 67.028,85
9,10,10,Scott Verplank,82,69.693,5715,- 69.885,81
10,11,11,Rory Sabbatini,81,69.741,5569,- 59.486,79
11,12,12,Arron Oberholser,69,69.807,4831,- 84.146,68
12,13,13,Padraig Harrington,64,69.822,4405,- 76.044,62
13,14,14,Tim Clark,66,69.877,4515,- 42.873,64
14,15,15,David Toms,80,69.883,5458,- 77.037,77
15,16,16,Zach Johnson,76,69.906,5321,- 78.052,75
16,17,17,Heath Slocum,101,69.94800000000001,7083,- 18.219,101
17,18,18,Hunter Mahan,91,69.99,6441,- 71.918,91
18,19,19,Adam Scott,69,70.008,4825,- 64.427,68
19,T20,T20,Pat Perez,84,70.051,5944,- 59.679,84
20,T20,T20,Bo Van Pelt,104,70.051,7308,- 22.695,104
21,22,22,Ian Poulter,63,70.07300000000001,4281,- 76.634,60
22,23,23,Geoff Ogilvy,84,70.085,5551,- 84.377,78
23,24,24,Aaron Baddeley,83,70.08800000000001,5677,- 69.995,80
24,25,25,Brandt Snedeker,105,70.089,7402,- 42.660,105
25,26,26,Stephen Ames,81,70.09,5480,- 83.088,77
26,27,27,Luke Donald,69,70.118,4781,- 83.116,67
27,28,28,Anthony Kim,93,70.128,6574,- 52.066,93
28,29,29,Stewart Cink,91,70.133,6230,- 58.279,88
29,30,30,Mike Weir,82,70.15100000000001,5764,- 81.807,81
30,31,31,Camilo Villegas,82,70.163,5816,- 62.660,82
31,32,32,Sean O'Hair,98,70.19,6923,- 44.397,98
32,33,33,Freddie Jacobson,70,70.259,4921,- 2.892,70
33,34,34,Retief Goosen,50,70.297,3460,- 85.764,48
34,35,35,Boo Weekley,101,70.303,7166,- 65.446,101
35,36,36,Jerry Kelly,101,70.313,7179,- 77.344,101
36,37,37,Rod Pampling,92,70.335,6397,- 66.814,90
37,38,38,Jeff Overton,60,70.339,4206,14.353,60
38,39,39,Kenny Perry,83,70.369,5860,- 19.367,83
39,40,40,Lucas Glover,98,70.417,6872,- 41.536,97
