,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
147,T148,T148,J.B. Holmes,71,71.66,5088,71
148,T148,T148,Tripp Isenhour,86,71.66,6163,86
149,T150,T150,Rich Barcelo,80,71.68,5734,80
150,T150,T150,Darron Stiles,65,71.68,4659,65
151,T152,T152,D.J. Brigman,67,71.69,4803,67
152,T152,T152,Paul Stankowski,52,71.69,3728,52
153,154,154,Stuart Appleby,74,71.71,5235,73
154,155,155,Nick O'Hern,72,71.72,4877,68
155,156,156,Robert Gamez,88,71.73,6312,88
156,T157,T157,Billy Andrade,88,71.75,6314,88
157,T157,T157,Harrison Frazar,88,71.75,6314,88
158,T159,T159,Joe Durant,88,71.76,6243,87
159,T159,T159,Scott Gutschewski,67,71.76,4808,67
160,161,161,Ryan Palmer,91,71.78,6532,91
161,162,162,Trevor Immelman,74,71.79,4882,68
162,T163,T163,Paul Goydos,60,71.8,4236,59
163,T163,T163,Joey Sindelar,75,71.8,5385,75
164,T165,T165,Paul Gow,70,71.81,5027,70
165,T165,T165,Chris Tidland,59,71.81,4237,59
166,167,167,Tom Johnson,74,71.85,5317,74
167,168,168,Steve Wheatcroft,73,71.88,5247,73
168,169,169,Michael Boyd,61,71.9,4386,61
169,170,170,Jeff Brehaut,59,71.92,4243,59
170,171,171,Kirk Triplett,77,71.96,5541,77
171,172,172,Lee Janzen,66,71.97,4750,66
172,173,173,Greg Owen,81,71.99,5831,81
173,174,174,Chris Couch,76,72.0,5472,76
174,175,175,Chad Campbell,96,72.01,6481,90
175,T176,T176,Brian Bateman,55,72.02,3961,55
176,T176,T176,Davis Love III,66,72.02,4681,65
177,178,178,Brett Quigley,79,72.03,5618,78
178,T179,T179,Tom Byrum,50,72.08,3604,50
179,T179,T179,Retief Goosen,50,72.08,3460,48
180,181,181,Chris DiMarco,79,72.1,5552,77
181,182,182,Kevin Stadler,95,72.13,6852,95
182,183,183,Eric Axley,107,72.26,7732,107
183,184,184,Matt Hendrix,63,72.27,4553,63
184,185,185,Henrik Stenson,52,72.3,3326,46
185,186,186,David Branshaw,83,72.34,6004,83
186,187,187,John Daly,59,72.39,4271,59
187,T188,T188,Jim Rutledge,59,72.41,4272,59
188,T188,T188,Jaco Van Zyl,51,72.41,3693,51
189,190,190,Kyle Reifers,71,72.46,5145,71
190,191,191,Ben Curtis,80,72.5,5800,80
191,192,192,Jeff Sluman,60,72.53,4352,60
192,193,193,Bubba Dickerson,51,72.59,3702,51
193,194,194,Bryce Molder,56,72.64,4068,56
194,195,195,José María Olazábal,52,72.92,3646,50
195,196,196,Todd Hamilton,76,73.58,5592,76
