,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,63,34.37,2062,60
1,2,2,Heath Slocum,101,34.81,3516,101
2,3,3,Steve Stricker,81,34.83,2786,80
3,T4,T4,Vijay Singh,102,34.88,3488,100
4,T4,T4,Bo Van Pelt,104,34.88,3627,104
5,6,6,Rory Sabbatini,81,34.94,2760,79
6,7,7,Jeff Overton,60,34.98,2099,60
7,8,8,Kenny Perry,83,35.02,2907,83
8,9,9,Briny Baird,115,35.09,4035,115
9,T10,T10,Freddie Jacobson,70,35.1,2457,70
10,T10,T10,Scott Verplank,82,35.1,2843,81
11,T12,T12,Billy Mayfair,98,35.11,3441,98
12,T12,T12,Jesper Parnevik,88,35.11,3090,88
13,14,14,Jim Furyk,84,35.12,2880,82
14,T15,T15,Tim Clark,66,35.13,2248,64
15,T15,T15,Geoff Ogilvy,84,35.13,2740,78
16,T15,T15,Brandt Snedeker,105,35.13,3689,105
17,T18,T18,Jonathan Byrd,73,35.14,2565,73
18,T18,T18,Alex Cejka,80,35.14,2811,80
19,20,20,Justin Rose,63,35.15,2074,59
20,21,21,Phil Mickelson,73,35.17,2497,71
21,22,22,Sergio Garcia,68,35.18,2322,66
22,T23,T23,Anthony Kim,93,35.19,3273,93
23,T23,T23,Kevin Na,84,35.19,2956,84
24,25,25,K.J. Choi,87,35.2,2992,85
25,26,26,Ernie Els,59,35.22,2043,58
26,27,27,Lucas Glover,98,35.23,3417,97
27,28,28,Rod Pampling,92,35.24,3172,90
28,T29,T29,Ken Duke,112,35.26,3949,112
29,T29,T29,Bill Haas,93,35.26,3279,93
30,T29,T29,Charlie Wi,90,35.26,3173,90
31,T32,T32,Aaron Baddeley,83,35.28,2822,80
32,T32,T32,Nathan Green,103,35.28,3634,103
33,T34,T34,Rocco Mediate,72,35.29,2541,72
34,T34,T34,Michael Sim,52,35.29,1835,52
35,36,36,Andrew Buckle,77,35.3,2718,77
36,T37,T37,Sean O'Hair,98,35.31,3460,98
37,T37,T37,Chris Riley,59,35.31,2083,59
38,T39,T39,Matt Kuchar,85,35.32,3002,85
39,T39,T39,John Merrick,92,35.32,3249,92
40,41,41,Stewart Cink,91,35.34,3110,88
41,T42,T42,Robert Allenby,90,35.35,3146,89
42,T42,T42,Jarrod Lyle,77,35.35,2722,77
43,T42,T42,Tim Petrovic,106,35.35,3747,106
44,45,45,Zach Johnson,76,35.37,2653,75
45,T46,T46,Bart Bryant,87,35.38,3043,86
46,T46,T46,Pat Perez,84,35.38,2972,84
47,T46,T46,Vaughn Taylor,91,35.38,3220,91
48,49,49,John Senden,97,35.39,3433,97
49,T50,T50,Cameron Beckman,96,35.4,3398,96
50,T50,T50,Tripp Isenhour,86,35.4,3044,86
51,T50,T50,Jay Williamson,50,35.4,1770,50
52,T53,T53,Stephen Ames,81,35.41,2691,76
53,T53,T53,Brian Davis,101,35.41,3576,101
54,T53,T53,George McNeill,95,35.41,3364,95
55,56,56,Cliff Kresge,107,35.42,3790,107
56,57,57,Nick O'Hern,72,35.43,2409,68
57,T58,T58,Woody Austin,95,35.46,3369,95
58,T58,T58,Jason Bohn,57,35.46,2021,57
59,T58,T58,Tag Ridings,52,35.46,1844,52
60,T61,T61,Tim Herron,98,35.47,3476,98
61,T61,T61,David Toms,80,35.47,2731,77
62,T63,T63,Steve Allan,63,35.48,2235,63
63,T63,T63,José Coceres,50,35.48,1774,50
64,T63,T63,Mathew Goggin,97,35.48,3442,97
65,T63,T63,Hunter Mahan,91,35.48,3229,91
66,T63,T63,John Mallinger,96,35.48,3406,96
67,T63,T63,Steve Marino,106,35.48,3761,106
68,T69,T69,Steve Elkington,87,35.49,3088,87
