,Back_9_Lowest_Round_RANK THIS WEEK,Back_9_Lowest_Round_RANK LAST WEEK,Back_9_Lowest_Round_PLAYER NAME,Back_9_Lowest_Round_ROUNDS,Back_9_Lowest_Round_LOW RND
0,1,1,Brandt Snedeker,105,27
1,2,2,John Daly,59,28
2,T3,T3,Padraig Harrington,64,29
3,T3,T3,Zach Johnson,76,29
4,T3,T3,Nick O'Hern,72,29
5,T3,T3,Tom Pernice Jr.,104,29
6,T3,T3,John Rollins,102,29
7,T8,T8,Ryan Armour,107,30
8,T8,T8,Woody Austin,95,30
9,T8,T8,Cameron Beckman,96,30
10,T8,T8,Bart Bryant,87,30
11,T8,T8,Mark Calcavecchia,93,30
12,T8,T8,Chad Campbell,96,30
13,T8,T8,K.J. Choi,87,30
14,T8,T8,Tim Clark,66,30
15,T8,T8,Gavin Coles,87,30
16,T8,T8,Marco Dawson,73,30
17,T8,T8,Brendon de Jonge,76,30
18,T8,T8,Jason Dufner,100,30
19,T8,T8,Steve Flesch,100,30
20,T8,T8,Sergio Garcia,68,30
21,T8,T8,Jason Gore,86,30
22,T8,T8,Jeff Gove,103,30
23,T8,T8,J.P. Hayes,89,30
24,T8,T8,Mark Hensby,81,30
25,T8,T8,Tim Herron,98,30
26,T8,T8,J.B. Holmes,71,30
27,T8,T8,Ryuji Imada,104,30
28,T8,T8,Anthony Kim,93,30
29,T8,T8,Jarrod Lyle,77,30
30,T8,T8,Will MacKenzie,100,30
31,T8,T8,Hunter Mahan,91,30
32,T8,T8,Troy Matteson,87,30
33,T8,T8,Arron Oberholser,69,30
34,T8,T8,Joe Ogilvie,102,30
35,T8,T8,Jesper Parnevik,88,30
36,T8,T8,Carl Pettersson,111,30
37,T8,T8,Rory Sabbatini,81,30
38,T8,T8,Adam Scott,69,30
39,T8,T8,Chris Stroud,66,30
40,T8,T8,Kevin Sutherland,85,30
41,T8,T8,Scott Verplank,82,30
42,T8,T8,Camilo Villegas,82,30
43,T8,T8,Charles Warren,101,30
44,T8,T8,Nick Watney,87,30
45,T8,T8,Bubba Watson,80,30
46,T47,T47,Michael Allen,74,31
47,T47,T47,Billy Andrade,88,31
48,T47,T47,Stuart Appleby,74,31
49,T47,T47,Tommy Armour III,81,31
50,T47,T47,Eric Axley,107,31
51,T47,T47,Aaron Baddeley,83,31
52,T47,T47,Craig Barlow,52,31
53,T47,T47,Brian Bateman,55,31
54,T47,T47,Rich Beem,89,31
55,T47,T47,Jason Bohn,57,31
56,T47,T47,Michael Boyd,61,31
57,T47,T47,David Branshaw,83,31
58,T47,T47,D.J. Brigman,67,31
59,T47,T47,Andrew Buckle,77,31
60,T47,T47,Daniel Chopra,106,31
61,T47,T47,Stewart Cink,91,31
62,T47,T47,Chris Couch,76,31
63,T47,T47,Ben Curtis,80,31
64,T47,T47,Brian Davis,101,31
65,T47,T47,Chris DiMarco,79,31
66,T47,T47,Steve Elkington,87,31
67,T47,T47,Ernie Els,59,31
68,T47,T47,Harrison Frazar,88,31
69,T47,T47,Fred Funk,65,31
70,T47,T47,Jim Furyk,84,31
71,T47,T47,Robert Gamez,88,31
72,T47,T47,Robert Garrigus,95,31
73,T47,T47,Lucas Glover,98,31
74,T47,T47,Mathew Goggin,97,31
75,T47,T47,Paul Goydos,60,31
76,T47,T47,Nathan Green,103,31
77,T47,T47,Mathias Grönberg,95,31
