,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,63,+3.21,69.1,72.31
1,2,2,Ernie Els,59,+1.67,70.5,72.17
2,3,3,Jim Furyk,84,+1.62,70.21,71.83
3,4,4,Phil Mickelson,73,+1.59,70.39,71.98
4,5,5,Steve Stricker,81,+1.53,70.19,71.72
5,6,6,Justin Rose,63,+1.51,70.24,71.75
6,7,7,Vijay Singh,102,+1.49,70.39,71.88
7,8,8,K.J. Choi,87,+1.44,70.4,71.84
8,9,9,Sergio Garcia,68,+1.43,70.45,71.88
9,10,10,Rory Sabbatini,81,+1.33,70.49,71.82
10,T11,T11,Padraig Harrington,64,+1.18,71.05,72.23
11,T11,T11,Scott Verplank,82,+1.18,70.56,71.74
12,13,13,Adam Scott,69,+1.16,70.96,72.12
13,14,14,Zach Johnson,76,+1.14,70.95,72.09
14,15,15,David Toms,80,+1.12,70.88,72.0
15,T16,T16,Tim Clark,66,+1.06,70.55,71.61
16,T16,T16,Arron Oberholser,69,+1.06,71.04,72.1
17,T18,T18,Aaron Baddeley,83,+.99,70.96,71.95
18,T18,T18,Ian Poulter,63,+.99,71.35,72.34
19,20,20,Freddie Jacobson,70,+.97,70.3,71.27
20,T21,T21,Sean O'Hair,98,+.96,70.64,71.6
21,T21,T21,Heath Slocum,101,+.96,70.13,71.09
22,T23,T23,Stephen Ames,81,+.92,71.04,71.96
23,T23,T23,Luke Donald,69,+.92,71.36,72.28
24,T23,T23,Lucas Glover,98,+.92,70.85,71.77
25,T23,T23,Bo Van Pelt,104,+.92,70.27,71.19
26,27,27,Jeff Overton,60,+.91,70.1,71.01
27,T28,T28,Hunter Mahan,91,+.89,70.78,71.67
28,T28,T28,Geoff Ogilvy,84,+.89,71.17,72.06
29,30,30,Stewart Cink,91,+.88,70.8,71.68
30,31,31,Mike Weir,82,+.87,71.16,72.03
31,32,32,Brandt Snedeker,105,+.83,70.5,71.33
32,33,33,Anthony Kim,93,+.77,70.69,71.46
33,34,34,Alex Cejka,80,+.75,70.29,71.04
34,35,35,Camilo Villegas,82,+.74,70.93,71.67
35,36,36,Carl Pettersson,111,+.73,70.97,71.7
36,37,37,Rod Pampling,92,+.68,71.08,71.76
37,38,38,Pat Perez,84,+.67,70.76,71.43
38,T39,T39,Retief Goosen,50,+.66,72.08,72.74
39,T39,T39,Boo Weekley,101,+.66,70.95,71.61
40,41,41,Jerry Kelly,101,+.65,71.08,71.73
41,42,42,Jonathan Byrd,73,+.64,70.56,71.2
42,T43,T43,John Rollins,102,+.63,70.97,71.6
43,T43,T43,John Senden,97,+.63,70.93,71.56
44,45,45,Ken Duke,112,+.61,70.93,71.54
45,46,46,Stuart Appleby,74,+.59,71.71,72.3
46,T47,T47,Bart Bryant,87,+.58,70.83,71.41
47,T47,T47,Kenny Perry,83,+.58,70.6,71.18
48,49,49,Woody Austin,95,+.57,70.84,71.41
49,50,50,Jesper Parnevik,88,+.56,70.7,71.26
50,T51,T51,Robert Allenby,90,+.53,71.12,71.65
51,T51,T51,Bill Haas,93,+.53,70.83,71.36
52,T51,T51,Dean Wilson,92,+.53,71.28,71.81
53,T54,T54,Briny Baird,115,+.52,70.66,71.18
54,T54,T54,Steve Elkington,87,+.52,71.0,71.52
55,T56,T56,Matt Kuchar,85,+.51,70.79,71.3
56,T56,T56,Billy Mayfair,98,+.51,70.69,71.2
57,T56,T56,Vaughn Taylor,91,+.51,71.2,71.71
58,T59,T59,Mark Calcavecchia,93,+.49,71.11,71.6
59,T59,T59,Justin Leonard,95,+.49,71.05,71.54
60,T59,T59,Ryan Moore,92,+.49,71.01,71.5
61,62,62,J.J. Henry,86,+.48,71.39,71.87
62,63,63,Brian Davis,101,+.46,70.9,71.36
63,T64,T64,Cameron Beckman,96,+.45,70.78,71.23
64,T64,T64,Kevin Sutherland,85,+.45,71.16,71.61
65,66,66,Tom Pernice Jr.,104,+.44,71.29,71.73
66,T67,T67,Tim Herron,98,+.42,71.1,71.52
67,T67,T67,Mark Wilson,87,+.42,71.07,71.49
68,69,69,Jason Bohn,57,+.41,71.26,71.67
69,T70,T70,Mathew Goggin,97,+.40,71.04,71.44
70,T70,T70,Charles Howell III,89,+.40,71.47,71.87
71,T72,T72,Nathan Green,103,+.39,70.81,71.2
72,T72,T72,Trevor Immelman,74,+.39,71.79,72.18
73,T72,T72,Peter Lonard,85,+.39,70.93,71.32
74,T72,T72,Kevin Na,84,+.39,70.7,71.09
75,T72,T72,Charles Warren,101,+.39,70.89,71.28
76,77,77,Daniel Chopra,106,+.38,70.84,71.22
77,T78,T78,Nick Watney,87,+.37,71.13,71.5
78,T78,T78,Charlie Wi,90,+.37,70.86,71.23
79,80,80,Will MacKenzie,100,+.36,71.02,71.38
80,81,81,José Coceres,50,+.35,71.22,71.57
81,82,82,Chris Riley,59,+.32,70.85,71.17
82,T83,T83,Bubba Watson,80,+.31,71.24,71.55
83,T83,T83,Jay Williamson,50,+.31,70.64,70.95
84,T85,T85,Brian Gay,107,+.30,70.89,71.19
85,T85,T85,Jason Gore,86,+.30,71.02,71.32
86,T87,T87,Steve Marino,106,+.29,71.03,71.32
87,T87,T87,Joe Ogilvie,102,+.29,70.9,71.19
88,T87,T87,Henrik Stenson,52,+.29,72.3,72.59
89,T90,T90,Ryuji Imada,104,+.28,70.97,71.25
90,T90,T90,Cliff Kresge,107,+.28,70.88,71.16
91,T92,T92,Fred Funk,65,+.27,71.51,71.78
92,T92,T92,Tom Lehman,62,+.27,71.08,71.35
93,T92,T92,Shaun Micheel,91,+.27,71.58,71.85
94,95,95,Stephen Leaney,82,+.26,70.94,71.2
95,96,96,Nick O'Hern,72,+.25,71.72,71.97
96,97,97,Steve Allan,63,+.23,71.03,71.26
97,98,98,Tommy Armour III,81,+.21,70.86,71.07
98,99,99,Rocco Mediate,72,+.19,71.19,71.38
99,T100,T100,Kent Jones,97,+.17,71.16,71.33
100,T100,T100,Tim Petrovic,106,+.17,70.92,71.09
101,T102,T102,Joe Durant,88,+.16,71.76,71.92
102,T102,T102,Bob Estes,88,+.16,71.14,71.3
103,T102,T102,J.P. Hayes,89,+.16,71.18,71.34
104,105,105,Craig Kanada,109,+.15,71.13,71.28
105,106,106,Johnson Wagner,97,+.14,71.27,71.41
106,T107,T107,Chris DiMarco,79,+.13,72.1,72.23
107,T107,T107,George McNeill,95,+.13,71.12,71.25
108,T107,T107,Brett Wetterich,88,+.13,71.6,71.73
109,T110,T110,Michael Allen,74,+.12,71.12,71.24
110,T110,T110,Troy Matteson,87,+.12,71.41,71.53
111,T112,T112,Rich Beem,89,+.11,71.57,71.68
112,T112,T112,Steve Flesch,100,+.11,71.25,71.36
113,T112,T112,Jeff Gove,103,+.11,71.19,71.3
114,T112,T112,Anders Hansen,55,+.11,71.64,71.75
115,T116,T116,Ryan Armour,107,+.09,71.19,71.28
116,T116,T116,Davis Love III,66,+.09,72.02,72.11
117,T116,T116,Michael Sim,52,+.09,70.94,71.03
118,T119,T119,Jeff Maggert,79,+.05,71.3,71.35
119,T119,T119,John Mallinger,96,+.05,71.25,71.3
120,T121,T121,Craig Barlow,52,+.04,71.25,71.29
121,T121,T121,Paul Goydos,60,+.04,71.8,71.84
122,T121,T121,Mathias Grönberg,95,+.04,71.19,71.23
123,T121,T121,Jarrod Lyle,77,+.04,71.1,71.14
124,T121,T121,Jeff Quinney,95,+.04,71.23,71.27
125,T121,T121,Chris Stroud,66,+.04,71.27,71.31
126,127,127,D.J. Trahan,99,+.02,71.39,71.41
127,T128,T128,Charley Hoffman,97,+.01,71.54,71.55
128,T128,T128,Tag Ridings,52,+.01,71.15,71.16
129,130,130,Jason Dufner,100,E,71.45,71.45
130,131,131,Bob Heintz,85,-.02,71.08,71.06
131,132,132,Gavin Coles,87,-.04,71.32,71.28
132,T133,T133,Glen Day,85,-.06,71.25,71.19
133,T133,T133,Frank Lickliter II,95,-.06,71.32,71.26
134,T133,T133,John Merrick,92,-.06,71.05,70.99
135,T136,T136,Robert Garrigus,95,-.08,71.28,71.2
136,T136,T136,Michael Putnam,96,-.08,71.55,71.47
137,T136,T136,Bob Tway,103,-.08,71.25,71.17
138,139,139,Ted Purdy,102,-.10,71.32,71.22
139,140,140,Brett Quigley,79,-.11,72.03,71.92
